id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_alonesurvivor_02_s_1,40033,event_alonesurvivor_02_s,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_02_s_1,False,IceLand_01,17,17,1.0,none,,,,alice,5,surprise,,ludmilla,3,idle,,neve,7,idle,,tove,1,idle
event_alonesurvivor_02_s_2,40033,event_alonesurvivor_02_s,Narration,Narration,Locale_SubScenario:event_alonesurvivor_02_s_2,False,,17,170,0.3,bgm_frostpillar,sfx_scn_emptywind,,,,5,surprise,,,3,idle,,,7,idle,,,1,idle
event_alonesurvivor_02_s_3,40033,event_alonesurvivor_02_s,Speech,alice,Locale_SubScenario:event_alonesurvivor_02_s_3,True,,5,S_50,0.7,,,alice,,,5,surprise,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_4,40033,event_alonesurvivor_02_s,Speech,alice,Locale_SubScenario:event_alonesurvivor_02_s_4,True,,S_50,S_50,1.0,,,alice,,,5,surprise,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_5,40033,event_alonesurvivor_02_s,Speech,alice,Locale_SubScenario:event_alonesurvivor_02_s_5,True,,S_50,S_50,1.0,,,alice,,,5,delight,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_6,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_6,True,,S_50,4,1.0,,,ludmilla,,,5,delight,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_7,40033,event_alonesurvivor_02_s,Speech,alice,Locale_SubScenario:event_alonesurvivor_02_s_7,True,,4,4,1.0,,,alice,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_8,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_8,False,,4,4,1.0,,,ludmilla,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_9,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_9,True,,4,4,1.0,,,ludmilla,,,5,idle,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_10,40033,event_alonesurvivor_02_s,Speech,alice,Locale_SubScenario:event_alonesurvivor_02_s_10,True,,4,4,1.0,,,alice,,,5,surprise,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_11,40033,event_alonesurvivor_02_s,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_02_s_11,False,,4,4,1.0,,,,,,5,surprise,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_12,40033,event_alonesurvivor_02_s,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_02_s_12,False,,4,4,1.0,,,,,,5,surprise,alice,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_13,40033,event_alonesurvivor_02_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_02_s_13,True,,4,70,1.0,,,neve,,,,,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_14,40033,event_alonesurvivor_02_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_02_s_14,True,,70,70,1.0,,,neve,,,,,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_15,40033,event_alonesurvivor_02_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_02_s_15,True,,70,70,1.0,,,neve,,,,,,,3,think,,,7,idle,,,1,idle
event_alonesurvivor_02_s_16,40033,event_alonesurvivor_02_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_02_s_16,True,,70,70,1.0,,,neve,,,,,,,3,idle,,,7,good,,,1,idle
event_alonesurvivor_02_s_17,40033,event_alonesurvivor_02_s,Self,Self,Locale_SubScenario:event_alonesurvivor_02_s_17,False,,70,70,1.0,,,,,,,,,,3,idle,,,7,good,,,1,idle
event_alonesurvivor_02_s_18,40033,event_alonesurvivor_02_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_02_s_18,True,,70,7,1.0,,,neve,,,,,,,3,idle,,,7,idle,,,1,idle
event_alonesurvivor_02_s_19,40033,event_alonesurvivor_02_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_02_s_19,True,,7,7,1.0,,,neve,,,,,,,3,idle,,,7,idle,,,1,idle
event_alonesurvivor_02_s_20,40033,event_alonesurvivor_02_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_02_s_20,True,,7,7,1.0,,,neve,,,,,,,3,idle,,,7,good,,,1,idle
event_alonesurvivor_02_s_21,40033,event_alonesurvivor_02_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_02_s_21,True,,7,7,1.0,,,neve,,,,,,,3,idle,,,7,idle,,,1,idle
event_alonesurvivor_02_s_22,40033,event_alonesurvivor_02_s,Narration,Narration,Locale_SubScenario:event_alonesurvivor_02_s_22,False,,7,7,1.0,,,,,,,,,,3,idle,,,7,idle,,,1,idle
event_alonesurvivor_02_s_23,40033,event_alonesurvivor_02_s,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_02_s_23,False,,7,7,1.0,,,,,,,,,,3,idle,,,7,idle,neve,,1,surprise
event_alonesurvivor_02_s_24,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_24,False,,1,S_10,1.0,,,tove,,,,,,,3,idle,,,,,,,1,surprise
event_alonesurvivor_02_s_25,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_25,True,,S_10,S_10,1.0,,,tove,,,,,,,3,idle,,,,,,,1,sad
event_alonesurvivor_02_s_26,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_26,True,,S_10,S_10,1.0,,,tove,,,,,,,3,idle,,,,,,,1,worry
event_alonesurvivor_02_s_27,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_27,True,,S_10,S_10,1.0,,,tove,,,,,,,3,idle,,,,,,,1,worry
event_alonesurvivor_02_s_28,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_28,True,,S_10,S_10,1.0,,,tove,,,,,,,3,idle,,,,,,,1,worry
event_alonesurvivor_02_s_29,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_29,True,,S_10,30,1.0,,,ludmilla,,,,,,,3,idle,,,,,,,1,worry
event_alonesurvivor_02_s_30,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_30,True,,30,30,1.0,,,ludmilla,,,,,,,3,idle,,,,,,,1,worry
event_alonesurvivor_02_s_31,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_31,True,,30,30,1.0,,,ludmilla,,,,,,,3,idle,,,,,,,1,idle
event_alonesurvivor_02_s_32,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_32,True,,30,300,1.0,,,ludmilla,,,,,,,3,idle,,,,,,,1,idle
event_alonesurvivor_02_s_33,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_33,True,,300,300,1.0,,,ludmilla,,,,,,,3,idle,,,,,,,1,idle
event_alonesurvivor_02_s_34,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_34,True,,300,300,1.0,,,ludmilla,,,,,,,3,idle,,,,,,,1,idle
event_alonesurvivor_02_s_35,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_35,True,,300,30,1.0,,,ludmilla,,,,,,,3,idle,,,,,,,1,idle
event_alonesurvivor_02_s_36,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_36,True,,30,30,1.0,,,ludmilla,,,,,,,3,idle,,,,,,,1,idle
event_alonesurvivor_02_s_37,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_37,False,,S_10,S_10,1.0,,,tove,,,,,,,3,idle,,,,,,,1,surprise
event_alonesurvivor_02_s_38,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_38,True,,S_10,S_10,1.0,,,tove,,,,,,,3,idle,,,,,,,1,worry
event_alonesurvivor_02_s_39,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_39,True,,S_10,S_10,1.0,,,tove,,,,,,,3,idle,,,,,,,1,worry
event_alonesurvivor_02_s_40,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_40,True,,S_10,2,1.0,,,ludmilla,,,,,,,3,idle,,,,,,,1,worry
event_alonesurvivor_02_s_41,40033,event_alonesurvivor_02_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_02_s_41,True,,2,2,1.0,,,ludmilla,,,,,,,3,idle,,,,,,,1,worry
event_alonesurvivor_02_s_42,40033,event_alonesurvivor_02_s,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_02_s_42,False,,2,2,1.0,,,,,,,,,,3,idle,ludmilla,,,,,,1,worry
event_alonesurvivor_02_s_43,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_43,True,,2,1,1.0,,,tove,,,,,,,,,,,,,,,1,worry
event_alonesurvivor_02_s_44,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_44,False,,1,1,1.0,,,tove,,,,,,,,,,,,,,,1,worry
event_alonesurvivor_02_s_45,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_45,True,,1,1,1.0,,,tove,,,,,,,,,,,,,,,1,idle
event_alonesurvivor_02_s_46,40033,event_alonesurvivor_02_s,Self,Self,Locale_SubScenario:event_alonesurvivor_02_s_46,False,,1,1,1.0,,,,,,,,,,,,,,,,,,1,idle
event_alonesurvivor_02_s_47,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_47,True,,1,1,1.0,,,tove,,,,,,,,,,,,,,,1,idle
event_alonesurvivor_02_s_48,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_48,True,,1,1,1.0,,,tove,,,,,,,,,,,,,,,1,idle
event_alonesurvivor_02_s_49,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_49,True,,1,1,1.0,,,tove,,,,,,,,,,,,,,,1,idle
event_alonesurvivor_02_s_50,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_50,True,,1,1,1.0,,,tove,,,,,,,,,,,,,,,1,idle
event_alonesurvivor_02_s_51,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_51,True,,1,S_10,0.8,none,,tove,,,,,,,,,,,,,,,1,worry
event_alonesurvivor_02_s_52,40033,event_alonesurvivor_02_s,Self,Self,Locale_SubScenario:event_alonesurvivor_02_s_52,False,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,1,worry
event_alonesurvivor_02_s_53,40033,event_alonesurvivor_02_s,Speech,tove,Locale_SubScenario:event_alonesurvivor_02_s_53,True,,S_10,S_100,0.3,,,tove,Low_2,,,,,,,,,,,,,,1,surprise
event_alonesurvivor_02_s_54,40033,event_alonesurvivor_02_s,Self,Self,Locale_SubScenario:event_alonesurvivor_02_s_54,False,,S_100,S_100,1.0,bgm_story_whosdumber,,,,,,,,,,,,,,,,,1,surprise
