id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade
event_lordforjustice_epilogue_1,40078,event_lordforjustice_epilogue,Narration,d,Locale_SubScenario:event_lordforjustice_epilogue_1,False,d,2,idle,Backstreet_n,black,black,1.0,sfx_scn_naturalfootstep,none,,,,,,,
event_lordforjustice_epilogue_2,40078,event_lordforjustice_epilogue,Speech,d,Locale_SubScenario:event_lordforjustice_epilogue_2,False,,2,idle,,2,20,1.3,,,d,,,,,,
event_lordforjustice_epilogue_3,40078,event_lordforjustice_epilogue,Speech,d,Locale_SubScenario:event_lordforjustice_epilogue_3,True,,2,idle,,20,20,1.0,,,d,,,,,,
event_lordforjustice_epilogue_4,40078,event_lordforjustice_epilogue,Speech,d,Locale_SubScenario:event_lordforjustice_epilogue_4,True,,2,idle,,20,20,1.0,,,d,,,,,,
event_lordforjustice_epilogue_5,40078,event_lordforjustice_epilogue,Narration,d,Locale_SubScenario:event_lordforjustice_epilogue_5,False,,2,idle,,black,black,1.0,sfx_scn_naturalfootstep,,,k,12,idle,,,
event_lordforjustice_epilogue_6,40078,event_lordforjustice_epilogue,Speech,k,Locale_SubScenario:event_lordforjustice_epilogue_6,True,,2,idle,,20,1,1.3,,,k,,12,idle,,,
event_lordforjustice_epilogue_7,40078,event_lordforjustice_epilogue,Speech,k,Locale_SubScenario:event_lordforjustice_epilogue_7,True,,2,idle,,1,1,1.0,,,k,,12,idle,,,
event_lordforjustice_epilogue_8,40078,event_lordforjustice_epilogue,Speech,k,Locale_SubScenario:event_lordforjustice_epilogue_8,True,,2,idle,,1,1,1.0,,,k,,12,idle,,,
event_lordforjustice_epilogue_9,40078,event_lordforjustice_epilogue,Speech,d,Locale_SubScenario:event_lordforjustice_epilogue_9,True,,2,idle,,1,1,1.0,,,d,,12,idle,,,
event_lordforjustice_epilogue_10,40078,event_lordforjustice_epilogue,Speech,d,Locale_SubScenario:event_lordforjustice_epilogue_10,True,,2,idle,,1,1,1.0,,,d,,12,idle,,,
event_lordforjustice_epilogue_11,40078,event_lordforjustice_epilogue,Speech,d,Locale_SubScenario:event_lordforjustice_epilogue_11,True,,2,idle,,1,1,1.0,,bgm_frostpillar,d,,12,idle,,,
event_lordforjustice_epilogue_12,40078,event_lordforjustice_epilogue,Speech,k,Locale_SubScenario:event_lordforjustice_epilogue_12,False,,2,idle,,1,1,1.0,,,k,,12,idle,,,
event_lordforjustice_epilogue_13,40078,event_lordforjustice_epilogue,Speech,k,Locale_SubScenario:event_lordforjustice_epilogue_13,True,,2,idle,,1,1,1.0,,,k,,12,idle,,,
event_lordforjustice_epilogue_14,40078,event_lordforjustice_epilogue,Speech,k,Locale_SubScenario:event_lordforjustice_epilogue_14,True,,2,idle,,1,1,1.0,,,k,,12,idle,,,
event_lordforjustice_epilogue_15,40078,event_lordforjustice_epilogue,Speech,k,Locale_SubScenario:event_lordforjustice_epilogue_15,True,,2,idle,,1,1,1.0,,,k,,12,idle,,,
event_lordforjustice_epilogue_16,40078,event_lordforjustice_epilogue,Speech,d,Locale_SubScenario:event_lordforjustice_epilogue_16,False,,2,idle,,1,1,1.0,,,d,,12,idle,,,
