id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,set_filter_01,characters/1/hide_char_id,fade
snowfall_episode_ludmilla_06_1,80903,snowfall_episode_ludmilla_06,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_06_1,False,ludmilla_w,3,idle,Trail_n,3,3,1.0,amb_so_trail_3,bgm_story_fairytalesend_if,,,,,,,,
snowfall_episode_ludmilla_06_2,80903,snowfall_episode_ludmilla_06,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_06_7,False,,3,idle,,30,30,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_3,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_8,True,,3,idle,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_4,80903,snowfall_episode_ludmilla_06,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_06_9,False,,3,idle,,30,30,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_5,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_10,True,,3,idle,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_6,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_11,True,,3,idle,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_7,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_12,True,,3,idle,,30,3,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_8,80903,snowfall_episode_ludmilla_06,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_06_13,False,,3,idle,,black,black,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_9,80903,snowfall_episode_ludmilla_06,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_06_14,False,,3,idle,,black,black,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_10,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_15,True,,3,think,,3,3,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_11,80903,snowfall_episode_ludmilla_06,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_06_16,False,,3,think,,3,3,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_12,80903,snowfall_episode_ludmilla_06,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_06_17,False,,3,think,,3,3,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_13,80903,snowfall_episode_ludmilla_06,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_06_18,False,,3,think,,3,3,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_14,80903,snowfall_episode_ludmilla_06,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_06_19,False,,3,think,,3,3,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_15,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_20,True,,3,think,,3,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_16,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_21,True,,3,think,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_17,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_22,True,,3,think,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_18,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_23,True,,3,think,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_19,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_24,True,,3,think,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_20,80903,snowfall_episode_ludmilla_06,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_06_25,False,,3,think,,30,30,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_21,80903,snowfall_episode_ludmilla_06,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_06_26,False,,3,think,,30,30,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_22,80903,snowfall_episode_ludmilla_06,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_06_27,False,,3,think,,30,30,1.0,,,,,,,,,,
snowfall_episode_ludmilla_06_23,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_28,True,,3,think,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_24,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_29,True,,3,think,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_25,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_30,True,,3,think,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_26,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_31,False,,3,think,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_27,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_32,True,,3,think,,30,30,1.0,,,ludmilla_w,,,,,,,
snowfall_episode_ludmilla_06_28,80903,snowfall_episode_ludmilla_06,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_06_33,True,,3,think,,30,30,1.0,,,ludmilla_w,,,,,,,
