id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
event_ltk_05_s_1,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_1,False,CommanderRoom,1,1,1.0,bgm_recognition_underworld,,,,,,,,,,,,,,,
event_ltk_05_s_2,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_2,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_3,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_3,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_4,40012,event_ltk_05_s,Narration,Narration,Locale_SubScenario:event_ltk_05_s_4,False,,1,1,1.0,,sfx_scn_autodooropen,,,,,,,,,,,,,,
event_ltk_05_s_5,40012,event_ltk_05_s,Self,Self,Locale_SubScenario:event_ltk_05_s_5,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_6,40012,event_ltk_05_s,Speech,d,Locale_SubScenario:event_ltk_05_s_6,True,,1,1,1.0,,,d,d,1,idle,,,,,,,,,,
event_ltk_05_s_7,40012,event_ltk_05_s,Self,Self,Locale_SubScenario:event_ltk_05_s_7,False,,1,1,1.0,,,d,,1,idle,,,,,,,,,,
event_ltk_05_s_8,40012,event_ltk_05_s,Speech,d,Locale_SubScenario:event_ltk_05_s_8,True,,1,1,1.0,,,d,,1,idle,,,,,,,,,,
event_ltk_05_s_9,40012,event_ltk_05_s,Self,Self,Locale_SubScenario:event_ltk_05_s_9,False,,1,1,1.0,,,d,,1,idle,,,,,,,,,,
event_ltk_05_s_10,40012,event_ltk_05_s,Speech,d,Locale_SubScenario:event_ltk_05_s_10,True,,1,1,1.0,,,d,,1,idle,,,,,,,,,,
event_ltk_05_s_11,40012,event_ltk_05_s,Speech,d,Locale_SubScenario:event_ltk_05_s_11,True,,1,1,1.0,,,d,,1,idle,,,,,,,,,,
event_ltk_05_s_12,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_12,False,,1,10,2.0,,,,,1,idle,,,,,,,,,,
event_ltk_05_s_13,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_13,False,,10,10,1.0,,,,,1,idle,,,,,,,,,,
event_ltk_05_s_14,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_14,False,TatamiRoom,1,1,1.0,,,,,1,idle,d,black,,,,,,,,
event_ltk_05_s_15,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_15,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_16,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_16,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_17,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_17,False,OuterRim,1,1,1.0,,,,product08,1,idle,,,,,,,,,,
event_ltk_05_s_18,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_18,False,,1,12,1.0,,,,,1,idle,,,soldierow,13,idle,,,,,
event_ltk_05_s_19,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_19,False,,12,14,1.0,,,,,1,idle,,,,13,idle,idollocean,15,idle,,
event_ltk_05_s_20,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_20,False,,14,14,1.0,,,,,1,idle,,,,13,idle,,15,idle,,
event_ltk_05_s_21,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_21,False,,black,black,1.0,,,,,1,idle,product08,,,13,idle,,15,idle,soldierow,idollocean
event_ltk_05_s_22,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_22,False,City_d,black,black,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_23,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_23,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_24,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_24,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_25,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_25,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_26,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_26,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_27,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_27,False,Restaurant,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_28,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_28,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_29,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_29,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_ltk_05_s_30,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_30,False,CommanderRoom,10,10,1.0,,,,d,1,idle,,black,,,,,,,,
event_ltk_05_s_31,40012,event_ltk_05_s,Self,Self,Locale_SubScenario:event_ltk_05_s_31,False,,10,10,1.0,,,,,1,idle,,,,,,,,,,
event_ltk_05_s_32,40012,event_ltk_05_s,Self,Self,Locale_SubScenario:event_ltk_05_s_32,False,,10,10,1.0,,,,,1,idle,,,,,,,,,,
event_ltk_05_s_33,40012,event_ltk_05_s,Speech,d,Locale_SubScenario:event_ltk_05_s_33,True,,10,10,1.0,,,d,,1,think,,,,,,,,,,
event_ltk_05_s_34,40012,event_ltk_05_s,Self,Self,Locale_SubScenario:event_ltk_05_s_34,False,,10,10,1.0,,,,,1,think,,,,,,,,,,
event_ltk_05_s_35,40012,event_ltk_05_s,Speech,d,Locale_SubScenario:event_ltk_05_s_35,True,,10,10,1.0,,,d,,1,idle,,,,,,,,,,
event_ltk_05_s_36,40012,event_ltk_05_s,Narration,Narration,Locale_SubScenario:event_ltk_05_s_36,False,,black,black,1.0,,sfx_scn_autodooropen,,,1,idle,,,,,,,,,,
event_ltk_05_s_37,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_37,True,,1,12,1.0,,,k,,1,idle,,,k,13,idle,,,,,
event_ltk_05_s_38,40012,event_ltk_05_s,Self,Self,Locale_SubScenario:event_ltk_05_s_38,False,,12,12,1.0,,,,,1,idle,,,,13,idle,,,,,
event_ltk_05_s_39,40012,event_ltk_05_s,Speech,d,Locale_SubScenario:event_ltk_05_s_39,False,,12,12,1.0,,,d,,1,idle,,,,13,idle,,,,,
event_ltk_05_s_40,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_40,True,,12,12,1.0,,,k,,1,idle,,,,13,surprise,,,,,
event_ltk_05_s_41,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_41,True,,12,12,1.0,,,k,,1,idle,,,,13,surprise,,,,,
event_ltk_05_s_42,40012,event_ltk_05_s,Self,Self,Locale_SubScenario:event_ltk_05_s_42,False,,12,12,1.0,,,,,1,idle,,,,13,surprise,,,,,
event_ltk_05_s_43,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_43,True,,12,12,1.0,,,k,,1,idle,,,,13,think,,,,,
event_ltk_05_s_44,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_44,True,,12,12,1.0,,,k,,1,idle,,,,13,think,,,,,
event_ltk_05_s_45,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_45,True,,12,S_130,2.0,,,k,,1,idle,,,,13,delight,,,,,
event_ltk_05_s_46,40012,event_ltk_05_s,Self,Self,Locale_SubScenario:event_ltk_05_s_46,False,,S_130,S_130,1.0,,,,,1,idle,,,,13,delight,,,,,
event_ltk_05_s_47,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_47,True,,S_130,S_130,1.0,,,k,,1,idle,,,,13,delight,,,,,
event_ltk_05_s_48,40012,event_ltk_05_s,Monologue,Monologue,Locale_SubScenario:event_ltk_05_s_48,False,,S_130,S_1300,1.0,,,,,1,idle,,,,13,delight,,,,,
event_ltk_05_s_49,40012,event_ltk_05_s,Self,Self,Locale_SubScenario:event_ltk_05_s_49,False,,S_1300,S_130,1.0,,,,,1,idle,,,,13,delight,,,,,
event_ltk_05_s_50,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_50,True,,S_130,13,2.0,,,k,,1,idle,,,,13,think,,,,,
event_ltk_05_s_51,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_51,True,,13,13,1.0,,,k,,1,idle,,,,13,idle,,,,,
event_ltk_05_s_52,40012,event_ltk_05_s,Speech,d,Locale_SubScenario:event_ltk_05_s_52,True,,13,12,1.0,,,d,,1,idle,,,,13,idle,,,,,
event_ltk_05_s_53,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_53,True,,12,12,1.0,,,k,,1,idle,,,,13,delight,,,,,
event_ltk_05_s_54,40012,event_ltk_05_s,Speech,k,Locale_SubScenario:event_ltk_05_s_54,True,,12,12,1.0,,,k,,1,idle,,,,13,delight,,,,,
