id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
event_ce004_3_04_e_1,40057,event_ce004_3_04_e,Monologue,ce004_04,Locale_SubScenario:event_ce004_3_04_e_1,False,WasteLand_02,black,black,1.0,event_bgm_ce004_nouvellesortie,,,ein,7,idle,,zwei,5,idle,,,,,,ce004_04,3,idle,ce004_01,1,surprise,,,,,,,,,,,,,
event_ce004_3_04_e_2,40057,event_ce004_3_04_e,Speech,ce004_04,Locale_SubScenario:event_ce004_3_04_e_2,True,,2,2,1.0,,ce004_04,,,7,idle,,,5,idle,,,,,,,3,idle,,1,surprise,,,,,,,,,,,,,
event_ce004_3_04_e_3,40057,event_ce004_3_04_e,Speech,ce004_01,Locale_SubScenario:event_ce004_3_04_e_3,True,,2,2,1.0,,ce004_01,,,7,idle,,,5,idle,,,,,,,3,idle,,1,surprise,,,,,,,,,,,,,
event_ce004_3_04_e_4,40057,event_ce004_3_04_e,Speech,ein,Locale_SubScenario:event_ce004_3_04_e_4,True,,6,6,1.0,,ein,,,7,surprise,,,5,idle,,,,,,,3,idle,,1,surprise,,,,,,,,,,,,,
event_ce004_3_04_e_5,40057,event_ce004_3_04_e,Speech,zwei,Locale_SubScenario:event_ce004_3_04_e_5,True,,6,6,1.0,,zwei,,,7,surprise,,,5,surprise,,,,,,,3,idle,,1,surprise,,diesel,13,idle,,brid,15,idle,,soline,17,idle,
event_ce004_3_04_e_6,40057,event_ce004_3_04_e,Self,zwei,Locale_SubScenario:event_ce004_3_04_e_6,False,,6,6,1.0,,,,,7,surprise,,,5,surprise,,,,,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_7,40057,event_ce004_3_04_e,Speech,diesel,Locale_SubScenario:event_ce004_3_04_e_7,True,,14,14,1.0,,diesel,,,7,surprise,ein,,5,surprise,zwei,,,,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_8,40057,event_ce004_3_04_e,Speech,diesel,Locale_SubScenario:event_ce004_3_04_e_8,True,,14,14,1.0,,diesel,,,,,,,,,,,,,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_9,40057,event_ce004_3_04_e,Speech,brid,Locale_SubScenario:event_ce004_3_04_e_9,True,,14,14,1.0,,brid,,,,,,,,,,,,,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_10,40057,event_ce004_3_04_e,Speech,brid,Locale_SubScenario:event_ce004_3_04_e_10,True,,14,14,1.0,,brid,,,,,,,,,,,,,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_11,40057,event_ce004_3_04_e,Speech,soline,Locale_SubScenario:event_ce004_3_04_e_11,True,,14,16,1.0,,soline,,,,,,,,,,,,,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_12,40057,event_ce004_3_04_e,Speech,ce004_01,Locale_SubScenario:event_ce004_3_04_e_12,True,,2,2,1.0,,ce004_01,,,,,,,,,,marciana,6,idle,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_13,40057,event_ce004_3_04_e,Speech,marciana,Locale_SubScenario:event_ce004_3_04_e_13,True,,60,60,1.0,,marciana,,,,,,,,,,,6,idle,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_14,40057,event_ce004_3_04_e,Speech,marciana,Locale_SubScenario:event_ce004_3_04_e_14,True,,60,60,1.0,,marciana,,,,,,,,,,,6,idle,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_15,40057,event_ce004_3_04_e,Speech,marciana,Locale_SubScenario:event_ce004_3_04_e_15,True,,60,60,1.0,,marciana,,,,,,,,,,,6,idle,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_16,40057,event_ce004_3_04_e,Speech,marciana,Locale_SubScenario:event_ce004_3_04_e_16,True,,60,60,1.0,,marciana,,,,,,,,,,,6,idle,,,3,idle,,1,surprise,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_17,40057,event_ce004_3_04_e,Speech,ce004_01,Locale_SubScenario:event_ce004_3_04_e_17,True,,2,2,1.0,,ce004_01,,,,,,,,,,,6,idle,,,3,idle,,1,angry,,,13,idle,,,15,idle,,,17,idle,
event_ce004_3_04_e_18,40057,event_ce004_3_04_e,Speech,ce004_01,Locale_SubScenario:event_ce004_3_04_e_18,True,,2,2,1.0,,ce004_01,,,,,,,,,,,6,idle,marciana,,3,idle,,1,angry,,,13,idle,,,15,idle,,,17,idle,
