id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,set_filter_01,set_filter_02,characters/0/hide_char_id,jump_target,play_sound
event_wisdomspring_05_s_1,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_1,True,Laboratory,black,black,1.0,bgm_recognition_underworld,,,,,,,,,
event_wisdomspring_05_s_2,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_2,False,,black,black,1.0,,wisdomspring_event,1,idle,,,,,,
event_wisdomspring_05_s_3,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_3,False,,wisdomspring_02,wisdomspring_02,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_4,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_4,True,,wisdomspring_02,wisdomspring_02,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_5,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_5,False,,wisdomspring_02,wisdomspring_02,1.0,,,1,idle,,,,,,
event_wisdomspring_05_s_6,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_6,False,,wisdomspring_02,wisdomspring_01,2.0,,,1,idle,,,,,,
event_wisdomspring_05_s_7,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_7,False,,wisdomspring_01,wisdomspring_01,1.0,,,1,idle,Low_2,Blur_High,Vignetting,,,
event_wisdomspring_05_s_8,40068,event_wisdomspring_05_s,Monologue,mana,,Locale_SubScenario:event_wisdomspring_05_s_8,False,,wisdomspring_01,wisdomspring_01,1.0,,,1,idle,,Blur_High,Vignetting,,,
event_wisdomspring_05_s_9,40068,event_wisdomspring_05_s,Speech,mana,mana,Locale_SubScenario:event_wisdomspring_05_s_9,True,,wisdomspring_01,wisdomspring_01,1.0,,,1,idle,,Blur_High,Vignetting,,,
event_wisdomspring_05_s_10,40068,event_wisdomspring_05_s,Self,mana,,Locale_SubScenario:event_wisdomspring_05_s_10,False,,wisdomspring_01,wisdomspring_01,1.0,,,1,idle,,Blur_High,Vignetting,,,
