id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_ce003_2_intermission_01_1,40042,event_ce003_2_intermission_01,Monologue,Locale_SubScenario:event_ce003_2_intermission_01_1,False,LivingRoom,black,black,1.0,event_bgm_ce003_story_1,,,,ce_003_03,1,idle,ce_003_01,13,idle,
event_ce003_2_intermission_01_2,40042,event_ce003_2_intermission_01,Monologue,Locale_SubScenario:event_ce003_2_intermission_01_2,False,,black,black,1.0,,,,,,1,idle,,13,idle,
event_ce003_2_intermission_01_3,40042,event_ce003_2_intermission_01,Self,Locale_SubScenario:event_ce003_2_intermission_01_3,False,,15,13,1.0,,,,,,1,idle,,13,idle,
event_ce003_2_intermission_01_4,40042,event_ce003_2_intermission_01,Speech,Locale_SubScenario:event_ce003_2_intermission_01_4,True,,13,S_130,1.0,,ce_003_01,ce_003_01,,,1,idle,,13,idle,
event_ce003_2_intermission_01_5,40042,event_ce003_2_intermission_01,Speech,Locale_SubScenario:event_ce003_2_intermission_01_5,True,,S_130,S_130,1.0,,ce_003_01,ce_003_01,,,1,idle,,13,idle,
event_ce003_2_intermission_01_6,40042,event_ce003_2_intermission_01,Speech,Locale_SubScenario:event_ce003_2_intermission_01_6,True,,S_130,S_130,1.0,,ce_003_01,ce_003_01,,,1,idle,,13,idle,
event_ce003_2_intermission_01_7,40042,event_ce003_2_intermission_01,Self,Locale_SubScenario:event_ce003_2_intermission_01_7,False,,S_130,S_130,1.0,,ce_003_01,,,,1,idle,,13,idle,
event_ce003_2_intermission_01_8,40042,event_ce003_2_intermission_01,Speech,Locale_SubScenario:event_ce003_2_intermission_01_8,True,,S_130,113,1.0,,ce_003_03,ce_003_03,,,1,special,,13,idle,
event_ce003_2_intermission_01_9,40042,event_ce003_2_intermission_01,Speech,Locale_SubScenario:event_ce003_2_intermission_01_9,True,,113,113,1.0,,ce_003_01,ce_003_01,,,1,idle,,13,idle,
event_ce003_2_intermission_01_10,40042,event_ce003_2_intermission_01,Speech,Locale_SubScenario:event_ce003_2_intermission_01_10,True,,113,113,1.0,,ce_003_01,ce_003_01,,,1,idle,,13,idle,
