id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,is_exit_scenario,highlight,speaker
snowfall_episode_noirblanc_06_1,80903,snowfall_episode_noirblanc_06,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_06_1,False,noir_c,1,surprise,blanc_c,13,think,HotSpringInnIn_n,12,12,1.0,event_bgm_neverland_hugme_night,,,,
snowfall_episode_noirblanc_06_2,80903,snowfall_episode_noirblanc_06,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_06_2,False,,1,surprise,,13,think,,12,12,1.0,,,,,
snowfall_episode_noirblanc_06_3,80903,snowfall_episode_noirblanc_06,Choice,Locale_SubScenario:snowfall_episode_noirblanc_06_3,False,,1,surprise,,13,think,,12,12,1.0,,snowfall_episode_noirblanc_06_6,,,
snowfall_episode_noirblanc_06_4,80903,snowfall_episode_noirblanc_06,Choice,Locale_SubScenario:snowfall_episode_noirblanc_06_4,False,,1,surprise,,13,think,,12,12,1.0,,snowfall_episode_noirblanc_06_5,,,
snowfall_episode_noirblanc_06_5,80903,snowfall_episode_noirblanc_06,Monologue,Locale_SubScenario:snowfall_episode_noirblanc_06_5,False,,1,surprise,,13,think,,black,black,1.0,,,True,,
snowfall_episode_noirblanc_06_6,80903,snowfall_episode_noirblanc_06,Speech,Locale_SubScenario:snowfall_episode_noirblanc_06_6,True,,1,idle,,13,think,,12,12,1.0,,,,noir_c,noir_c
snowfall_episode_noirblanc_06_7,80903,snowfall_episode_noirblanc_06,Speech,Locale_SubScenario:snowfall_episode_noirblanc_06_7,True,,1,idle,,13,think,,12,12,1.0,,,,blanc_c,blanc_c
snowfall_episode_noirblanc_06_8,80903,snowfall_episode_noirblanc_06,Self,Locale_SubScenario:snowfall_episode_noirblanc_06_8,False,,1,idle,,13,think,,12,12,1.0,,,,,
snowfall_episode_noirblanc_06_9,80903,snowfall_episode_noirblanc_06,Speech,Locale_SubScenario:snowfall_episode_noirblanc_06_9,True,,1,idle,,13,think,,12,L_130,1.0,,,,blanc_c,blanc_c
snowfall_episode_noirblanc_06_10,80903,snowfall_episode_noirblanc_06,Speech,Locale_SubScenario:snowfall_episode_noirblanc_06_10,True,,1,idle,,13,think,,L_130,L_130,1.0,,,,blanc_c,blanc_c
snowfall_episode_noirblanc_06_11,80903,snowfall_episode_noirblanc_06,Speech,Locale_SubScenario:snowfall_episode_noirblanc_06_11,True,,1,idle,,13,think,,L_130,L_130,1.0,,,,blanc_c,blanc_c
snowfall_episode_noirblanc_06_12,80903,snowfall_episode_noirblanc_06,Self,Locale_SubScenario:snowfall_episode_noirblanc_06_12,False,,1,idle,,13,think,,L_130,L_130,1.0,,,,,
snowfall_episode_noirblanc_06_13,80903,snowfall_episode_noirblanc_06,Speech,Locale_SubScenario:snowfall_episode_noirblanc_06_13,True,,1,idle,,13,think,,L_130,L_130,1.0,,,,blanc_c,blanc_c
