id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_ce006_2_02_e_1,40080,event_ce006_2_02_e,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_e_1,True,bunkerofartist,XS_150,XS_150,1.0,none,,neon,5,idle,,elegg,3,idle,,rapi,1,idle,,anis,13,void,,hermin,15,idle,
event_ce006_2_02_e_2,40080,event_ce006_2_02_e,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_e_2,True,,XS_150,XS_150,1.0,,,,5,idle,,,3,idle,,,1,idle,,,13,void,,,15,idle,
event_ce006_2_02_e_3,40080,event_ce006_2_02_e,Self,hermin,,Locale_MainScenario:event_ce006_2_02_e_3,False,,XS_150,XS_150,1.0,,,,5,idle,,,3,idle,,,1,idle,,,13,void,,,15,idle,
event_ce006_2_02_e_4,40080,event_ce006_2_02_e,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_e_4,True,,XS_150,XS_150,1.0,,,,5,idle,,,3,idle,,,1,idle,,,13,void,,,15,idle,
event_ce006_2_02_e_5,40080,event_ce006_2_02_e,Self,hermin,,Locale_MainScenario:event_ce006_2_02_e_5,False,,XS_150,XS_150,1.0,,,,5,idle,,,3,idle,,,1,idle,,,13,void,,,15,idle,
event_ce006_2_02_e_6,40080,event_ce006_2_02_e,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_e_6,False,artcity_d,black,black,1.0,collab_bgm_sb_landscapeofthepast,,,5,idle,neon,,3,idle,elegg,,1,idle,rapi,,13,void,anis,,15,idle,hermin
event_ce006_2_02_e_7,40080,event_ce006_2_02_e,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_e_7,True,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,,,
event_ce006_2_02_e_8,40080,event_ce006_2_02_e,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_e_8,True,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,,,
event_ce006_2_02_e_9,40080,event_ce006_2_02_e,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_e_9,True,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,,,
event_ce006_2_02_e_10,40080,event_ce006_2_02_e,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_e_10,True,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,,,
