id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_bowwowparadise_02_s_1,40010,event_bowwowparadise_02_s,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_02_s_1,False,Police,XS_10,XS_10,1.0,sfx_scn_dogbark,bgm_story_herecomestrouble,,,,,,poli,15,angry,miranda,17,idle,puppies,1,special,,,,,
event_bowwowparadise_02_s_2,40010,event_bowwowparadise_02_s,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_02_s_2,False,,XS_10,XS_10,1.0,,,Low_2,,,,,,15,angry,,17,idle,,1,special,,,,,
event_bowwowparadise_02_s_3,40010,event_bowwowparadise_02_s,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_02_s_3,False,,XS_10,XS_10,1.0,,,,,,,,,15,angry,,17,idle,,1,idle,,,,,
event_bowwowparadise_02_s_4,40010,event_bowwowparadise_02_s,Speech,miranda,miranda,Locale_SubScenario:event_bowwowparadise_02_s_4,True,,XS_10,1517,2.0,,,,,,,,,15,angry,,17,idle,,1,idle,,,,,
event_bowwowparadise_02_s_5,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_5,True,,1517,1517,1.0,,,,,,,,,15,angry,,17,idle,,1,idle,,,,,
event_bowwowparadise_02_s_6,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_6,True,,1517,1517,1.0,,,,,,,,,15,angry,,17,idle,,1,idle,,,,,
event_bowwowparadise_02_s_7,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_7,True,,1517,1517,1.0,,,,,,,,,15,angry,,17,idle,,1,idle,,,,,
event_bowwowparadise_02_s_8,40010,event_bowwowparadise_02_s,Speech,miranda,miranda,Locale_SubScenario:event_bowwowparadise_02_s_8,True,,1517,1517,1.0,,,,,,,,,15,angry,,17,idle,,1,idle,,,,,
event_bowwowparadise_02_s_9,40010,event_bowwowparadise_02_s,Speech,miranda,miranda,Locale_SubScenario:event_bowwowparadise_02_s_9,True,,1517,1517,1.0,,,,,,,,,15,angry,,17,idle,,1,idle,,,,,
event_bowwowparadise_02_s_10,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_10,True,,1517,XS_150,0.5,,,,,,,,,15,angry,,17,idle,,1,idle,,,,,
event_bowwowparadise_02_s_11,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_11,True,,XS_150,XS_150,1.0,,,,,,,,,15,angry,,17,idle,,1,idle,,,,,
event_bowwowparadise_02_s_12,40010,event_bowwowparadise_02_s,Speech,puppies,puppies,Locale_SubScenario:event_bowwowparadise_02_s_12,False,,XS_150,1315,1.0,,,,,,,,,15,angry,,17,idle,,13,idle,,,,,
event_bowwowparadise_02_s_13,40010,event_bowwowparadise_02_s,Narration,,,Locale_SubScenario:event_bowwowparadise_02_s_13,False,,1315,1315,1.0,,,,,,,,,15,angry,,17,idle,,13,special,,,,,
event_bowwowparadise_02_s_14,40010,event_bowwowparadise_02_s,Speech,miranda,miranda,Locale_SubScenario:event_bowwowparadise_02_s_14,True,,1315,1315,1.0,,,,,,,,,15,angry,,17,idle,,13,special,,,,,
event_bowwowparadise_02_s_15,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_15,False,,1315,1517,2.0,,,,,,,,,15,sad,,17,think,,13,special,,,,,
event_bowwowparadise_02_s_16,40010,event_bowwowparadise_02_s,Speech,miranda,miranda,Locale_SubScenario:event_bowwowparadise_02_s_16,False,,1517,1517,1.0,,,,,,,,,15,sad,,17,think,,13,special,,,,,
event_bowwowparadise_02_s_17,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_17,True,,1517,1517,1.0,,,,,,,,,15,sad,,17,think,,13,special,,,,,
event_bowwowparadise_02_s_18,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_18,True,,1517,1517,1.0,,,,,,,,,15,sad,,17,think,,13,special,,,,,
event_bowwowparadise_02_s_19,40010,event_bowwowparadise_02_s,Narration,,,Locale_SubScenario:event_bowwowparadise_02_s_19,False,,black,black,1.0,sfx_scn_autodooropen,,,,,,,,15,sad,,17,think,,3,special,,,,,
event_bowwowparadise_02_s_20,40010,event_bowwowparadise_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_02_s_20,True,,XS_130,XS_130,1.0,,,,,biscuit,13,idle,,15,sad,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_21,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_21,True,,XS_130,1315,1.0,,,,,,13,idle,,15,idle,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_22,40010,event_bowwowparadise_02_s,Self,,,Locale_SubScenario:event_bowwowparadise_02_s_22,False,,1315,1315,1.0,,,,,,13,sad,,15,idle,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_23,40010,event_bowwowparadise_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_02_s_23,True,,1315,1315,1.0,,,,,,13,sad,,15,idle,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_24,40010,event_bowwowparadise_02_s,Speech,miranda,miranda,Locale_SubScenario:event_bowwowparadise_02_s_24,True,,1315,1517,1.0,,,,,,13,sad,,15,idle,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_25,40010,event_bowwowparadise_02_s,Choice,,,Locale_SubScenario:event_bowwowparadise_02_s_25,False,,1517,1517,1.0,,,,event_bowwowparadise_02_s_27,,13,sad,,15,idle,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_26,40010,event_bowwowparadise_02_s,Choice,,,Locale_SubScenario:event_bowwowparadise_02_s_26,False,,1517,1517,1.0,,,,event_bowwowparadise_02_s_27,,13,sad,,15,idle,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_27,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_27,True,,1517,1517,1.0,,none,,,,13,sad,,15,angry,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_28,40010,event_bowwowparadise_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_02_s_28,True,,1517,1315,1.0,,,,,,13,sad,,15,angry,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_29,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_29,True,,1315,1315,1.0,,,,,,13,sad,,15,idle,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_30,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_30,True,,1315,1315,1.0,,,,,,13,sad,,15,idle,,17,idle,,3,special,,,,,
event_bowwowparadise_02_s_31,40010,event_bowwowparadise_02_s,Speech,poli,poli,Locale_SubScenario:event_bowwowparadise_02_s_31,True,,1315,1315,1.0,,bgm_story_languor,,,,13,sad,,15,idle,,17,idle,,3,special,,,,,
