id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_neverland1_04_e_1,40034,event_neverland1_04_e,Monologue,Locale_MainScenario:event_neverland1_04_e_1,False,HotSpringInnIn_d,17,17,1.0,none,,,,,,mica_w,1,sad,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_04_e_2,40034,event_neverland1_04_e,Self,Locale_MainScenario:event_neverland1_04_e_2,False,,17,1,1.0,event_bgm_neverland_hugme_day,,,,,,,1,sad,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_04_e_3,40034,event_neverland1_04_e,Speech,Locale_MainScenario:event_neverland1_04_e_3,True,,1,S_10,1.0,,mica_w,mica_w,,,,,1,sad,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_04_e_4,40034,event_neverland1_04_e,Speech,Locale_MainScenario:event_neverland1_04_e_4,True,,S_10,S_10,1.0,,mica_w,mica_w,,,,,1,cry,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_04_e_5,40034,event_neverland1_04_e,Self,Locale_MainScenario:event_neverland1_04_e_5,False,,S_10,S_10,1.0,,,,,,,,1,cry,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_04_e_6,40034,event_neverland1_04_e,Speech,Locale_MainScenario:event_neverland1_04_e_6,True,,S_10,1,1.0,,mica_w,mica_w,,,,,1,cry,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_04_e_7,40034,event_neverland1_04_e,Speech,Locale_MainScenario:event_neverland1_04_e_7,True,,1,1,1.0,,mica_w,mica_w,,,,,1,cry,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_04_e_8,40034,event_neverland1_04_e,Speech,Locale_MainScenario:event_neverland1_04_e_8,True,,1,1,1.0,,mica_w,mica_w,,,,,1,cry,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_04_e_9,40034,event_neverland1_04_e,Speech,Locale_MainScenario:event_neverland1_04_e_9,True,,1,1,1.0,,mica_w,mica_w,,,,,1,cry,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_04_e_10,40034,event_neverland1_04_e,Speech,Locale_MainScenario:event_neverland1_04_e_10,True,,1,S_10,1.0,,mica_w,mica_w,,,,,1,cry,,,,,,,,,,,,,,,,,,,,,,
