id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_contents_dungeon_run_prologue_1,81701,d_contents_dungeon_run_prologue,Speech,guillotine_w_no,guillotine_w_no,Locale_SubScenario:d_contents_dungeon_run_prologue_1,True,SnowTown_d,1,1,1.0,event_bgm_icedragonsaga_adventure,,guillotine_w_no,12,idle,maiden_w,2,idle
d_contents_dungeon_run_prologue_2,81701,d_contents_dungeon_run_prologue,Speech,guillotine_w_no,guillotine_w_no,Locale_SubScenario:d_contents_dungeon_run_prologue_2,True,,1,1,1.0,,,,12,idle,,2,idle
d_contents_dungeon_run_prologue_3,81701,d_contents_dungeon_run_prologue,Speech,guillotine_w_no,guillotine_w_no,Locale_SubScenario:d_contents_dungeon_run_prologue_3,True,,1,1,1.0,,,,12,idle,,2,idle
d_contents_dungeon_run_prologue_4,81701,d_contents_dungeon_run_prologue,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_prologue_4,True,,1,1,1.0,,,,12,idle,,2,angry
d_contents_dungeon_run_prologue_5,81701,d_contents_dungeon_run_prologue,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_prologue_5,True,,1,L_20,0.5,,,,12,idle,,2,angry
d_contents_dungeon_run_prologue_6,81701,d_contents_dungeon_run_prologue,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_prologue_6,True,,L_20,L_20,1.0,,,,12,idle,,2,worry
d_contents_dungeon_run_prologue_7,81701,d_contents_dungeon_run_prologue,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_prologue_7,True,,L_20,L_20,1.0,,,,12,idle,,2,worry
d_contents_dungeon_run_prologue_8,81701,d_contents_dungeon_run_prologue,Speech,maiden_w,maiden_w,Locale_SubScenario:d_contents_dungeon_run_prologue_8,True,,L_20,L_20,1.0,,,,12,idle,,2,worry
d_contents_dungeon_run_prologue_9,81701,d_contents_dungeon_run_prologue,Self,maiden_w,,Locale_SubScenario:d_contents_dungeon_run_prologue_9,False,,L_20,L_20,1.0,,,,12,idle,,2,worry
d_contents_dungeon_run_prologue_10,81701,d_contents_dungeon_run_prologue,Self,guillotine_w_no,,Locale_SubScenario:d_contents_dungeon_run_prologue_10,False,,L_20,XS_120,1.0,,,,12,idle,,2,worry
d_contents_dungeon_run_prologue_11,81701,d_contents_dungeon_run_prologue,Speech,guillotine_w_no,guillotine_w_no,Locale_SubScenario:d_contents_dungeon_run_prologue_11,True,,XS_120,XS_120,1.0,,,,12,sad,,2,worry
d_contents_dungeon_run_prologue_12,81701,d_contents_dungeon_run_prologue,Speech,guillotine_w_no,guillotine_w_no,Locale_SubScenario:d_contents_dungeon_run_prologue_12,True,,XS_120,12,1.0,,,,12,sad,,2,worry
