id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/2/hide_char_id
event_oldtales2_03_s_1,40062,event_oldtales2_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_03_s_1,True,abe,1,idle,redshoes,13,worry,hansel,15,void,gretel,17,void,littlemermaid,19,idle,ArkCleanIndoor,113,113,1.0,none,,,,,
event_oldtales2_03_s_2,40062,event_oldtales2_03_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales2_03_s_2,True,,1,idle,,13,worry,,15,void,,17,void,,19,idle,,113,113,1.0,,,,,,
event_oldtales2_03_s_3,40062,event_oldtales2_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_03_s_3,True,,1,idle,,13,worry,,15,void,,17,void,,19,idle,,113,113,1.0,,,,,,
event_oldtales2_03_s_4,40062,event_oldtales2_03_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales2_03_s_4,True,,1,idle,,13,worry,,15,void,,17,void,,19,idle,,113,113,1.0,,,,,,
event_oldtales2_03_s_5,40062,event_oldtales2_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_03_s_5,True,,1,think,,13,worry,,15,void,,17,void,,19,idle,,113,113,1.0,,,,,,
event_oldtales2_03_s_6,40062,event_oldtales2_03_s,Speech,hansel,hansel,Locale_MainScenario:event_oldtales2_03_s_6,True,,1,think,,13,worry,,15,void,,17,void,,19,idle,,113,1517,1.5,,,,,,
event_oldtales2_03_s_7,40062,event_oldtales2_03_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_oldtales2_03_s_7,True,,1,think,,13,worry,,15,void,,17,void,,19,idle,,1517,19,1.5,,,,,,
event_oldtales2_03_s_8,40062,event_oldtales2_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_03_s_8,True,,1,worry,,13,worry,,15,void,,17,void,,19,idle,,10,10,1.0,,,,,,
event_oldtales2_03_s_9,40062,event_oldtales2_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_03_s_9,True,,5,worry,,17,idle,,13,surprise,,15,void,,19,idle,,black,black,1.0,,cinderella,3,idle,,
event_oldtales2_03_s_10,40062,event_oldtales2_03_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_03_s_10,False,,5,idle,,17,idle,,13,surprise,,15,surprise,,19,surprise,,S_30,3,1.0,event_bgm_oldtales_beyond,,3,idle,,
event_oldtales2_03_s_11,40062,event_oldtales2_03_s,Speech,hansel,hansel,Locale_MainScenario:event_oldtales2_03_s_11,False,,5,idle,,17,idle,,13,surprise,,15,surprise,,19,surprise,,3,1315,1.5,,,3,idle,,
