id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/6/hide_char_id
event_ce004_1_04_s_1,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_1,True,rapi,13,idle,anis,15,idle,neon,17,idle,ce004_01,1,idle,ce004_02,3,idle,ce004_03,5,idle,ce004_04,7,idle,CommanderRoom,130,130,1.0,bgm_inark,
event_ce004_1_04_s_2,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_2,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_3,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_3,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_4,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_4,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_5,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_5,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_6,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_6,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_7,40055,event_ce004_1_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_1_04_s_7,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,50,50,1.0,,
event_ce004_1_04_s_8,40055,event_ce004_1_04_s,Speech,ce004_01,ce004_01,Locale_SubScenario:event_ce004_1_04_s_8,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,
event_ce004_1_04_s_9,40055,event_ce004_1_04_s,Speech,ce004_02,ce004_02,Locale_SubScenario:event_ce004_1_04_s_9,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,30,30,1.0,,
event_ce004_1_04_s_10,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_10,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_11,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_11,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_12,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_12,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_13,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_13,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_14,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_14,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_15,40055,event_ce004_1_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_04_s_15,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,130,130,1.0,,
event_ce004_1_04_s_16,40055,event_ce004_1_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_1_04_s_16,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,50,50,1.0,,
event_ce004_1_04_s_17,40055,event_ce004_1_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_1_04_s_17,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,50,50,1.0,,
event_ce004_1_04_s_18,40055,event_ce004_1_04_s,Speech,ce004_01,ce004_01,Locale_SubScenario:event_ce004_1_04_s_18,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,
event_ce004_1_04_s_19,40055,event_ce004_1_04_s,Speech,ce004_01,ce004_01,Locale_SubScenario:event_ce004_1_04_s_19,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,
event_ce004_1_04_s_20,40055,event_ce004_1_04_s,Self,ce004_01,,Locale_SubScenario:event_ce004_1_04_s_20,False,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,
event_ce004_1_04_s_21,40055,event_ce004_1_04_s,Self,ce004_01,,Locale_SubScenario:event_ce004_1_04_s_21,False,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,
event_ce004_1_04_s_22,40055,event_ce004_1_04_s,Speech,ce004_01,ce004_01,Locale_SubScenario:event_ce004_1_04_s_22,False,,13,idle,,15,idle,,17,idle,,1,surprise,,3,idle,,5,idle,,7,idle,,10,10,1.0,,
event_ce004_1_04_s_23,40055,event_ce004_1_04_s,Speech,ce004_02,ce004_02,Locale_SubScenario:event_ce004_1_04_s_23,False,,13,idle,,15,idle,,17,idle,,1,surprise,,3,surprise,,5,idle,,7,idle,,30,30,1.0,,
event_ce004_1_04_s_24,40055,event_ce004_1_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_1_04_s_24,True,,13,idle,,15,idle,,17,idle,,1,surprise,,3,surprise,,5,delight,,7,idle,,50,50,1.0,,
event_ce004_1_04_s_25,40055,event_ce004_1_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_1_04_s_25,True,,13,idle,,15,idle,,17,idle,,1,surprise,,3,idle,,5,delight,,7,idle,,50,50,1.0,,
event_ce004_1_04_s_26,40055,event_ce004_1_04_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_1_04_s_26,True,,13,idle,,15,idle,,17,idle,,1,surprise,,3,idle,,5,delight,,7,idle,,50,50,1.0,,
event_ce004_1_04_s_27,40055,event_ce004_1_04_s,Speech,ce004_01,ce004_01,Locale_SubScenario:event_ce004_1_04_s_27,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,delight,,7,idle,,10,10,1.0,,
event_ce004_1_04_s_28,40055,event_ce004_1_04_s,Speech,ce004_01,ce004_01,Locale_SubScenario:event_ce004_1_04_s_28,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,delight,,7,idle,,10,10,1.0,,
event_ce004_1_04_s_29,40055,event_ce004_1_04_s,Speech,ce004_01,ce004_01,Locale_SubScenario:event_ce004_1_04_s_29,True,,13,idle,,15,idle,,17,idle,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,
