id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/hide_char_id,fade,characters/4/hide_char_id,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
event_ce006_1_02_e_1,40079,event_ce006_1_02_e,Speech,ce006_01,ce006_01,Locale_MainScenario:event_ce006_1_02_e_1,True,ce006_01,4,no,rapi,2,idle,anis,12,idle,neon,14,idle,JunkMountain,3,3,1.0,collab_bgm_sb_field_floodedcs_inst,,,,,,,,,,,,,,
event_ce006_1_02_e_2,40079,event_ce006_1_02_e,Speech,rapi,rapi,Locale_MainScenario:event_ce006_1_02_e_2,True,,4,no,,2,idle,,12,idle,,14,idle,,3,3,1.0,,,,,,,,,,,,,,,
event_ce006_1_02_e_3,40079,event_ce006_1_02_e,Speech,ce006_01,ce006_01,Locale_MainScenario:event_ce006_1_02_e_3,True,,4,no,,2,idle,,12,idle,,14,idle,,3,3,1.0,,,,,,,,,,,,,,,
event_ce006_1_02_e_4,40079,event_ce006_1_02_e,Speech,rapi,rapi,Locale_MainScenario:event_ce006_1_02_e_4,True,,4,no,,2,idle,,12,idle,,14,idle,,3,3,1.0,,,,,,,,,,,,,,,
event_ce006_1_02_e_5,40079,event_ce006_1_02_e,Speech,soundonly_l,soundonly_l,Locale_MainScenario:event_ce006_1_02_e_5,True,,4,no,,2,idle,,12,idle,,14,idle,,3,3,1.0,,soundonly_l,OP_rightup,idle,,,,,,,,,,,
event_ce006_1_02_e_6,40079,event_ce006_1_02_e,Speech,soundonly_l,soundonly_a,Locale_MainScenario:event_ce006_1_02_e_6,True,,4,no,,2,idle,,12,idle,,14,idle,,3,3,1.0,,,OP_rightup,idle,,,,,,,,,,,
event_ce006_1_02_e_7,40079,event_ce006_1_02_e,Speech,anis,anis,Locale_MainScenario:event_ce006_1_02_e_7,True,,4,no,,2,idle,,12,no,,14,idle,,3,1,1.3,,,OP_rightup,idle,,,,,,,,,,,
event_ce006_1_02_e_8,40079,event_ce006_1_02_e,Speech,soundonly_l,soundonly_l,Locale_MainScenario:event_ce006_1_02_e_8,True,,4,no,,2,idle,,12,no,,14,idle,,1,1,1.0,,,OP_rightup,idle,,,,,,,,,,,
event_ce006_1_02_e_9,40079,event_ce006_1_02_e,Speech,soundonly_l,soundonly_a,Locale_MainScenario:event_ce006_1_02_e_9,True,,4,no,,2,idle,,12,no,,14,idle,,1,1,1.0,,,OP_rightup,idle,,,,,,,,,,,
event_ce006_1_02_e_10,40079,event_ce006_1_02_e,Self,soundonly_l,,Locale_MainScenario:event_ce006_1_02_e_10,False,,4,no,,2,idle,,12,no,,14,idle,,1,1,1.0,,,OP_rightup,idle,,,,,,,,,,,
event_ce006_1_02_e_11,40079,event_ce006_1_02_e,Monologue,soundonly_l,,Locale_MainScenario:event_ce006_1_02_e_11,False,,4,no,,2,idle,,12,no,,14,idle,,black,black,1.0,,,OP_rightup,idle,roam,4,idle,soundonly_l,black,,,,,,
event_ce006_1_02_e_12,40079,event_ce006_1_02_e,Monologue,soundonly_l,,Locale_MainScenario:event_ce006_1_02_e_12,False,,6,no,,2,idle,,12,idle,,14,idle,,black,black,1.0,,,,,,4,idle,,,,,,,,
event_ce006_1_02_e_13,40079,event_ce006_1_02_e,Speech,ce006_01,ce006_01,Locale_MainScenario:event_ce006_1_02_e_13,True,,6,idle,,2,idle,,12,idle,,14,idle,,5,5,1.0,,,,,,4,idle,,,,,,,,
event_ce006_1_02_e_14,40079,event_ce006_1_02_e,Speech,soundonly_l,soundonly_l,Locale_MainScenario:event_ce006_1_02_e_14,True,,6,idle,,2,idle,,12,idle,,14,idle,,5,5,1.0,,soundonly_l,OP_rightup,idle,,4,idle,,,,,,,,
event_ce006_1_02_e_15,40079,event_ce006_1_02_e,Speech,roam,roam,Locale_MainScenario:event_ce006_1_02_e_15,True,,6,idle,,2,idle,,12,idle,,14,idle,,5,5,1.0,,,OP_rightup,idle,,4,idle,,,,,,,,
