id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_absolute1_06_e_1,40086,event_absolute1_06_e,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_06_e_1,True,RuinTechIndoor,30,30,1.0,bgm_story_empathize,,,,,,eunhwa_t,3,surprise,,vesti_t,1,idle,,emma_t,13,worry,,,,,,,,,
event_absolute1_06_e_2,40086,event_absolute1_06_e,Narration,eunhwa_t,,Locale_MainScenario:event_absolute1_06_e_2,False,,30,30,1.0,,,,,,,,3,surprise,,,1,idle,,,13,worry,,,,,,,,,
event_absolute1_06_e_3,40086,event_absolute1_06_e,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_06_e_3,True,,12,12,1.0,,,,,,,,3,surprise,,,1,idle,,,13,worry,,,,,,,,,
event_absolute1_06_e_4,40086,event_absolute1_06_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_06_e_4,True,,12,12,1.0,,,,,,,,3,surprise,,,1,idle,,,13,worry,,,,,,,,,
event_absolute1_06_e_5,40086,event_absolute1_06_e,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_06_e_5,True,,12,12,1.0,,,,,,,,3,surprise,,,1,idle,,,13,worry,,,,,,,,,
event_absolute1_06_e_6,40086,event_absolute1_06_e,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_06_e_6,True,,12,2,1.3,,,,,,,,3,idle,,,1,idle,,,13,worry,,,,,,,,,
event_absolute1_06_e_7,40086,event_absolute1_06_e,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_06_e_7,True,,2,2,1.0,,,,,,,,3,idle,,,1,idle,,,13,worry,,,,,,,,,
event_absolute1_06_e_8,40086,event_absolute1_06_e,Narration,vesti_t,,Locale_MainScenario:event_absolute1_06_e_8,False,EventScene_absolute_04_2,black,black,1.0,,black,,,,,,3,idle,eunhwa_t,,1,idle,vesti_t,,5,worry,emma_t,,,,,,,,
event_absolute1_06_e_9,40086,event_absolute1_06_e,Narration,vesti_t,,Locale_MainScenario:event_absolute1_06_e_9,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute1_06_e_10,40086,event_absolute1_06_e,Narration,vesti_t,,Locale_MainScenario:event_absolute1_06_e_10,False,,absolute_10,absolute_11,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute1_06_e_11,40086,event_absolute1_06_e,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_06_e_11,True,,absolute_11,absolute_11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute1_06_e_12,40086,event_absolute1_06_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_06_e_12,True,,absolute_11,absolute_11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute1_06_e_13,40086,event_absolute1_06_e,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_06_e_13,True,,absolute_11,absolute_11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute1_06_e_14,40086,event_absolute1_06_e,Narration,eunhwa_t,,Locale_MainScenario:event_absolute1_06_e_14,False,,absolute_11,absolute_11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute1_06_e_15,40086,event_absolute1_06_e,Narration,eunhwa_t,,Locale_MainScenario:event_absolute1_06_e_15,False,,absolute_11,absolute_11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
