id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_lordforjustice_02_s_1,40078,event_lordforjustice_02_s,Monologue,arcana,Locale_SubScenario:event_lordforjustice_02_s_1,False,Corridor,black,black,1.0,bgm_distress,,,,,k,2,idle,arcana,12,think
event_lordforjustice_02_s_2,40078,event_lordforjustice_02_s,Self,arcana,Locale_SubScenario:event_lordforjustice_02_s_2,False,,L_120,L_120,1.0,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_3,40078,event_lordforjustice_02_s,Monologue,arcana,Locale_SubScenario:event_lordforjustice_02_s_3,False,,L_120,L_120,1.0,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_4,40078,event_lordforjustice_02_s,Self,arcana,Locale_SubScenario:event_lordforjustice_02_s_4,False,,L_120,L_120,1.0,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_5,40078,event_lordforjustice_02_s,Speech,arcana,Locale_SubScenario:event_lordforjustice_02_s_5,True,,L_120,L_120,1.0,,arcana,,,,,2,idle,,12,think
event_lordforjustice_02_s_6,40078,event_lordforjustice_02_s,Self,arcana,Locale_SubScenario:event_lordforjustice_02_s_6,False,,L_120,L_120,1.0,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_7,40078,event_lordforjustice_02_s,Speech,arcana,Locale_SubScenario:event_lordforjustice_02_s_7,True,,L_120,L_120,1.0,,arcana,,,,,2,idle,,12,think
event_lordforjustice_02_s_8,40078,event_lordforjustice_02_s,Monologue,arcana,Locale_SubScenario:event_lordforjustice_02_s_8,False,,L_120,L_120,1.0,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_9,40078,event_lordforjustice_02_s,Self,arcana,Locale_SubScenario:event_lordforjustice_02_s_9,False,,L_120,L_120,1.0,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_10,40078,event_lordforjustice_02_s,Speech,arcana,Locale_SubScenario:event_lordforjustice_02_s_10,True,,L_120,L_120,1.0,,arcana,,,,,2,idle,,12,think
event_lordforjustice_02_s_11,40078,event_lordforjustice_02_s,Speech,arcana,Locale_SubScenario:event_lordforjustice_02_s_11,True,,L_120,L_120,1.0,,arcana,,,,,2,idle,,12,think
event_lordforjustice_02_s_12,40078,event_lordforjustice_02_s,Speech,arcana,Locale_SubScenario:event_lordforjustice_02_s_12,True,,L_120,L_120,1.0,,arcana,,,,,2,idle,,12,think
event_lordforjustice_02_s_13,40078,event_lordforjustice_02_s,Self,arcana,Locale_SubScenario:event_lordforjustice_02_s_13,False,,L_120,L_120,1.0,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_14,40078,event_lordforjustice_02_s,Speech,arcana,Locale_SubScenario:event_lordforjustice_02_s_14,True,,L_120,L_120,1.0,,arcana,,,,,2,idle,,12,think
event_lordforjustice_02_s_15,40078,event_lordforjustice_02_s,Speech,arcana,Locale_SubScenario:event_lordforjustice_02_s_15,True,,L_120,L_120,1.0,,arcana,,,,,2,idle,,12,think
event_lordforjustice_02_s_16,40078,event_lordforjustice_02_s,Speech,arcana,Locale_SubScenario:event_lordforjustice_02_s_16,True,,L_120,L_120,1.0,,arcana,,,,,2,idle,,12,think
event_lordforjustice_02_s_17,40078,event_lordforjustice_02_s,Self,arcana,Locale_SubScenario:event_lordforjustice_02_s_17,False,,L_120,12,1.3,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_18,40078,event_lordforjustice_02_s,Monologue,arcana,Locale_SubScenario:event_lordforjustice_02_s_18,False,,12,12,1.0,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_19,40078,event_lordforjustice_02_s,Narration,arcana,Locale_SubScenario:event_lordforjustice_02_s_19,False,,black,black,1.0,,,sfx_scn_phonesignal,,,,2,idle,,12,think
event_lordforjustice_02_s_20,40078,event_lordforjustice_02_s,Self,arcana,Locale_SubScenario:event_lordforjustice_02_s_20,False,,1,1,1.0,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_21,40078,event_lordforjustice_02_s,Speech,k,Locale_SubScenario:event_lordforjustice_02_s_21,True,,1,1,1.0,,k,,,,,2,idle,,12,think
event_lordforjustice_02_s_22,40078,event_lordforjustice_02_s,Speech,k,Locale_SubScenario:event_lordforjustice_02_s_22,True,,1,1,1.0,,k,,,,,2,idle,,12,think
event_lordforjustice_02_s_23,40078,event_lordforjustice_02_s,Self,k,Locale_SubScenario:event_lordforjustice_02_s_23,False,,1,1,1.0,,,,,,,2,idle,,12,think
event_lordforjustice_02_s_24,40078,event_lordforjustice_02_s,Speech,arcana,Locale_SubScenario:event_lordforjustice_02_s_24,True,,1,1,1.0,,arcana,,,,,2,idle,,12,think
event_lordforjustice_02_s_25,40078,event_lordforjustice_02_s,Speech,arcana,Locale_SubScenario:event_lordforjustice_02_s_25,True,,1,1,1.0,,arcana,,,,,2,idle,,12,angry
event_lordforjustice_02_s_26,40078,event_lordforjustice_02_s,Self,arcana,Locale_SubScenario:event_lordforjustice_02_s_26,False,,1,1,1.0,,,,,,,2,idle,,12,angry
