id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_outofuniform_05_1,130006,event_outofuniform_05,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_05_1,True,Station,120,120,1.0,bgm_story_overjoy,,,,diesel_d,4,idle,,naga_k,2,idle,,ein_k,12,surprise,,zwei_k,14,idle,,,,,,,,,
event_outofuniform_05_2,130006,event_outofuniform_05,Speech,diesel_d,diesel_d,Locale_SubScenario:event_outofuniform_05_2,True,,40,40,1.0,,,,,,4,idle,,,2,idle,,,12,surprise,,,14,idle,,,,,,,,,
event_outofuniform_05_3,130006,event_outofuniform_05,Speech,diesel_d,diesel_d,Locale_SubScenario:event_outofuniform_05_3,True,,40,40,1.0,,,,,,4,delight,,,2,idle,,,12,delight,,,14,idle,,,,,,,,,
event_outofuniform_05_4,130006,event_outofuniform_05,Speech,diesel_d,diesel_d,Locale_SubScenario:event_outofuniform_05_4,True,,40,40,1.0,,,,,,4,delight,,,2,idle,,,12,delight,,,14,idle,,,,,,,,,
event_outofuniform_05_5,130006,event_outofuniform_05,Speech,diesel_d,diesel_d,Locale_SubScenario:event_outofuniform_05_5,True,,40,40,1.0,,,,,,4,idle,,,2,idle,,,12,delight,,,14,idle,,,,,,,,,
event_outofuniform_05_6,130006,event_outofuniform_05,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_05_6,True,,140,140,1.0,,,,,,4,idle,,,2,idle,,,12,delight,,,14,good,,,,,,,,,
event_outofuniform_05_7,130006,event_outofuniform_05,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_05_7,True,,140,120,1.0,,,,,,4,idle,,,2,idle,,,12,delight,,,14,good,,,,,,,,,
event_outofuniform_05_8,130006,event_outofuniform_05,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_05_8,True,,120,L_20,1.0,,,,,,4,idle,,,2,delight,,,12,delight,,,14,good,,,,,,,,,
event_outofuniform_05_9,130006,event_outofuniform_05,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_05_9,True,,L_20,L_20,1.0,,,,,,4,idle,,,2,delight,,,12,delight,,,14,good,,,,,,,,,
event_outofuniform_05_10,130006,event_outofuniform_05,Speech,diesel_d,diesel_d,Locale_SubScenario:event_outofuniform_05_10,True,,L_20,3,1.3,,,,,,4,idle,,,2,delight,,,12,delight,,,14,good,,,,,,,,,
