id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
event_lastkingdom2_b03_e_1,40046,event_lastkingdom2_b03_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_b03_e_1,True,indivilia,1,idle,chime,3,idle,crown,5,idle,marian_q,7,idle,CrownCastleGate_d,1,1,1.0,event_bgm_lastkingdom_machines
event_lastkingdom2_b03_e_2,40046,event_lastkingdom2_b03_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_b03_e_2,True,,1,idle,,3,idle,,5,idle,,7,idle,,1,L_10,1.0,
event_lastkingdom2_b03_e_3,40046,event_lastkingdom2_b03_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_b03_e_3,True,,1,special,,3,idle,,5,idle,,7,idle,,L_10,L_10,1.0,
event_lastkingdom2_b03_e_4,40046,event_lastkingdom2_b03_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_b03_e_4,True,,1,special,,3,idle,,5,idle,,7,idle,,L_10,L_10,1.0,
event_lastkingdom2_b03_e_5,40046,event_lastkingdom2_b03_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_b03_e_5,True,,1,special,,3,idle,,5,idle,,7,idle,,L_10,L_10,1.0,
event_lastkingdom2_b03_e_6,40046,event_lastkingdom2_b03_e,Speech,chime,chime,Locale_MainScenario:event_lastkingdom2_b03_e_6,True,,1,special,,3,angry_03,,5,idle,,7,idle,,L_10,XXS_30,1.0,
event_lastkingdom2_b03_e_7,40046,event_lastkingdom2_b03_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_b03_e_7,True,,1,special,,3,angry_03,,5,idle,,7,idle,,XXS_30,31,1.0,
event_lastkingdom2_b03_e_8,40046,event_lastkingdom2_b03_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_b03_e_8,True,,1,idle,,3,angry_03,,5,idle,,7,idle,,31,31,1.0,
event_lastkingdom2_b03_e_9,40046,event_lastkingdom2_b03_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_b03_e_9,True,,1,special,,3,angry_03,,5,idle,,7,idle,,31,31,1.0,
event_lastkingdom2_b03_e_10,40046,event_lastkingdom2_b03_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_b03_e_10,True,,1,special,,3,angry_03,,5,idle,,7,idle,,31,31,1.0,
