id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_fullfoolday_07_1,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_1,True,OutpostOut,30,300,0.5,bgm_story_girlstalk,,,,rapi,5,idle,anis,3,angry,neon,1,idle
event_fullfoolday_07_2,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_2,True,,300,300,1.0,,,,,,5,idle,,3,angry,,1,idle
event_fullfoolday_07_3,130001,event_fullfoolday_07,Self,,,Locale_SubScenario:event_fullfoolday_07_3,False,,300,300,1.0,,,,,,5,idle,,3,angry,,1,idle
event_fullfoolday_07_4,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_4,True,,S_10,S_100,1.0,,,,,,5,idle,,3,angry,,1,surprise
event_fullfoolday_07_5,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_5,False,,50,50,1.0,,,,,,5,think,,3,void,,1,surprise
event_fullfoolday_07_6,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_6,False,,30,30,1.0,,,,,,5,think,,3,void,,1,surprise
event_fullfoolday_07_7,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_7,True,,30,31,1.0,,,,,,5,idle,,3,void,,1,surprise
event_fullfoolday_07_8,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_8,True,,31,31,1.0,,,,,,5,idle,,3,void,,1,surprise
event_fullfoolday_07_9,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_9,True,,31,31,1.0,,,,,,5,idle,,3,angry,,1,surprise
event_fullfoolday_07_10,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_10,True,,31,31,1.0,,,,,,5,idle,,3,angry,,1,surprise
event_fullfoolday_07_11,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_11,True,,31,S_10,1.0,,,,,,5,idle,,3,angry,,1,no
event_fullfoolday_07_12,130001,event_fullfoolday_07,Speech,anis,anis,Locale_SubScenario:event_fullfoolday_07_12,True,,S_10,30,1.0,,,,,,5,idle,,3,angry,,1,no
event_fullfoolday_07_13,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_13,True,,30,31,1.0,,,,,,5,idle,,3,angry,,1,idle
event_fullfoolday_07_14,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_14,True,,31,31,1.0,,,,,,5,idle,,3,void,,1,idle
event_fullfoolday_07_15,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_15,False,,31,S_100,0.5,,,,,,5,idle,,3,void,,1,no
event_fullfoolday_07_16,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_16,True,,S_100,S_10,1.0,,,,,,5,idle,,3,void,,1,surprise
event_fullfoolday_07_17,130001,event_fullfoolday_07,Speech,rapi,rapi,Locale_SubScenario:event_fullfoolday_07_17,True,,S_10,S_10,1.0,,,,,,5,think,,3,void,,1,surprise
event_fullfoolday_07_18,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_18,True,,S_10,S_100,0.5,,,,,,5,think,,3,void,,1,surprise
event_fullfoolday_07_19,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_19,True,,S_10,S_100,0.5,,,,,,5,idle,,3,void,,1,surprise
event_fullfoolday_07_20,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_20,True,,S_10,S_100,0.5,,,,,,5,idle,,3,void,,1,surprise
event_fullfoolday_07_21,130001,event_fullfoolday_07,Speech,neon,neon,Locale_SubScenario:event_fullfoolday_07_21,False,,S_10,S_100,0.5,,sfx_scn_cakethrow,Low_2,,,5,idle,,3,void,,1,no
