id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,play_sound
event_lionheart_06_s_1,40037,event_lionheart_06_s,Monologue,Locale_SubScenario:event_lionheart_06_s_1,False,land_n,black,black,1.0,bgm_story_inwonderland,,,,,,,,,,,
event_lionheart_06_s_2,40037,event_lionheart_06_s,Monologue,Locale_SubScenario:event_lionheart_06_s_2,False,,2,12,2.0,,,,,,,,,,,,
event_lionheart_06_s_3,40037,event_lionheart_06_s,Monologue,Locale_SubScenario:event_lionheart_06_s_3,False,,12,12,1.0,,leona_no,1,idle,biscuit,13,idle,,,,,
event_lionheart_06_s_4,40037,event_lionheart_06_s,Self,Locale_SubScenario:event_lionheart_06_s_4,False,,12,12,1.0,,,1,idle,,13,idle,,,,,
event_lionheart_06_s_5,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_5,True,,12,12,1.0,,,1,idle,,13,idle,biscuit,biscuit,,,
event_lionheart_06_s_6,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_6,True,,12,12,1.0,,,1,idle,,13,idle,biscuit,biscuit,,,
event_lionheart_06_s_7,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_7,True,,12,12,1.0,,,1,idle,,13,idle,leona_no,leona_no,,,
event_lionheart_06_s_8,40037,event_lionheart_06_s,Self,Locale_SubScenario:event_lionheart_06_s_8,False,,12,12,1.0,,,1,idle,,13,idle,leona_no,,,,
event_lionheart_06_s_9,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_9,True,,12,12,1.0,,,1,idle,,13,idle,leona_no,leona_no,,,
event_lionheart_06_s_10,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_10,True,,12,12,1.0,,,1,idle,,13,idle,biscuit,biscuit,,,
event_lionheart_06_s_11,40037,event_lionheart_06_s,Monologue,Locale_SubScenario:event_lionheart_06_s_11,False,,12,12,1.0,,,1,idle,,13,idle,biscuit,,,,
event_lionheart_06_s_12,40037,event_lionheart_06_s,Self,Locale_SubScenario:event_lionheart_06_s_12,False,,12,12,1.0,,,1,idle,,13,idle,biscuit,,,,
event_lionheart_06_s_13,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_13,True,,12,Leo_10,1.0,,,1,idle,,13,idle,leona_no,leona_no,,,
event_lionheart_06_s_14,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_14,True,,Leo_10,Leo_10,1.0,,,1,idle,,13,sad,leona_no,leona_no,,,
event_lionheart_06_s_15,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_15,True,,Leo_10,XS_130,1.0,,,1,idle,,13,sad,biscuit,biscuit,,,
event_lionheart_06_s_16,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_16,True,,XS_130,Leo_10,1.0,,,1,idle,,13,sad,leona_no,leona_no,,,
event_lionheart_06_s_17,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_17,True,,Leo_10,Leo_10,1.0,,,1,idle,,13,sad,leona_no,leona_no,,,
event_lionheart_06_s_18,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_18,True,,Leo_10,Leo_10,1.0,,,1,idle,,13,sad,leona_no,leona_no,,,
event_lionheart_06_s_19,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_19,True,,Leo_10,12,1.0,,,1,idle,,13,angry,biscuit,biscuit,,,
event_lionheart_06_s_20,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_20,True,,12,12,1.0,,,1,idle,,13,sad,biscuit,biscuit,,,
event_lionheart_06_s_21,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_21,True,,12,12,1.0,,,1,idle,,13,sad,leona_no,leona_no,,,
event_lionheart_06_s_22,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_22,True,,12,12,1.0,,,1,idle,,13,idle,biscuit,biscuit,,,
event_lionheart_06_s_23,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_23,True,,12,XS_130,1.0,,,1,idle,,13,idle,biscuit,biscuit,,,
event_lionheart_06_s_24,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_24,True,,XS_130,XS_130,1.0,,,1,idle,,13,idle,biscuit,biscuit,,,
event_lionheart_06_s_25,40037,event_lionheart_06_s,Speech,Locale_SubScenario:event_lionheart_06_s_25,True,,Leo_10,Leo_10,1.0,,,1,idle,,13,idle,leona_no,leona_no,,,
