id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/3/hide_char_id,characters/1/hide_char_id,characters/0/hide_char_id,characters/2/hide_char_id,fade
event_overzone1_01_s_1,80303,event_overzone1_01_s,Narration,Locale_MainScenario:event_overzone1_01_s_1,False,dorothy,1,worry,hongryeon,13,no,rapunzel,15,sad,Desert_05,black,black,1.0,sfx_scn_1shot,event_bgm_overzone,,,,,,,,,,
event_overzone1_01_s_2,80303,event_overzone1_01_s,Speech,Locale_MainScenario:event_overzone1_01_s_2,False,,1,worry,,13,no,,15,sad,,150,150,1.0,,,rapunzel,rapunzel,,,,,,,,
event_overzone1_01_s_3,80303,event_overzone1_01_s,Speech,Locale_MainScenario:event_overzone1_01_s_3,False,,1,worry,,13,no,,15,sad,,130,130,1.0,,,hongryeon,hongryeon,,,,,,,,
event_overzone1_01_s_4,80303,event_overzone1_01_s,Speech,Locale_MainScenario:event_overzone1_01_s_4,False,,1,worry,,13,no,,15,sad,,10,10,1.0,,,dorothy,dorothy,,,,,,,,
event_overzone1_01_s_5,80303,event_overzone1_01_s,Narration,Locale_MainScenario:event_overzone1_01_s_5,False,,1,worry,,13,no,,15,sad,,10,31,2.0,,,,,snowwhite,3,idle,,,,,
event_overzone1_01_s_6,80303,event_overzone1_01_s,Speech,Locale_MainScenario:event_overzone1_01_s_6,False,,1,worry,,13,no,,15,sad,,31,31,1.0,,,snowwhite,snowwhite,,3,idle,,,,,
event_overzone1_01_s_7,80303,event_overzone1_01_s,Speech,Locale_MainScenario:event_overzone1_01_s_7,True,,1,worry,,13,no,,15,sad,,31,31,1.0,,,dorothy,dorothy,,3,idle,,,,,
event_overzone1_01_s_8,80303,event_overzone1_01_s,Speech,Locale_MainScenario:event_overzone1_01_s_8,True,,1,worry,,13,no,,15,sad,,31,31,1.0,,,snowwhite,snowwhite,,3,idle,,,,,
event_overzone1_01_s_9,80303,event_overzone1_01_s,Speech,Locale_MainScenario:event_overzone1_01_s_9,True,,1,worry,,13,no,,15,sad,,31,31,1.0,,,dorothy,dorothy,,3,idle,,,,,
event_overzone1_01_s_10,80303,event_overzone1_01_s,Speech,Locale_MainScenario:event_overzone1_01_s_10,True,,1,worry,,13,no,,15,sad,,31,31,1.0,,,snowwhite,snowwhite,,3,pain,,,,,
