id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,characters/0/hide_char_id
snowfall_speech_npc_day7_02_1,80903,snowfall_speech_npc_day7_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day7_02_1,True,signal,3,idle,eunhwa,1,idle,DiningRoom_s,2,2,1.0,amb_so_restaurant_2,event_bgm_neverland_hugme_sunset,
snowfall_speech_npc_day7_02_2,80903,snowfall_speech_npc_day7_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day7_02_2,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day7_02_3,80903,snowfall_speech_npc_day7_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day7_02_3,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day7_02_4,80903,snowfall_speech_npc_day7_02,Speech,eunhwa,eunhwa,Locale_SubScenario:snowfall_speech_npc_day7_02_4,True,,3,shy,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day7_02_5,80903,snowfall_speech_npc_day7_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day7_02_5,True,,3,shy,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day7_02_6,80903,snowfall_speech_npc_day7_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day7_02_6,True,,3,shy,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day7_02_7,80903,snowfall_speech_npc_day7_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day7_02_7,True,,3,shy,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day7_02_8,80903,snowfall_speech_npc_day7_02,Speech,eunhwa,eunhwa,Locale_SubScenario:snowfall_speech_npc_day7_02_8,True,,3,shy,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day7_02_9,80903,snowfall_speech_npc_day7_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day7_02_9,True,,3,shy,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day7_02_10,80903,snowfall_speech_npc_day7_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day7_02_10,True,,3,shy,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day7_02_11,80903,snowfall_speech_npc_day7_02,Speech,eunhwa,eunhwa,Locale_SubScenario:snowfall_speech_npc_day7_02_11,True,,3,shy,,1,idle,,2,10,1.0,,,signal
snowfall_speech_npc_day7_02_12,80903,snowfall_speech_npc_day7_02,Speech,eunhwa,eunhwa,Locale_SubScenario:snowfall_speech_npc_day7_02_12,True,,,,,1,idle,,10,10,1.0,,,
snowfall_speech_npc_day7_02_13,80903,snowfall_speech_npc_day7_02,Speech,eunhwa,eunhwa,Locale_SubScenario:snowfall_speech_npc_day7_02_13,True,,,,,1,idle,,10,10,1.0,,,
snowfall_speech_npc_day7_02_14,80903,snowfall_speech_npc_day7_02,Narration,,,Locale_SubScenario:snowfall_speech_npc_day7_02_14,False,,,,,1,idle,,black,black,1.0,,,
