id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_camera_shake
event_1yearalready_02_1,130003,event_1yearalready_02,Monologue,Locale_SubScenario:event_1yearalready_02_1,False,OutpostOut,4,4,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,,,,,
event_1yearalready_02_2,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_2,True,,4,4,1.0,,miranda,miranda,miranda,3,idle,quiry,5,idle,poli,1,idle,,,,,,,,,,,,
event_1yearalready_02_3,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_3,True,,4,4,1.0,,quiry,quiry,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_4,130003,event_1yearalready_02,Self,Locale_SubScenario:event_1yearalready_02_4,False,,4,4,1.0,,,,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_5,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_5,True,,4,4,1.0,,miranda,miranda,,3,shy,,5,surprise,,1,idle,,,,,,,,,,,,
event_1yearalready_02_6,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_6,True,,4,4,1.0,,quiry,quiry,,3,shy,,5,surprise,,1,idle,,,,,,,,,,,,
event_1yearalready_02_7,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_7,True,,XS_10,XS_10,1.0,,poli,poli,,3,shy,,5,surprise,,1,angry,,,,,,,,,,,,
event_1yearalready_02_8,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_8,True,,4,4,1.0,,miranda,miranda,,3,idle,,5,surprise,,1,angry,,,,,,,,,,,,
event_1yearalready_02_9,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_9,True,,4,4,1.0,,quiry,quiry,,3,idle,,5,sad,,1,angry,,,,,,,,,,,,
event_1yearalready_02_10,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_10,True,,XS_10,XS_10,1.0,,poli,poli,,3,idle,,5,sad,,1,sad,,,,,,,,,,,,
event_1yearalready_02_11,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_11,True,,XS_10,1,1.0,,poli,poli,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_12,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_12,True,,1,1,1.0,,poli,poli,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_13,130003,event_1yearalready_02,Self,Locale_SubScenario:event_1yearalready_02_13,False,,1,1,1.0,,,,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_14,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_14,True,,3,S_30,0.6,,miranda,miranda,,3,shy,,5,surprise,,1,idle,,,,,,,,,,,,
event_1yearalready_02_15,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_15,True,,5,S_50,0.6,,quiry,quiry,,3,shy,,5,surprise,,1,idle,,,,,,,,,,,,
event_1yearalready_02_16,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_16,True,,XS_10,XS_10,1.0,,poli,poli,,3,shy,,5,surprise,,1,idle,,,,,,,,,,,,
event_1yearalready_02_17,130003,event_1yearalready_02,Monologue,Locale_SubScenario:event_1yearalready_02_17,False,,XS_10,XS_10,1.0,,,,,3,shy,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_18,130003,event_1yearalready_02,Narration,Locale_SubScenario:event_1yearalready_02_18,False,Police,3,3,1.0,,,,,3,idle,,5,idle,,1,idle,sfx_scn_glassdooropen,black,,,,,,,,,,
event_1yearalready_02_19,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_19,True,,3,S_30,1.0,,miranda,miranda,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_20,130003,event_1yearalready_02,Self,Locale_SubScenario:event_1yearalready_02_20,False,,S_30,S_30,1.0,,,,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_21,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_21,True,,S_30,XS_10,1.0,,poli,poli,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_22,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_22,True,,XS_10,XS_10,1.0,,poli,poli,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_23,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_23,True,,XS_10,XS_10,1.0,,poli,poli,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_24,130003,event_1yearalready_02,Self,Locale_SubScenario:event_1yearalready_02_24,False,,XS_10,XS_10,1.0,,,,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_25,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_25,True,,S_50,S_50,1.0,,quiry,quiry,,3,idle,,5,idle,,1,idle,,,,,,,,,,,,
event_1yearalready_02_26,130003,event_1yearalready_02,Narration,Locale_SubScenario:event_1yearalready_02_26,False,,S_50,S_130,1.0,none,,,,3,idle,,5,idle,,1,idle,sfx_scn_glassbreak,,,,,,,,,,,
event_1yearalready_02_27,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_27,True,,S_130,S_130,1.0,bgm_story_herecomestrouble,laplace,laplace,,3,idle,,5,idle,,1,idle,,,laplace,13,idle,maxwell,15,idle,drake,17,idle,
event_1yearalready_02_28,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_28,True,,S_130,S_130,1.0,,laplace,laplace,,3,idle,,5,idle,,1,idle,,,,13,idle,,15,idle,,17,idle,
event_1yearalready_02_29,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_29,True,,S_130,S_130,1.0,,laplace,laplace,,3,idle,,5,idle,,1,idle,,,,13,idle,,15,idle,,17,idle,
event_1yearalready_02_30,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_30,True,,S_130,14,1.0,,maxwell,maxwell,,3,idle,,5,idle,,1,idle,,,,13,idle,,15,idle,,17,idle,
event_1yearalready_02_31,130003,event_1yearalready_02,Speech,Locale_SubScenario:event_1yearalready_02_31,True,,14,14,1.0,,maxwell,maxwell,,3,idle,,5,idle,,1,idle,,,,13,idle,,15,idle,,17,idle,
