id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,highlight,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,set_filter_01,jump_target
snowfall_prologue_1,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_1,False,HotSpringInnIn_d,5,1,1.0,amb_so_inn_in_1,event_bgm_neverland_hugme_day,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_2,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_3,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_4,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_4,True,,1,10,1.0,,,blanc_c,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_5,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_5,True,,10,10,1.0,,,blanc_c,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_6,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_6,True,,10,10,1.0,,,mica_w,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_7,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_7,True,,10,10,1.0,,,ludmilla_w,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_8,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_8,True,,10,10,1.0,,,ludmilla_w,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_9,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_9,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_10,80903,snowfall_prologue,Narration,Locale_SubScenario:snowfall_prologue_10,False,White,10,1,1.0,none,none,,sfx_scn_slidingdoor,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_11,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_11,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_prologue_12,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_12,False,HotSpringInnOut_d,1,1,1.0,amb_so_inn_out_1,event_bgm_neverland_snowflakes_day,,,ludmilla_w,1,idle,blanc_c,3,idle,noir_c,5,idle,mica_w,13,idle,emma,15,idle,,,,,,,,
snowfall_prologue_13,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_13,True,,15,150,1.0,,,emma,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,emma,,,,,,,
snowfall_prologue_14,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_14,False,,150,150,1.0,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,
snowfall_prologue_15,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_15,True,,13,S_130,1.0,,,mica_w,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,mica_w,,,,,,,
snowfall_prologue_16,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_16,False,,S_130,S_130,1.0,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,
snowfall_prologue_17,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_17,True,,4,4,1.0,,,blanc_c,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,blanc_c,,,,,,,
snowfall_prologue_18,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_18,True,,4,4,1.0,,,noir_c,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,noir_c,,,,,,,
snowfall_prologue_19,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_19,False,,4,4,1.0,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,
snowfall_prologue_20,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_20,True,,1,10,1.0,,,ludmilla_w,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,ludmilla_w,,,,,,,
snowfall_prologue_21,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_21,False,,10,10,1.0,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,
snowfall_prologue_22,80903,snowfall_prologue,Self,Locale_SubScenario:snowfall_prologue_22,False,,10,10,1.0,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,
snowfall_prologue_23,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_23,True,,10,10,1.0,,,ludmilla_w,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,ludmilla_w,,,,,,,
snowfall_prologue_24,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_24,True,,10,10,1.0,,,ludmilla_w,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,ludmilla_w,,,,,,,
snowfall_prologue_25,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_25,True,,10,10,1.0,,,ludmilla_w,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,ludmilla_w,,,,,,,
snowfall_prologue_26,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_26,False,,10,10,1.0,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,
snowfall_prologue_27,80903,snowfall_prologue,Monologue,Locale_SubScenario:snowfall_prologue_27,False,,10,10,1.0,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,
snowfall_prologue_28,80903,snowfall_prologue,Self,Locale_SubScenario:snowfall_prologue_28,False,,10,10,1.0,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,
snowfall_prologue_29,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_29,True,,10,10,1.0,,,ludmilla_w,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,ludmilla_w,,,,,,,
snowfall_prologue_30,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_30,True,,10,10,1.0,,,ludmilla_w,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,ludmilla_w,,,,,,,
snowfall_prologue_31,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_31,True,,10,10,1.0,,,ludmilla_w,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,ludmilla_w,,,,,,,
snowfall_prologue_32,80903,snowfall_prologue,Self,Locale_SubScenario:snowfall_prologue_32,False,,10,10,1.0,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,
snowfall_prologue_33,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_33,True,,10,2,1.0,,,blanc_c,,,1,idle,,3,delight,,5,idle,,13,idle,,15,idle,blanc_c,,,,,,,
snowfall_prologue_34,80903,snowfall_prologue,Speech,Locale_SubScenario:snowfall_prologue_34,True,,2,2,1.0,,,blanc_c,,,1,idle,,3,delight,,5,idle,,13,idle,,15,idle,blanc_c,,,,,,,
