id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/hide_char_id,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_ce02_3_05_s_1,40027,event_ce02_3_05_s,Speech,p12,p12,Locale_SubScenario:event_ce02_3_05_s_1,True,p12,13,idle,ce_02_02,1,idle,GateKeeper_Sleep_In,12,12,1.0,event_bgm_ce002_story_3,,,,,,,,,,,,
event_ce02_3_05_s_2,40027,event_ce02_3_05_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_05_s_2,True,,13,idle,,1,idle,,12,12,1.0,,,,,,,,,,,,,
event_ce02_3_05_s_3,40027,event_ce02_3_05_s,Speech,p12,p12,Locale_SubScenario:event_ce02_3_05_s_3,True,,13,idle,,1,idle,,12,12,1.0,,,,,,,,,,,,,
event_ce02_3_05_s_4,40027,event_ce02_3_05_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_05_s_4,True,,13,idle,,1,idle,,12,1,1.0,,,,,,,,,,,,,
event_ce02_3_05_s_5,40027,event_ce02_3_05_s,Monologue,,,Locale_SubScenario:event_ce02_3_05_s_5,False,,13,idle,,1,think,,1,10,1.0,,,,,,,,,,,,,
event_ce02_3_05_s_6,40027,event_ce02_3_05_s,Narration,,,Locale_SubScenario:event_ce02_3_05_s_6,False,,13,idle,,1,think,,black,black,1.0,,sfx_scn_drawingsword,,,,,,,,,,,
event_ce02_3_05_s_7,40027,event_ce02_3_05_s,Monologue,,,Locale_SubScenario:event_ce02_3_05_s_7,False,,13,idle,,1,think,,10,10,1.0,,,,,,,,,,,,,
event_ce02_3_05_s_8,40027,event_ce02_3_05_s,Narration,,,Locale_SubScenario:event_ce02_3_05_s_8,False,,13,idle,,1,think,,black,black,1.0,,,,,,,,,,,,,
event_ce02_3_05_s_9,40027,event_ce02_3_05_s,Monologue,,,Locale_SubScenario:event_ce02_3_05_s_9,False,,13,idle,,1,think,,10,1,0.6,,,,,,,,,,,,,
event_ce02_3_05_s_10,40027,event_ce02_3_05_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_05_s_10,True,,13,idle,,1,idle,,1,1,1.0,,,,,,,,,,,,,
