id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_contents_ce004_mini_01_1,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_1,True,Laboratory,XS_10,XS_10,1.0,bgm_inark,,ether,1,idle
d_contents_ce004_mini_01_2,81501,d_contents_ce004_mini_01,Self,ether,,Locale_SubScenario:d_contents_ce004_mini_01_2,False,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_3,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_3,True,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_4,81501,d_contents_ce004_mini_01,Choice,ether,,Locale_SubScenario:d_contents_ce004_mini_01_4,False,,XS_10,XS_10,1.0,,d_contents_ce004_mini_01_6,,1,idle
d_contents_ce004_mini_01_5,81501,d_contents_ce004_mini_01,Choice,ether,,Locale_SubScenario:d_contents_ce004_mini_01_5,False,,XS_10,XS_10,1.0,,d_contents_ce004_mini_01_6,,1,idle
d_contents_ce004_mini_01_6,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_6,True,,XS_10,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_7,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_7,True,,XS_10,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_8,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_8,True,,XS_10,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_9,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_9,True,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_10,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_10,True,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_11,81501,d_contents_ce004_mini_01,Self,ether,,Locale_SubScenario:d_contents_ce004_mini_01_11,False,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_12,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_12,True,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_13,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_13,True,,XS_10,XS_100,1.0,,,,1,idle
d_contents_ce004_mini_01_14,81501,d_contents_ce004_mini_01,Monologue,ether,,Locale_SubScenario:d_contents_ce004_mini_01_14,False,,XS_100,XS_100,1.0,,,,1,idle
d_contents_ce004_mini_01_15,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_15,True,,XS_100,XS_100,1.0,,,,1,idle
d_contents_ce004_mini_01_16,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_16,True,,XS_100,XS_100,1.0,,,,1,idle
d_contents_ce004_mini_01_17,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_17,True,,XS_100,XS_100,1.0,,,,1,idle
d_contents_ce004_mini_01_18,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_18,True,,XS_100,XS_100,1.0,,,,1,idle
d_contents_ce004_mini_01_19,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_19,True,,XS_100,XS_100,1.0,,,,1,idle
d_contents_ce004_mini_01_20,81501,d_contents_ce004_mini_01,Self,ether,,Locale_SubScenario:d_contents_ce004_mini_01_20,False,,XS_100,XS_100,1.0,,,,1,idle
d_contents_ce004_mini_01_21,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_21,True,,XS_100,XS_100,1.0,,,,1,idle
d_contents_ce004_mini_01_22,81501,d_contents_ce004_mini_01,Self,ether,,Locale_SubScenario:d_contents_ce004_mini_01_22,False,,XS_100,XS_100,1.0,,,,1,idle
d_contents_ce004_mini_01_23,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_23,True,,XS_100,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_24,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_24,True,,XS_10,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_25,81501,d_contents_ce004_mini_01,Choice,ether,,Locale_SubScenario:d_contents_ce004_mini_01_25,False,,XS_10,XS_10,1.0,,d_contents_ce004_mini_01_27,,1,delight
d_contents_ce004_mini_01_26,81501,d_contents_ce004_mini_01,Choice,ether,,Locale_SubScenario:d_contents_ce004_mini_01_26,False,,XS_10,XS_10,1.0,,d_contents_ce004_mini_01_27,,1,delight
d_contents_ce004_mini_01_27,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_27,True,,XS_10,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_28,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_28,True,,XS_10,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_29,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_29,True,,XS_10,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_30,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_30,True,,XS_10,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_31,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_31,True,,XS_10,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_32,81501,d_contents_ce004_mini_01,Self,ether,,Locale_SubScenario:d_contents_ce004_mini_01_32,False,,XS_10,XS_10,1.0,,,,1,delight
d_contents_ce004_mini_01_33,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_33,True,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_34,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_34,True,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_35,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_35,True,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_36,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_36,True,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_37,81501,d_contents_ce004_mini_01,Speech,ether,ether,Locale_SubScenario:d_contents_ce004_mini_01_37,True,,XS_10,XS_10,1.0,,,,1,idle
d_contents_ce004_mini_01_38,81501,d_contents_ce004_mini_01,Self,ether,,Locale_SubScenario:d_contents_ce004_mini_01_38,False,,XS_10,XS_10,1.0,,,,1,idle
