id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound
d_ex_redash_02_3_1,80800,d_ex_redash_02_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_3_1,False,dorothy,3,idle,Grassland,black,black,1.0,none,,,,,
d_ex_redash_02_3_2,80800,d_ex_redash_02_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_3_2,True,,3,idle,,1,30,1.0,event_bgm_redash_alldownhill,dorothy,,,,
d_ex_redash_02_3_3,80800,d_ex_redash_02_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_3_3,False,,3,idle,,30,30,1.0,,,,,,
d_ex_redash_02_3_4,80800,d_ex_redash_02_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_3_4,False,,3,idle,,30,30,1.0,,,,,,
d_ex_redash_02_3_5,80800,d_ex_redash_02_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_3_5,False,,3,idle,,30,30,1.0,,,,,,
d_ex_redash_02_3_6,80800,d_ex_redash_02_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_3_6,False,,3,idle,,30,30,1.0,,,,,,
d_ex_redash_02_3_7,80800,d_ex_redash_02_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_3_7,False,,3,idle,,30,30,1.0,,,,,,
d_ex_redash_02_3_8,80800,d_ex_redash_02_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_3_8,False,,3,surprise,,30,4,1.0,,dorothy,hongryeon_o,5,surprise,
d_ex_redash_02_3_9,80800,d_ex_redash_02_3,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_3_9,True,,3,surprise,,4,4,1.0,,hongryeon_o,,5,surprise,
d_ex_redash_02_3_10,80800,d_ex_redash_02_3,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_3_10,True,,3,surprise,,4,4,1.0,,hongryeon_o,,5,surprise,
d_ex_redash_02_3_11,80800,d_ex_redash_02_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_3_11,True,,3,surprise,,4,4,1.0,,dorothy,,5,surprise,
d_ex_redash_02_3_12,80800,d_ex_redash_02_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_3_12,True,,3,surprise,,4,4,1.0,,dorothy,,5,surprise,
d_ex_redash_02_3_13,80800,d_ex_redash_02_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_3_13,True,,3,surprise,,4,4,1.0,,dorothy,,5,surprise,
d_ex_redash_02_3_14,80800,d_ex_redash_02_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_3_14,False,,3,surprise,,4,4,1.0,,dorothy,,5,surprise,
d_ex_redash_02_3_15,80800,d_ex_redash_02_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_3_15,False,,3,surprise,,4,4,1.0,,,,5,surprise,
d_ex_redash_02_3_16,80800,d_ex_redash_02_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_3_16,False,,3,surprise,,4,4,1.0,,,,5,surprise,
d_ex_redash_02_3_17,80800,d_ex_redash_02_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_3_17,False,,3,surprise,,4,4,1.0,,,,5,surprise,
d_ex_redash_02_3_18,80800,d_ex_redash_02_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_3_18,True,,3,think,,4,4,1.0,,dorothy,,5,surprise,
d_ex_redash_02_3_19,80800,d_ex_redash_02_3,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_3_19,True,,3,think,,4,4,1.0,,hongryeon_o,,5,idle,
d_ex_redash_02_3_20,80800,d_ex_redash_02_3,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_3_20,True,,3,think,,4,4,1.0,,hongryeon_o,,5,idle,
d_ex_redash_02_3_21,80800,d_ex_redash_02_3,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_3_21,True,,3,think,,4,4,1.0,,hongryeon_o,,5,idle,
d_ex_redash_02_3_22,80800,d_ex_redash_02_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_3_22,True,,3,surprise,,4,30,1.0,,dorothy,,5,idle,
