id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_filter_01,fade,jump_target
event_maidinvalentine_04_e_1,40007,event_maidinvalentine_04_e,Monologue,Monologue,Locale_SubScenario:event_maidinvalentine_04_e_1,False,sweetjohnny,5,idle,cocoa,3,idle,soda,1,sad,ade,13,idle,Storage,2,2,1.0,bgm_inark,,,,
event_maidinvalentine_04_e_2,40007,event_maidinvalentine_04_e,Speech,soda,Locale_SubScenario:event_maidinvalentine_04_e_2,True,,5,idle,,3,idle,,1,sad,,13,idle,,2,2,1.0,,soda,,,
event_maidinvalentine_04_e_3,40007,event_maidinvalentine_04_e,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_04_e_3,True,,5,idle,,3,serious,,1,sad,,13,idle,,2,2,1.0,,cocoa,,,
event_maidinvalentine_04_e_4,40007,event_maidinvalentine_04_e,Self,Self,Locale_SubScenario:event_maidinvalentine_04_e_4,False,,5,idle,,3,serious,,1,sad,,13,idle,,2,2,1.0,,,,,
event_maidinvalentine_04_e_5,40007,event_maidinvalentine_04_e,Speech,ade,Locale_SubScenario:event_maidinvalentine_04_e_5,True,,5,idle,,3,idle,,1,sad,,13,angry,,2,12,1.0,,ade,,,
event_maidinvalentine_04_e_6,40007,event_maidinvalentine_04_e,Speech,ade,Locale_SubScenario:event_maidinvalentine_04_e_6,True,,5,idle,,3,idle,,1,sad,,13,angry,,12,12,1.0,,ade,,,
event_maidinvalentine_04_e_7,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_7,True,,5,idle,,3,idle,,1,sad,,13,angry,,5,5,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_8,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_8,True,,5,idle,,3,idle,,1,sad,,13,idle,,5,5,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_9,40007,event_maidinvalentine_04_e,Speech,soda,Locale_SubScenario:event_maidinvalentine_04_e_9,True,,5,idle,,3,idle,,1,think,,13,idle,,5,2,1.0,,soda,,,
event_maidinvalentine_04_e_10,40007,event_maidinvalentine_04_e,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_04_e_10,True,,5,idle,,3,serious,,1,think,,13,idle,,2,2,1.0,,cocoa,,,
event_maidinvalentine_04_e_11,40007,event_maidinvalentine_04_e,Speech,ade,Locale_SubScenario:event_maidinvalentine_04_e_11,True,,5,idle,,3,serious,,1,think,,13,shy,,2,12,2.0,,ade,,,
event_maidinvalentine_04_e_12,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_12,True,,5,idle,,3,idle,,1,idle,,13,shy,,5,5,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_13,40007,event_maidinvalentine_04_e,Speech,sweetjohnny,Locale_SubScenario:event_maidinvalentine_04_e_13,True,,5,idle,,3,idle,,1,idle,,13,idle,,5,5,1.0,,sweetjohnny,,,
event_maidinvalentine_04_e_14,40007,event_maidinvalentine_04_e,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_04_e_14,True,,5,idle,,3,delight,,1,idle,,13,idle,,XS_30,XS_30,1.0,,cocoa,Grey,black,
event_maidinvalentine_04_e_15,40007,event_maidinvalentine_04_e,Speech,soda,Locale_SubScenario:event_maidinvalentine_04_e_15,True,,5,idle,,3,delight,,1,serious,,13,idle,,XS_30,S_10,1.0,,soda,Grey,,
