id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,fade,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_ce003_1_03_e_1,40041,event_ce003_1_03_e,Narration,Locale_SubScenario:event_ce003_1_03_e_1,False,CommanderRoom,black,black,1.0,sfx_scn_burnning,bgm_story_whosdumber,,,,,rapi,1,worry,anis,3,worry,neon,5,no,,,,,,,ce_003_03,13,no
event_ce003_1_03_e_2,40041,event_ce003_1_03_e,Speech,Locale_SubScenario:event_ce003_1_03_e_2,True,,S_50,S_50,1.0,,,neon,neon,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_3,40041,event_ce003_1_03_e,Narration,Locale_SubScenario:event_ce003_1_03_e_3,False,,black,black,1.0,sfx_scn_foodonfire,,neon,,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_4,40041,event_ce003_1_03_e,Speech,Locale_SubScenario:event_ce003_1_03_e_4,True,,30,30,1.0,,,anis,anis,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_5,40041,event_ce003_1_03_e,Narration,Locale_SubScenario:event_ce003_1_03_e_5,False,,black,black,1.0,sfx_scn_sodafalling,,anis,,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_6,40041,event_ce003_1_03_e,Speech,Locale_SubScenario:event_ce003_1_03_e_6,True,,10,10,1.0,,,rapi,rapi,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_7,40041,event_ce003_1_03_e,Monologue,Locale_SubScenario:event_ce003_1_03_e_7,False,,10,10,1.0,,,rapi,,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_8,40041,event_ce003_1_03_e,Speech,Locale_SubScenario:event_ce003_1_03_e_8,True,,10,170,2.0,,,ce_003_01,ce_003_01,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_9,40041,event_ce003_1_03_e,Speech,Locale_SubScenario:event_ce003_1_03_e_9,True,,170,170,1.0,,,ce_003_02,ce_003_02,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_10,40041,event_ce003_1_03_e,Speech,Locale_SubScenario:event_ce003_1_03_e_10,True,,170,170,1.0,,,ce_003_01,ce_003_01,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_11,40041,event_ce003_1_03_e,Monologue,Locale_SubScenario:event_ce003_1_03_e_11,False,,black,black,1.0,,,ce_003_01,,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_12,40041,event_ce003_1_03_e,Speech,Locale_SubScenario:event_ce003_1_03_e_12,True,,170,17,1.0,,,ce_003_01,ce_003_01,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_13,40041,event_ce003_1_03_e,Speech,Locale_SubScenario:event_ce003_1_03_e_13,True,,17,2,2.0,,,ce_003_02,ce_003_02,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_14,40041,event_ce003_1_03_e,Speech,Locale_SubScenario:event_ce003_1_03_e_14,True,,2,2,1.0,,,ce_003_01,ce_003_01,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
event_ce003_1_03_e_15,40041,event_ce003_1_03_e,Speech,Locale_SubScenario:event_ce003_1_03_e_15,True,,2,2,1.0,,,ce_003_02,ce_003_02,,,,1,worry,,3,worry,,5,no,,,,,,,,13,no
