id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,fade
event_beautyfullshot1_02_s_1,40051,event_beautyfullshot1_02_s,Narration,Locale_MainScenario:event_beautyfullshot1_02_s_1,False,Voyage_d,100,10,1.0,sfx_scn_boatrun,bgm_story_summermood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_02_s_2,40051,event_beautyfullshot1_02_s,Monologue,Locale_MainScenario:event_beautyfullshot1_02_s_2,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_02_s_3,40051,event_beautyfullshot1_02_s,Monologue,Locale_MainScenario:event_beautyfullshot1_02_s_3,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot1_02_s_4,40051,event_beautyfullshot1_02_s,Speech,Locale_MainScenario:event_beautyfullshot1_02_s_4,True,,90,90,1.0,,,rapi,rapi,rapi,9,idle,anis,7,delight,neon,5,no,maiden_s,3,idle,guilty,1,idle,jackal,13,idle,viper,15,idle,mary,17,idle,,,,,,,,,
event_beautyfullshot1_02_s_5,40051,event_beautyfullshot1_02_s,Speech,Locale_MainScenario:event_beautyfullshot1_02_s_5,True,,90,70,1.0,,,anis,anis,,9,idle,,7,delight,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,,
event_beautyfullshot1_02_s_6,40051,event_beautyfullshot1_02_s,Speech,Locale_MainScenario:event_beautyfullshot1_02_s_6,True,,70,S_50,1.0,,,neon,neon,,9,idle,,7,delight,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,,
event_beautyfullshot1_02_s_7,40051,event_beautyfullshot1_02_s,Speech,Locale_MainScenario:event_beautyfullshot1_02_s_7,True,,S_50,S_30,1.0,,,maiden_s,maiden_s,,9,idle,,7,delight,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,,
event_beautyfullshot1_02_s_8,40051,event_beautyfullshot1_02_s,Speech,Locale_MainScenario:event_beautyfullshot1_02_s_8,True,,S_30,10,1.0,,,guilty,guilty,,9,idle,,7,delight,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,,
event_beautyfullshot1_02_s_9,40051,event_beautyfullshot1_02_s,Speech,Locale_MainScenario:event_beautyfullshot1_02_s_9,True,,10,S_130,1.0,,,jackal,jackal,,9,idle,,7,delight,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,,
event_beautyfullshot1_02_s_10,40051,event_beautyfullshot1_02_s,Speech,Locale_MainScenario:event_beautyfullshot1_02_s_10,True,,S_130,150,1.0,,,viper,viper,,9,idle,,7,delight,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,,
event_beautyfullshot1_02_s_11,40051,event_beautyfullshot1_02_s,Speech,Locale_MainScenario:event_beautyfullshot1_02_s_11,True,,150,XS_170,1.0,,,mary,mary,,9,idle,,7,delight,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,,
event_beautyfullshot1_02_s_12,40051,event_beautyfullshot1_02_s,Speech,Locale_MainScenario:event_beautyfullshot1_02_s_12,True,,S_50,S_50,1.0,,,neon,neon,,9,idle,,7,delight,,5,delight,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,,
event_beautyfullshot1_02_s_13,40051,event_beautyfullshot1_02_s,Speech,Locale_MainScenario:event_beautyfullshot1_02_s_13,True,,S_50,S_50,1.0,,,neon,neon,,9,idle,,7,delight,,5,delight,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,,,,,,,,
