id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
snowfall_episode_mica_05_1,80903,snowfall_episode_mica_05,Narration,Locale_SubScenario:snowfall_episode_mica_05_1,False,WaterFall_d,black,black,1.0,sfx_scn_3skippingstones,amb_so_waterfall_1,event_bgm_neverland_snowflakes_day,,,,mica_w,1,idle,belorta,13,idle,blanc_c,3,delight,noir_c,5,idle
snowfall_episode_mica_05_2,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_2,True,,3,L_30,1.0,,,,blanc_c,blanc_c,,,1,idle,,13,idle,,3,delight,,5,idle
snowfall_episode_mica_05_3,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_3,True,,L_30,L_30,1.0,,,,blanc_c,blanc_c,,,1,idle,,13,idle,,3,delight,,5,idle
snowfall_episode_mica_05_4,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_4,True,,L_30,L_30,1.0,,,,blanc_c,blanc_c,,,1,idle,,13,idle,,3,idle,,5,idle
snowfall_episode_mica_05_5,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_5,True,,L_30,L_30,1.0,,,,blanc_c,blanc_c,,,1,idle,,13,idle,,3,idle,,5,idle
snowfall_episode_mica_05_6,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_6,True,,L_30,L_30,1.0,,,,blanc_c,blanc_c,,,1,idle,,13,idle,,3,idle,,5,idle
snowfall_episode_mica_05_7,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_7,True,,L_30,53,1.0,,,,noir_c,noir_c,,,1,idle,,13,idle,,3,idle,,5,idle
snowfall_episode_mica_05_8,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_8,True,,53,53,1.0,,,,noir_c,noir_c,,,1,idle,,13,idle,,3,idle,,5,idle
snowfall_episode_mica_05_9,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_9,True,,53,53,1.0,,,,blanc_c,blanc_c,,,1,idle,,13,idle,,3,idle,,5,idle
snowfall_episode_mica_05_10,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_10,True,,53,113,1.0,,,,belorta,belorta,,,1,idle,,13,idle,,3,idle,,5,idle
snowfall_episode_mica_05_11,80903,snowfall_episode_mica_05,Monologue,Locale_SubScenario:snowfall_episode_mica_05_11,False,,113,113,1.0,,,,,,,,1,idle,,13,idle,,3,idle,,5,idle
snowfall_episode_mica_05_12,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_15,True,,113,31,1.0,,,,mica_w,mica_w,,,1,idle,,13,idle,,3,idle,,5,idle
snowfall_episode_mica_05_13,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_16,True,,31,L_30,1.0,,,,blanc_c,blanc_c,,,1,idle,,13,idle,,3,idle,,5,idle
snowfall_episode_mica_05_14,80903,snowfall_episode_mica_05,Speech,Locale_SubScenario:snowfall_episode_mica_05_17,True,,L_30,L_30,1.0,,,,blanc_c,blanc_c,,,1,idle,,13,idle,,3,idle,,5,idle
