id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_juveniledays_04_s_1,40053,event_juveniledays_04_s,Narration,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_04_s_1,False,zwei,13,idle,rei,15,angry,Classroom_e,20,20,1.0,sfx_scn_schoolbell,none,,,,,,,,,,,
event_juveniledays_04_s_2,40053,event_juveniledays_04_s,Narration,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_04_s_2,False,,13,idle,,15,angry,,20,20,1.0,sfx_scn_slidingdoorpower,,Low_2,,,,,,,,,,
event_juveniledays_04_s_3,40053,event_juveniledays_04_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_04_s_3,False,,13,idle,,15,angry,,20,20,1.0,,bgm_story_fairytalesend_if,,outgoingschoolgirl,,,,,,,,,
event_juveniledays_04_s_4,40053,event_juveniledays_04_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_04_s_4,False,,13,idle,,15,angry,,20,20,1.0,,,,outgoingschoolgirl,,,,,,,,,
event_juveniledays_04_s_5,40053,event_juveniledays_04_s,Speech,generalschoolgirl,Locale_SubScenario:event_juveniledays_04_s_5,False,,13,idle,,15,angry,,20,20,1.0,,,,generalschoolgirl,,,,,,,,,
event_juveniledays_04_s_6,40053,event_juveniledays_04_s,Speech,generalschoolgirl,Locale_SubScenario:event_juveniledays_04_s_6,False,,13,idle,,15,angry,,20,20,1.0,,,,generalschoolgirl,,,,,,,,,
event_juveniledays_04_s_7,40053,event_juveniledays_04_s,Speech,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_04_s_7,False,,13,idle,,15,angry,,20,20,1.0,,,,outgoingschoolgirl,,,,,,,,,
event_juveniledays_04_s_8,40053,event_juveniledays_04_s,Speech,zwei,Locale_SubScenario:event_juveniledays_04_s_8,False,,13,idle,,15,angry,,20,14,1.0,,,,zwei,,,,,,,,,
event_juveniledays_04_s_9,40053,event_juveniledays_04_s,Speech,rei,Locale_SubScenario:event_juveniledays_04_s_9,False,,13,idle,,15,angry,,14,14,1.0,,,,rei,,,,,,,,,
event_juveniledays_04_s_10,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_10,False,,13,idle,,15,angry,ClothingStore,10,10,1.0,,,,ein,zwei,rei,ein,1,no,black,,,
event_juveniledays_04_s_11,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_11,False,,,,,,,,10,10,1.0,,,,,,,,1,no,,,,
event_juveniledays_04_s_12,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_12,False,,,,,,,,10,10,1.0,,,,ein,,,,1,no,,,,
event_juveniledays_04_s_13,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_13,False,,,,,,,,10,10,1.0,,,,,,,,1,no,,,,
event_juveniledays_04_s_14,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_14,True,,,,,,,,10,100,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_15,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_15,True,,,,,,,,100,100,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_16,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_16,True,,,,,,,,100,100,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_17,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_17,False,,,,,,,,100,100,1.0,,,,,,,,1,idle,,,,
event_juveniledays_04_s_18,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_18,False,,,,,,,,100,100,1.0,,,,,,,,1,idle,,,,
event_juveniledays_04_s_19,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_19,True,,,,,,,,100,10,1.0,,,,ein,,,,1,delight,,,,
event_juveniledays_04_s_20,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_20,True,,,,,,,,10,10,1.0,,,,ein,,,,1,shy,,,,
event_juveniledays_04_s_21,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_21,True,,,,,,,,10,10,1.0,,,,ein,,,,1,shy,,,,
event_juveniledays_04_s_22,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_22,True,,,,,,,,10,10,1.0,,,,ein,,,,1,delight,,,,
event_juveniledays_04_s_23,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_23,True,,,,,,,,10,10,1.0,,,,ein,,,,1,delight,,,,
event_juveniledays_04_s_24,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_24,False,,,,,,,,10,10,1.0,,,,,,,,1,delight,,,,
event_juveniledays_04_s_25,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_25,True,,,,,,,,10,10,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_26,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_26,False,,,,,,,,10,10,1.0,,,,ein,,,,1,no,,,,
event_juveniledays_04_s_27,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_27,True,,,,,,,,10,10,1.0,,,,ein,,,,1,delight,,,,
event_juveniledays_04_s_28,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_28,True,,,,,,,,10,10,1.0,,,,ein,,,,1,delight,,,,
event_juveniledays_04_s_29,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_29,False,,,,,,,,10,10,1.0,,,,,,,,1,delight,,,,
event_juveniledays_04_s_30,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_30,True,,,,,,,,10,10,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_31,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_31,True,,,,,,,,10,10,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_32,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_32,True,,,,,,,,10,10,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_33,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_33,False,,,,,,,,10,10,1.0,,,,,,,,1,idle,,,,
event_juveniledays_04_s_34,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_34,True,,,,,,,,10,10,1.0,,,,ein,,,,1,delight,,,,
event_juveniledays_04_s_35,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_35,True,,,,,,,,10,10,1.0,,,,ein,,,,1,delight,,,,
event_juveniledays_04_s_36,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_36,False,,,,,,,,10,10,1.0,,,,,,,,1,delight,,,,
event_juveniledays_04_s_37,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_37,False,,,,,,,,10,10,1.0,,,,,,,,1,delight,,,,
event_juveniledays_04_s_38,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_38,False,,,,,,,,10,10,1.0,,,,,,,,1,delight,,,,
event_juveniledays_04_s_39,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_39,True,,,,,,,,10,10,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_40,40053,event_juveniledays_04_s,Self,ein,Locale_SubScenario:event_juveniledays_04_s_40,False,,,,,,,,10,10,1.0,,,,,,,,1,idle,,,,
event_juveniledays_04_s_41,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_41,True,,,,,,,,10,100,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_42,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_42,True,,,,,,,,100,100,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_43,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_43,True,,,,,,,,100,100,1.0,,,,ein,,,,1,idle,,,,
event_juveniledays_04_s_44,40053,event_juveniledays_04_s,Speech,ein,Locale_SubScenario:event_juveniledays_04_s_44,True,,,,,,,,100,100,1.0,,,,ein,,,,1,idle,,,,
