id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
event_ce004_1_05_e_1,40055,event_ce004_1_05_e,Self,marciana,Locale_SubScenario:event_ce004_1_05_e_1,False,Classroom,10,10,1.0,bgm_inark,,marciana,1,idle,ein,7,surprise,,zwei,5,good,,rei,3,delight,ce004_04,13,idle,ce004_03_s,15,idle,ce004_02_s,17,idle,,,
event_ce004_1_05_e_2,40055,event_ce004_1_05_e,Speech,marciana,Locale_SubScenario:event_ce004_1_05_e_2,True,,10,10,1.0,,marciana,,1,idle,,7,surprise,,,5,good,,,3,delight,,13,idle,,15,idle,,17,idle,,,
event_ce004_1_05_e_3,40055,event_ce004_1_05_e,Speech,rei,Locale_SubScenario:event_ce004_1_05_e_3,True,,XS_30,XS_30,1.0,,rei,,1,idle,,7,surprise,,,5,good,,,3,delight,,13,idle,,15,idle,,17,idle,,,
event_ce004_1_05_e_4,40055,event_ce004_1_05_e,Speech,ein,Locale_SubScenario:event_ce004_1_05_e_4,True,,70,70,1.0,,ein,,1,idle,,7,surprise,,,5,good,,,3,delight,,13,idle,,15,idle,,17,idle,,,
event_ce004_1_05_e_5,40055,event_ce004_1_05_e,Speech,zwei,Locale_SubScenario:event_ce004_1_05_e_5,True,,50,50,1.0,,zwei,,1,idle,,7,surprise,,,5,good,,,3,delight,,13,idle,,15,idle,,17,idle,,,
event_ce004_1_05_e_6,40055,event_ce004_1_05_e,Self,zwei,Locale_SubScenario:event_ce004_1_05_e_6,False,,50,50,1.0,,,,1,idle,,7,surprise,,,5,good,,,3,delight,,13,idle,,15,idle,,17,idle,,,
event_ce004_1_05_e_7,40055,event_ce004_1_05_e,Speech,marciana,Locale_SubScenario:event_ce004_1_05_e_7,True,,50,10,1.0,,marciana,,1,idle,,7,idle,,,5,idle,,,3,idle,,13,idle,,15,idle,,17,idle,,,
event_ce004_1_05_e_8,40055,event_ce004_1_05_e,Self,marciana,Locale_SubScenario:event_ce004_1_05_e_8,False,,10,10,1.0,,,,1,idle,,7,idle,,,5,idle,,,3,idle,,13,idle,,15,idle,,17,idle,,,
event_ce004_1_05_e_9,40055,event_ce004_1_05_e,Monologue,marciana,Locale_SubScenario:event_ce004_1_05_e_9,False,,10,10,1.0,,,,1,idle,,7,idle,,,5,idle,,,3,idle,,13,idle,,15,idle,,17,idle,,,
event_ce004_1_05_e_10,40055,event_ce004_1_05_e,Speech,marciana,Locale_SubScenario:event_ce004_1_05_e_10,True,,10,10,1.0,,marciana,,1,idle,,7,idle,,,5,idle,,,3,idle,,13,idle,,15,idle,,17,idle,,,
