id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target
event_cherryblossom_05_s_1,40011,event_cherryblossom_05_s,Monologue,Locale_SubScenario:event_cherryblossom_05_s_1,False,CherryBlossom,70,10,1.0,bgm_story_backtonormal,,,,,,,,,
event_cherryblossom_05_s_2,40011,event_cherryblossom_05_s,Monologue,Locale_SubScenario:event_cherryblossom_05_s_2,False,,10,10,1.0,,,,,,,,,,
event_cherryblossom_05_s_3,40011,event_cherryblossom_05_s,Monologue,Locale_SubScenario:event_cherryblossom_05_s_3,False,,10,10,1.0,,,,,,,,,,
event_cherryblossom_05_s_4,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_4,True,,10,10,1.0,,sakura,sakura,sakura,1,delight,moran,3,idle,
event_cherryblossom_05_s_5,40011,event_cherryblossom_05_s,Choice,Locale_SubScenario:event_cherryblossom_05_s_5,False,,10,10,1.0,,,,,1,delight,,3,idle,event_cherryblossom_05_s_7
event_cherryblossom_05_s_6,40011,event_cherryblossom_05_s,Choice,Locale_SubScenario:event_cherryblossom_05_s_6,False,,10,10,1.0,,,,,1,delight,,3,idle,event_cherryblossom_05_s_7
event_cherryblossom_05_s_7,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_7,True,,10,10,1.0,,sakura,sakura,,1,delight,,3,idle,
event_cherryblossom_05_s_8,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_8,True,,10,L_30,1.0,bgm_story_languor,moran,moran,,1,delight,,3,delight,
event_cherryblossom_05_s_9,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_9,True,,L_30,L_30,1.0,,moran,moran,,1,delight,,3,delight,
event_cherryblossom_05_s_10,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_10,True,,L_30,L_30,1.0,,moran,moran,,1,delight,,3,delight,
event_cherryblossom_05_s_11,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_11,False,,2,2,1.0,,sakura,sakura,,1,idle,,3,delight,
event_cherryblossom_05_s_12,40011,event_cherryblossom_05_s,Self,Locale_SubScenario:event_cherryblossom_05_s_12,False,,2,2,1.0,,,,,1,idle,,3,delight,
event_cherryblossom_05_s_13,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_13,True,,2,2,1.0,,moran,moran,,1,idle,,3,think,
event_cherryblossom_05_s_14,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_14,True,,2,2,1.0,,moran,moran,,1,idle,,3,think,
event_cherryblossom_05_s_15,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_15,True,,2,2,1.0,,moran,moran,,1,idle,,3,think,
event_cherryblossom_05_s_16,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_16,True,,2,2,1.0,,sakura,sakura,,1,idle,,3,think,
event_cherryblossom_05_s_17,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_17,True,,2,2,1.0,,sakura,sakura,,1,idle,,3,think,
event_cherryblossom_05_s_18,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_18,True,,2,2,1.0,,moran,moran,,1,idle,,3,worry,
event_cherryblossom_05_s_19,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_19,True,,2,2,1.0,,sakura,sakura,,1,angry,,3,worry,
event_cherryblossom_05_s_20,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_20,True,,2,L_30,0.7,,moran,moran,,1,angry,,3,special,
event_cherryblossom_05_s_21,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_21,True,,L_30,L_30,1.0,,moran,moran,,1,angry,,3,special,
event_cherryblossom_05_s_22,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_22,True,,L_30,2,1.0,,sakura,sakura,,1,idle,,3,special,
event_cherryblossom_05_s_23,40011,event_cherryblossom_05_s,Monologue,Locale_SubScenario:event_cherryblossom_05_s_23,False,,2,2,1.0,,,,,1,idle,,3,think,
event_cherryblossom_05_s_24,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_24,True,,2,2,1.0,,moran,moran,,1,idle,,3,think,
event_cherryblossom_05_s_25,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_25,True,,2,2,1.0,,sakura,sakura,,1,delight,,3,think,
event_cherryblossom_05_s_26,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_26,True,,2,2,1.0,,sakura,sakura,,1,delight,,3,think,
event_cherryblossom_05_s_27,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_27,True,,2,2,1.0,,moran,moran,,1,delight,,3,delight,
event_cherryblossom_05_s_28,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_28,True,,2,2,1.0,,moran,moran,,1,delight,,3,delight,
event_cherryblossom_05_s_29,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_29,True,,2,2,1.0,,moran,moran,,1,delight,,3,delight,
event_cherryblossom_05_s_30,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_30,True,,2,10,1.0,,sakura,sakura,,1,idle,,3,delight,
event_cherryblossom_05_s_31,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_31,True,,10,10,1.0,,sakura,sakura,,1,idle,,3,delight,
event_cherryblossom_05_s_32,40011,event_cherryblossom_05_s,Speech,Locale_SubScenario:event_cherryblossom_05_s_32,True,,10,100,1.0,,sakura,sakura,,1,angry,,3,delight,
