id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,set_filter_01,set_camera_shake,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_killthelord_06_s_1,40043,event_killthelord_06_s,Monologue,d_w,Locale_SubScenario:event_killthelord_06_s_1,False,Corridor,black,black,1.0,bgm_enemyclose,,,,,,,d_w,1,special,,,,,,,,,,,,,,,,,
event_killthelord_06_s_2,40043,event_killthelord_06_s,Monologue,d_w,Locale_SubScenario:event_killthelord_06_s_2,False,,black,black,1.0,,,,,,,,,1,special,,,,,,,,,,,,,,,,,
event_killthelord_06_s_3,40043,event_killthelord_06_s,Speech,d_w,Locale_SubScenario:event_killthelord_06_s_3,True,,black,black,1.0,,d_w,,,,,,,1,special,,,,,,,,,,,,,,,,,
event_killthelord_06_s_4,40043,event_killthelord_06_s,Speech,d_w,Locale_SubScenario:event_killthelord_06_s_4,True,,10,10,1.0,,d_w,,,,,,,1,special,,,,,,,,,,,,,,,,,
event_killthelord_06_s_5,40043,event_killthelord_06_s,Monologue,d_w,Locale_SubScenario:event_killthelord_06_s_5,False,,10,10,1.0,,,black,,,,,,1,special,,,,,,,,,,,,,,,,,
event_killthelord_06_s_6,40043,event_killthelord_06_s,Monologue,d_w,Locale_SubScenario:event_killthelord_06_s_6,False,,10,10,1.0,,,,,,,,,1,special,,,,,,,,,,,,,,,,,
event_killthelord_06_s_7,40043,event_killthelord_06_s,Self,d_w,Locale_SubScenario:event_killthelord_06_s_7,False,,10,10,1.0,,,,,,,,,1,special,,,,,,,,,,,,,,,,,
event_killthelord_06_s_8,40043,event_killthelord_06_s,Self,d_w,Locale_SubScenario:event_killthelord_06_s_8,False,,10,10,1.0,,,,,,,,,1,special,,,,,,,,,,,,,,,,,
event_killthelord_06_s_9,40043,event_killthelord_06_s,Speech,d_w,Locale_SubScenario:event_killthelord_06_s_9,True,,10,10,1.0,,d_w,,,,,,,1,special,,,,,,,,,,,,,,,,,
event_killthelord_06_s_10,40043,event_killthelord_06_s,Monologue,d_w,Locale_SubScenario:event_killthelord_06_s_10,False,,black,black,1.0,,,,,,,,,1,special,,,,,,,,,,,,,,,,,
