id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_killthelord_02_s_1,40043,event_killthelord_02_s,Self,k,Locale_SubScenario:event_killthelord_02_s_1,False,d,5,idle,k,3,idle,CommanderRoom,4,4,1.0,bgm_story_breakaway,,,,,,,,,,,,,
event_killthelord_02_s_2,40043,event_killthelord_02_s,Speech,k,Locale_SubScenario:event_killthelord_02_s_2,True,,5,idle,,3,idle,,4,4,1.0,,k,,,,,,,,,,,,
event_killthelord_02_s_3,40043,event_killthelord_02_s,Speech,k,Locale_SubScenario:event_killthelord_02_s_3,True,,5,idle,,3,idle,,4,4,1.0,,k,,,,,,,,,,,,
event_killthelord_02_s_4,40043,event_killthelord_02_s,Speech,d,Locale_SubScenario:event_killthelord_02_s_4,True,,5,idle,,3,idle,,4,4,1.0,,d,,,,,,,,,,,,
event_killthelord_02_s_5,40043,event_killthelord_02_s,Speech,k,Locale_SubScenario:event_killthelord_02_s_5,True,,5,idle,,3,idle,,4,4,1.0,,k,,,,,,,,,,,,
event_killthelord_02_s_6,40043,event_killthelord_02_s,Speech,k,Locale_SubScenario:event_killthelord_02_s_6,True,,5,idle,,3,idle,,4,S_30,1.0,,k,,,,,,,,,,,,
event_killthelord_02_s_7,40043,event_killthelord_02_s,Self,k,Locale_SubScenario:event_killthelord_02_s_7,False,,5,idle,,3,idle,,S_30,S_30,1.0,,,,,,,,,,,,,,
event_killthelord_02_s_8,40043,event_killthelord_02_s,Speech,k,Locale_SubScenario:event_killthelord_02_s_8,True,,5,idle,,3,idle,,S_30,S_30,1.0,,k,,,,,,,,,,,,
event_killthelord_02_s_9,40043,event_killthelord_02_s,Speech,k,Locale_SubScenario:event_killthelord_02_s_9,True,,5,idle,,3,idle,,S_30,4,1.0,,k,,,,,,,,,,,,
event_killthelord_02_s_10,40043,event_killthelord_02_s,Self,k,Locale_SubScenario:event_killthelord_02_s_10,False,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,,,,,,
