id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/4/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/1/hide_char_id,characters/5/hide_char_id,fade,jump_target,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/2/hide_char_id,characters/7/hide_char_id,characters/8/hide_char_id,set_filter_01,set_camera_shake
event_romanticvalentine_02_s_1,40069,event_romanticvalentine_02_s,Monologue,Locale_SubScenario:event_romanticvalentine_02_s_1,False,MaidCafe,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_2,40069,event_romanticvalentine_02_s,Monologue,Locale_SubScenario:event_romanticvalentine_02_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_3,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_3,True,,14,14,1.0,event_bgm_perfectmaid,mast_m,mast_m,mast_m,13,delight,femaleguest,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_4,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_4,True,,14,14,1.0,,femaleguest,femaleguest,,13,delight,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_5,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_5,True,,14,14,1.0,,femaleguest,femaleguest,,13,delight,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_6,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_6,True,,14,14,1.0,,mast_m,mast_m,,13,delight,,15,idle,sin_m,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_7,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_7,True,,30,30,1.0,,sin_m,sin_m,,13,delight,,15,idle,,3,delight,mast_m,femaleguest,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_8,40069,event_romanticvalentine_02_s,Narration,Locale_SubScenario:event_romanticvalentine_02_s_8,False,,black,black,1.0,,,,,,,,,,,3,delight,,,anchor_m,1,idle,sfx_scn_dishdebris,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_9,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_9,True,,XS_10,XS_10,1.0,,anchor_m,anchor_m,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_10,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_10,True,,XS_10,2,1.0,,sin_m,sin_m,,,,,,,,3,surprise,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_11,40069,event_romanticvalentine_02_s,Monologue,Locale_SubScenario:event_romanticvalentine_02_s_11,False,,black,black,1.0,,,,,,,,,,,3,surprise,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_12,40069,event_romanticvalentine_02_s,Monologue,Locale_SubScenario:event_romanticvalentine_02_s_12,False,,black,black,1.0,,,,,,,,,,,3,surprise,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_13,40069,event_romanticvalentine_02_s,Monologue,Locale_SubScenario:event_romanticvalentine_02_s_13,False,,black,black,1.0,,,,,,,,,,,3,surprise,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_14,40069,event_romanticvalentine_02_s,Monologue,Locale_SubScenario:event_romanticvalentine_02_s_14,False,,black,black,1.0,,,,,,,,,,,3,surprise,,,,1,idle,,trony_m,15,special,maleguest,17,idle,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_15,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_15,True,,170,170,1.0,,maleguest,maleguest,,,,,,,,3,surprise,,,,1,idle,,,15,special,,17,idle,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_16,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_16,True,,170,16,1.0,,trony_m,trony_m,,,,,,,,3,surprise,,,,1,idle,,,15,special,,17,idle,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_17,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_17,False,,16,16,1.0,,maleguest,maleguest,,,,,,,,3,surprise,,,,1,idle,,,15,special,,17,idle,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_18,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_18,True,,16,150,0.5,,trony_m,trony_m,,,,,,,,3,surprise,,,,1,idle,,,15,special,,17,idle,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_19,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_19,True,,170,170,1.0,,maleguest,maleguest,,,,,,,,3,surprise,,,,1,idle,,,15,special,,17,idle,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_20,40069,event_romanticvalentine_02_s,Self,Locale_SubScenario:event_romanticvalentine_02_s_20,False,,black,black,1.0,,,,,,,,,,,3,surprise,,,,1,idle,,,15,special,,17,idle,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_21,40069,event_romanticvalentine_02_s,Monologue,Locale_SubScenario:event_romanticvalentine_02_s_21,False,,black,black,1.0,,,,,,,,,,,3,delight,,,,1,idle,,,15,special,,17,idle,trony_m,maleguest,,,,,,,,,,,,,
event_romanticvalentine_02_s_22,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_22,True,,XS_10,XS_10,1.0,bgm_story_orangepop,anchor_m,anchor_m,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,black,,,,,,,,,,,,
event_romanticvalentine_02_s_23,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_23,True,,XS_10,XS_100,1.0,,anchor_m,anchor_m,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_24,40069,event_romanticvalentine_02_s,Self,Locale_SubScenario:event_romanticvalentine_02_s_24,False,,XS_100,XS_10,0.5,,anchor_m,,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_25,40069,event_romanticvalentine_02_s,Monologue,Locale_SubScenario:event_romanticvalentine_02_s_25,False,,XS_10,XS_10,1.0,,anchor_m,,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_26,40069,event_romanticvalentine_02_s,Monologue,Locale_SubScenario:event_romanticvalentine_02_s_26,False,,XS_10,XS_10,1.0,,anchor_m,,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_27,40069,event_romanticvalentine_02_s,Self,Locale_SubScenario:event_romanticvalentine_02_s_27,False,,XS_10,XS_10,1.0,,anchor_m,,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_28,40069,event_romanticvalentine_02_s,Monologue,Locale_SubScenario:event_romanticvalentine_02_s_28,False,,XS_10,XS_10,1.0,,anchor_m,,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_29,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_29,True,,XS_10,XS_10,1.0,,anchor_m,anchor_m,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_30,40069,event_romanticvalentine_02_s,Self,Locale_SubScenario:event_romanticvalentine_02_s_30,False,,XS_10,XS_10,1.0,,anchor_m,,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_02_s_31,40069,event_romanticvalentine_02_s,Speech,Locale_SubScenario:event_romanticvalentine_02_s_31,True,,XS_10,XS_10,1.0,,anchor_m,anchor_m,,,,,,,,3,delight,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,
