id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_romanticvalentine_05_s_1,40069,event_romanticvalentine_05_s,Monologue,Locale_SubScenario:event_romanticvalentine_05_s_1,False,Office,black,black,1.0,none,,,,mustang,17,idle,,,,,,,,,,,,,
event_romanticvalentine_05_s_2,40069,event_romanticvalentine_05_s,Speech,Locale_SubScenario:event_romanticvalentine_05_s_2,True,,L_170,L_170,1.0,bgm_story_mustang,mustang,mustang,,,17,idle,,,,,,,,,,,,,
event_romanticvalentine_05_s_3,40069,event_romanticvalentine_05_s,Self,Locale_SubScenario:event_romanticvalentine_05_s_3,False,,L_170,L_170,1.0,,mustang,,,,17,idle,,,,,,,,,,,,,
event_romanticvalentine_05_s_4,40069,event_romanticvalentine_05_s,Speech,Locale_SubScenario:event_romanticvalentine_05_s_4,True,,L_170,L_170,1.0,,mustang,mustang,,,17,idle,,,,,,,,,,,,,
event_romanticvalentine_05_s_5,40069,event_romanticvalentine_05_s,Self,Locale_SubScenario:event_romanticvalentine_05_s_5,False,,L_170,L_170,1.0,,mustang,,,,17,idle,,,,,,,,,,,,,
event_romanticvalentine_05_s_6,40069,event_romanticvalentine_05_s,Monologue,Locale_SubScenario:event_romanticvalentine_05_s_6,False,,L_170,L_170,1.0,,mustang,,,,17,idle,,,,,,,,,,,,,
event_romanticvalentine_05_s_7,40069,event_romanticvalentine_05_s,Self,Locale_SubScenario:event_romanticvalentine_05_s_7,False,,L_170,L_170,1.0,,mustang,,,,17,idle,,,,,,,,,,,,,
event_romanticvalentine_05_s_8,40069,event_romanticvalentine_05_s,Speech,Locale_SubScenario:event_romanticvalentine_05_s_8,True,,L_170,L_1700,0.5,,mustang,mustang,,,17,idle,,,,,,,,,,,,,
event_romanticvalentine_05_s_9,40069,event_romanticvalentine_05_s,Speech,Locale_SubScenario:event_romanticvalentine_05_s_9,True,,L_1700,L_1700,1.0,,mustang,mustang,,,17,idle,,,,,,,,,,,,,
event_romanticvalentine_05_s_10,40069,event_romanticvalentine_05_s,Speech,Locale_SubScenario:event_romanticvalentine_05_s_10,True,,L_1700,L_1700,1.0,,mustang,mustang,,,17,idle,,,,,,,,,,,,,
