id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/2/hide_char_id,characters/3/hide_char_id
event_goldencoinrush2_b03_e_1,40049,event_goldencoinrush2_b03_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b03_e_1,True,soda_b,1,serious,blanc,13,think,SimulationRoom,S_10,S_10,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_2,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_2,True,,1,serious,,13,think,,S_10,L_130,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_3,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_3,True,,1,serious,,13,think,,L_130,L_130,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_4,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_4,True,,1,serious,,13,think,,L_130,L_130,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_5,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_5,True,,1,serious,,13,think,,L_130,L_130,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_6,40049,event_goldencoinrush2_b03_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b03_e_6,True,,1,serious,,13,think,,L_130,S_10,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_7,40049,event_goldencoinrush2_b03_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b03_e_7,True,,1,serious,,13,think,,S_10,S_10,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_8,40049,event_goldencoinrush2_b03_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b03_e_8,True,,1,serious,,13,think,,S_10,S_10,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_9,40049,event_goldencoinrush2_b03_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b03_e_9,True,,1,serious,,13,think,,S_10,S_10,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_10,40049,event_goldencoinrush2_b03_e,Narration,soda_b,,Locale_MainScenario:event_goldencoinrush2_b03_e_10,False,,1,serious,,13,think,,S_10,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_11,40049,event_goldencoinrush2_b03_e,Narration,soda_b,,Locale_MainScenario:event_goldencoinrush2_b03_e_11,False,,1,serious,,13,think,,12,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_12,40049,event_goldencoinrush2_b03_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b03_e_12,True,,1,serious,,13,think,,12,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_13,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_13,True,,1,serious,,13,think,,12,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_14,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_14,True,,1,serious,,13,think,,12,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_15,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_15,True,,1,serious,,13,think,,12,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_16,40049,event_goldencoinrush2_b03_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b03_e_16,True,,1,serious,,13,think,,12,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_17,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_17,True,,1,serious,,13,think,,12,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_18,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_18,True,,1,serious,,13,think,,12,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_19,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_19,True,,1,serious,,13,no,,12,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_20,40049,event_goldencoinrush2_b03_e,Speech,blanc,blanc,Locale_MainScenario:event_goldencoinrush2_b03_e_20,True,,1,serious,,13,no,,12,12,1.0,,,,,,,,,,,,,,
event_goldencoinrush2_b03_e_21,40049,event_goldencoinrush2_b03_e,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b03_e_21,True,,1,serious,,13,no,,12,S_10,1.0,,,,,,,,,,,,,,
