id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
event_bluewaterisland2_06_e_1,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_1,True,Sunset,8,8,1.0,bgm_story_profusion,,,,sugar,9,idle,,anis,7,void,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_2,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_2,True,,8,8,1.0,,,,,,9,idle,,,7,void,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_3,40021,event_bluewaterisland2_06_e,Speech,sugar,sugar,Locale_SubScenario:event_bluewaterisland2_06_e_3,True,,8,8,1.0,,,,,,9,idle,,,7,void,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_4,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_4,True,,8,70,1.0,,,,,,9,idle,,,7,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_5,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_5,True,,70,70,1.0,,,,,,9,idle,,,7,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_6,40021,event_bluewaterisland2_06_e,Speech,sugar,sugar,Locale_SubScenario:event_bluewaterisland2_06_e_6,False,,70,S_90,0.5,,,,,,9,surprise,,,7,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_7,40021,event_bluewaterisland2_06_e,Speech,sugar,sugar,Locale_SubScenario:event_bluewaterisland2_06_e_7,True,,S_90,S_90,1.0,,,,,,9,shy,,,7,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_8,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_8,True,,S_90,70,0.7,,,,,,9,idle,,,7,worry,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_9,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_9,True,,70,70,1.0,,,,,,9,idle,,,7,worry,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_10,40021,event_bluewaterisland2_06_e,Narration,,Narration,Locale_SubScenario:event_bluewaterisland2_06_e_10,False,,70,8,1.0,,sfx_scn_bikeengine,,,,9,idle,,,7,worry,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_11,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_11,True,,8,8,1.0,,,,,,9,idle,,,7,no,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_12,40021,event_bluewaterisland2_06_e,Speech,sugar,sugar,Locale_SubScenario:event_bluewaterisland2_06_e_12,True,,8,8,1.0,,,,,,9,idle,,,7,no,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_13,40021,event_bluewaterisland2_06_e,Narration,,Narration,Locale_SubScenario:event_bluewaterisland2_06_e_13,False,,black,black,1.0,,sfx_scn_boatrun,,,,9,idle,,,7,angry,,rapi_s,1,idle,,pepper_s,13,idle,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_14,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_14,True,,7,70,0.3,,,,,,9,idle,,,7,angry,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_15,40021,event_bluewaterisland2_06_e,Speech,rapi_s,rapi_s,Locale_SubScenario:event_bluewaterisland2_06_e_15,True,,70,4,1.0,,,,,,9,idle,,,7,angry,,,5,delight,,,3,idle,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_16,40021,event_bluewaterisland2_06_e,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_06_e_16,True,,4,4,1.0,,,,,,9,idle,,,7,angry,,,5,delight,,,3,surprise,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_17,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_17,True,,4,6,1.0,,,,,,9,idle,,,7,worry,,,5,idle,,,3,surprise,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_18,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_18,True,,6,6,1.0,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_19,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_19,True,,6,70,0.7,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_20,40021,event_bluewaterisland2_06_e,Speech,rapi_s,rapi_s,Locale_SubScenario:event_bluewaterisland2_06_e_20,True,,70,50,1.0,,,,,,9,idle,,,7,angry,,,5,worry,,,3,idle,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_21,40021,event_bluewaterisland2_06_e,Speech,rapi_s,rapi_s,Locale_SubScenario:event_bluewaterisland2_06_e_21,True,,50,50,1.0,,,,,,9,idle,,,7,angry,,,5,worry,,,3,idle,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_e_22,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_22,True,,50,70,0.5,,,,,,9,idle,,,7,angry,,,5,worry,,,3,idle,,neon_s,15,idle,,liter_s,13,idle,,,,,,,,,
event_bluewaterisland2_06_e_23,40021,event_bluewaterisland2_06_e,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_e_23,True,,70,XS_10,0.7,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
event_bluewaterisland2_06_e_24,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_24,True,,70,70,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
event_bluewaterisland2_06_e_25,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_25,True,,70,70,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
event_bluewaterisland2_06_e_26,40021,event_bluewaterisland2_06_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_e_26,True,,13,13,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,delight,,,,,,,,,
event_bluewaterisland2_06_e_27,40021,event_bluewaterisland2_06_e,Speech,sugar,sugar,Locale_SubScenario:event_bluewaterisland2_06_e_27,True,,13,13,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,delight,,,,,,,,,
event_bluewaterisland2_06_e_28,40021,event_bluewaterisland2_06_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_e_28,True,,13,13,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,sorrow,,,,,,,,,
event_bluewaterisland2_06_e_29,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_29,True,,13,7,0.7,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,idle,,,13,sorrow,,,,,,,,,
event_bluewaterisland2_06_e_30,40021,event_bluewaterisland2_06_e,Self,,Self,Locale_SubScenario:event_bluewaterisland2_06_e_30,False,,7,7,1.0,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,mary_s,17,idle,,frima_s,19,idle,
event_bluewaterisland2_06_e_31,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_31,False,,7,7,1.0,,,,,,9,idle,,,7,shy,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_32,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_32,True,,7,700,1.0,,,,,,9,idle,,,7,shy,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_33,40021,event_bluewaterisland2_06_e,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland2_06_e_33,False,,black,black,1.0,,,,,,9,idle,,,7,shy,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_34,40021,event_bluewaterisland2_06_e,Self,,Self,Locale_SubScenario:event_bluewaterisland2_06_e_34,False,,black,black,1.0,,,,,,9,idle,,,7,shy,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_35,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_35,True,,700,700,1.0,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_36,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_36,True,,700,700,1.0,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_37,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_37,True,,700,700,1.0,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_38,40021,event_bluewaterisland2_06_e,Speech,sugar,sugar,Locale_SubScenario:event_bluewaterisland2_06_e_38,True,,700,700,1.0,,,,,,9,delight,,,7,angry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_39,40021,event_bluewaterisland2_06_e,Self,,Self,Locale_SubScenario:event_bluewaterisland2_06_e_39,False,,700,700,1.0,,,,,,9,delight,,,7,angry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_40,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_40,True,,700,70,1.0,,,,,,9,delight,,,7,worry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_41,40021,event_bluewaterisland2_06_e,Speech,sugar,sugar,Locale_SubScenario:event_bluewaterisland2_06_e_41,True,,70,8,1.0,,,,,,9,delight,,,7,worry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_42,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_42,True,,8,8,1.0,,,,,,9,delight,,,7,no,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_43,40021,event_bluewaterisland2_06_e,Speech,sugar,sugar,Locale_SubScenario:event_bluewaterisland2_06_e_43,True,,8,8,1.0,,,,,,9,delight,,,7,no,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_44,40021,event_bluewaterisland2_06_e,Speech,sugar,sugar,Locale_SubScenario:event_bluewaterisland2_06_e_44,True,,8,8,1.0,,,,,,9,delight,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_45,40021,event_bluewaterisland2_06_e,Narration,,Narration,Locale_SubScenario:event_bluewaterisland2_06_e_45,False,,black,black,1.0,,sfx_scn_wavebreak,,,,9,delight,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_46,40021,event_bluewaterisland2_06_e,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_e_46,True,,1,1,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_47,40021,event_bluewaterisland2_06_e,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_e_47,True,,1,1,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_48,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_48,True,,1,7,0.6,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_49,40021,event_bluewaterisland2_06_e,Speech,sugar,sugar,Locale_SubScenario:event_bluewaterisland2_06_e_49,True,,7,7,1.0,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_50,40021,event_bluewaterisland2_06_e,Self,,Self,Locale_SubScenario:event_bluewaterisland2_06_e_50,False,,7,7,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_51,40021,event_bluewaterisland2_06_e,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland2_06_e_51,False,,black,black,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_52,40021,event_bluewaterisland2_06_e,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland2_06_e_52,False,,black,black,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_53,40021,event_bluewaterisland2_06_e,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland2_06_e_53,False,,black,black,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_54,40021,event_bluewaterisland2_06_e,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_e_54,False,,XS_10,XS_10,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,no,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_55,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_55,False,,70,70,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,no,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_56,40021,event_bluewaterisland2_06_e,Speech,rapi_s,rapi_s,Locale_SubScenario:event_bluewaterisland2_06_e_56,False,,50,50,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,no,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_57,40021,event_bluewaterisland2_06_e,Self,,Self,Locale_SubScenario:event_bluewaterisland2_06_e_57,False,,50,50,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_58,40021,event_bluewaterisland2_06_e,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland2_06_e_58,True,,50,70,0.3,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,17,idle,,,19,idle,
event_bluewaterisland2_06_e_59,40021,event_bluewaterisland2_06_e,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_e_59,True,,12,12,1.0,,,,,,9,idle,,,7,angry,,,5,idle,,,3,idle,,,1,angry,,,13,idle,,,17,idle,,,19,idle,
