id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_ce006_1_04_e_1,40079,event_ce006_1_04_e,Narration,elegg,Locale_MainScenario:event_ce006_1_04_e_1,False,TechIndoor_n,black,black,1.0,collab_bgm_sb_field_floodedcs_inst,,,privaty,3,idle,ce006_03,1,no,elegg,13,idle
event_ce006_1_04_e_2,40079,event_ce006_1_04_e,Speech,elegg,Locale_MainScenario:event_ce006_1_04_e_2,True,,S_130,S_130,1.0,,elegg,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_3,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_3,True,,S_130,12,1.3,,ce006_03,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_4,40079,event_ce006_1_04_e,Speech,elegg,Locale_MainScenario:event_ce006_1_04_e_4,True,,12,12,1.0,,elegg,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_5,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_5,True,,12,12,1.0,,ce006_03,,,3,idle,,1,idle,,13,idle
event_ce006_1_04_e_6,40079,event_ce006_1_04_e,Speech,elegg,Locale_MainScenario:event_ce006_1_04_e_6,True,,12,12,1.0,,elegg,,,3,idle,,1,idle,,13,idle
event_ce006_1_04_e_7,40079,event_ce006_1_04_e,Speech,elegg,Locale_MainScenario:event_ce006_1_04_e_7,True,,12,12,1.0,,elegg,,,3,idle,,1,idle,,13,idle
event_ce006_1_04_e_8,40079,event_ce006_1_04_e,Speech,elegg,Locale_MainScenario:event_ce006_1_04_e_8,True,,12,12,1.0,,elegg,,,3,idle,,1,idle,,13,delight
event_ce006_1_04_e_9,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_9,True,,12,12,1.0,,ce006_03,,,3,idle,,1,sad,,13,delight
event_ce006_1_04_e_10,40079,event_ce006_1_04_e,Speech,elegg,Locale_MainScenario:event_ce006_1_04_e_10,True,,12,12,1.0,,elegg,,,3,idle,,1,sad,,13,special
event_ce006_1_04_e_11,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_11,True,,12,12,1.0,,ce006_03,,,3,idle,,1,sad,,13,special
event_ce006_1_04_e_12,40079,event_ce006_1_04_e,Speech,elegg,Locale_MainScenario:event_ce006_1_04_e_12,True,,12,12,1.0,,elegg,,,3,idle,,1,sad,,13,special
event_ce006_1_04_e_13,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_13,True,,12,12,1.0,,ce006_03,,,3,idle,,1,sad,,13,special
event_ce006_1_04_e_14,40079,event_ce006_1_04_e,Speech,elegg,Locale_MainScenario:event_ce006_1_04_e_14,True,,12,12,1.0,,elegg,,,3,idle,,1,sad,,13,special
event_ce006_1_04_e_15,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_15,True,,12,12,1.0,,ce006_03,,,3,idle,,1,no,,13,special
event_ce006_1_04_e_16,40079,event_ce006_1_04_e,Speech,elegg,Locale_MainScenario:event_ce006_1_04_e_16,True,,12,12,1.0,,elegg,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_17,40079,event_ce006_1_04_e,Speech,privaty,Locale_MainScenario:event_ce006_1_04_e_17,True,,S_30,S_30,1.0,,privaty,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_18,40079,event_ce006_1_04_e,Speech,privaty,Locale_MainScenario:event_ce006_1_04_e_18,True,,S_30,S_30,1.0,,privaty,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_19,40079,event_ce006_1_04_e,Speech,elegg,Locale_MainScenario:event_ce006_1_04_e_19,True,,S_130,S_130,1.0,,elegg,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_20,40079,event_ce006_1_04_e,Speech,privaty,Locale_MainScenario:event_ce006_1_04_e_20,True,,S_30,S_30,1.0,,privaty,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_21,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_21,True,,S_30,2,1.3,,ce006_03,,,3,idle,,1,surprise,,13,idle
event_ce006_1_04_e_22,40079,event_ce006_1_04_e,Speech,privaty,Locale_MainScenario:event_ce006_1_04_e_22,False,,2,2,1.0,,privaty,,,3,idle,,1,surprise,,13,idle
event_ce006_1_04_e_23,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_23,True,,2,2,1.0,,ce006_03,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_24,40079,event_ce006_1_04_e,Speech,privaty,Locale_MainScenario:event_ce006_1_04_e_24,False,,2,2,1.0,,privaty,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_25,40079,event_ce006_1_04_e,Speech,privaty,Locale_MainScenario:event_ce006_1_04_e_25,True,,2,2,1.0,,privaty,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_26,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_26,True,,2,2,1.0,,ce006_03,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_27,40079,event_ce006_1_04_e,Speech,privaty,Locale_MainScenario:event_ce006_1_04_e_27,True,,2,2,1.0,,privaty,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_28,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_28,True,,2,2,1.0,,ce006_03,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_29,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_29,True,,2,2,1.0,,ce006_03,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_30,40079,event_ce006_1_04_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_04_e_30,True,,2,2,1.0,,ce006_03,,,3,idle,,1,no,,13,idle
event_ce006_1_04_e_31,40079,event_ce006_1_04_e,Speech,privaty,Locale_MainScenario:event_ce006_1_04_e_31,True,,2,2,1.0,,privaty,,,3,idle,,1,no,,13,idle
