id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_redash_04_3_1,80800,d_ex_redash_04_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_3_1,False,Grassland,black,black,1.0,none,,,,dorothy,3,idle,,,
d_ex_redash_04_3_2,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_2,True,,30,30,1.0,event_bgm_redash_alldownhill,dorothy,sfx_scn_bird,,,3,idle,,,
d_ex_redash_04_3_3,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_3,True,,30,30,1.0,,dorothy,sfx_scn_wind,,,3,idle,,,
d_ex_redash_04_3_4,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_4,True,,30,30,1.0,,dorothy,,,,3,idle,,,
d_ex_redash_04_3_5,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_5,True,,50,50,1.0,,redhood,,,,3,idle,redhood,5,idle
d_ex_redash_04_3_6,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_6,True,,50,50,1.0,,redhood,,,,3,idle,,5,idle
d_ex_redash_04_3_7,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_7,True,,50,4,1.0,,dorothy,,,,3,think,,5,idle
d_ex_redash_04_3_8,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_8,True,,4,4,1.0,,redhood,,,,3,think,,5,idle
d_ex_redash_04_3_9,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_9,True,,4,4,1.0,,redhood,,,,3,think,,5,idle
d_ex_redash_04_3_10,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_10,True,,3,30,1.0,,dorothy,,,,3,think,,5,idle
