id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,characters/0/hide_char_id,fade,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_ce006_1_05_s_1,40079,event_ce006_1_05_s,Monologue,neon,Locale_MainScenario:event_ce006_1_05_s_1,False,ce006_01,4,idle,rapi,2,idle,anis,12,void,neon,14,idle,artcity_s,black,black,1.0,none,,,,,,,,,,,
event_ce006_1_05_s_2,40079,event_ce006_1_05_s,Monologue,neon,Locale_MainScenario:event_ce006_1_05_s_2,False,,4,idle,,2,idle,,12,void,,14,idle,,black,black,1.0,,,,,,,,,,,,
event_ce006_1_05_s_3,40079,event_ce006_1_05_s,Monologue,neon,Locale_MainScenario:event_ce006_1_05_s_3,False,,4,idle,,2,idle,,12,void,,14,idle,,black,black,1.0,,,,,,,,,,,,
event_ce006_1_05_s_4,40079,event_ce006_1_05_s,Speech,neon,Locale_MainScenario:event_ce006_1_05_s_4,True,,4,idle,,2,idle,,12,void,,14,worry,,S_140,S_140,1.0,bgm_story_whosdumber,neon,,,,,,,,,,
event_ce006_1_05_s_5,40079,event_ce006_1_05_s,Speech,anis,Locale_MainScenario:event_ce006_1_05_s_5,True,,4,idle,,2,idle,,12,angry,,14,worry,,S_140,13,1.3,,anis,,,,,,,,,,
event_ce006_1_05_s_6,40079,event_ce006_1_05_s,Speech,neon,Locale_MainScenario:event_ce006_1_05_s_6,True,,4,idle,,2,idle,,12,angry,,14,worry,,13,13,1.0,,neon,,,,,,,,,,
event_ce006_1_05_s_7,40079,event_ce006_1_05_s,Speech,anis,Locale_MainScenario:event_ce006_1_05_s_7,True,,4,idle,,2,idle,,12,angry,,14,worry,,13,13,1.0,,anis,,,,,,,,,,
event_ce006_1_05_s_8,40079,event_ce006_1_05_s,Speech,neon,Locale_MainScenario:event_ce006_1_05_s_8,True,,4,idle,,2,idle,,12,angry,,14,worry,,13,13,1.0,,neon,,,,,,,,,,
event_ce006_1_05_s_9,40079,event_ce006_1_05_s,Speech,anis,Locale_MainScenario:event_ce006_1_05_s_9,True,,4,idle,,2,idle,,12,angry,,14,worry,,13,13,1.0,,anis,,,,,,,,,,
event_ce006_1_05_s_10,40079,event_ce006_1_05_s,Speech,neon,Locale_MainScenario:event_ce006_1_05_s_10,True,,4,idle,,2,idle,,12,angry,,14,idle,,13,S_140,1.3,,neon,,,,,,,,,,
event_ce006_1_05_s_11,40079,event_ce006_1_05_s,Speech,neon,Locale_MainScenario:event_ce006_1_05_s_11,True,,4,idle,,2,idle,,12,void,,14,idle,,S_140,S_1400,1.3,,neon,,,,,,,,,,
event_ce006_1_05_s_12,40079,event_ce006_1_05_s,Narration,neon,Locale_MainScenario:event_ce006_1_05_s_12,False,,4,idle,,2,idle,,12,void,,14,idle,,black,black,1.0,,,sfx_scn_walkinwater,,,,,,,,,
event_ce006_1_05_s_13,40079,event_ce006_1_05_s,Speech,neon,Locale_MainScenario:event_ce006_1_05_s_13,True,,4,idle,,2,idle,,12,void,,14,no,,S_1400,S_140,0.7,,neon,,Low_2,,,,,,,,
event_ce006_1_05_s_14,40079,event_ce006_1_05_s,Speech,anis,Locale_MainScenario:event_ce006_1_05_s_14,True,,4,idle,,2,idle,,12,angry,,14,no,,S_140,13,1.0,,anis,,,,,,,,,,
event_ce006_1_05_s_15,40079,event_ce006_1_05_s,Speech,neon,Locale_MainScenario:event_ce006_1_05_s_15,True,,4,idle,,2,idle,,12,angry,,14,delight,,13,13,1.0,,neon,,,,,,,,,,
event_ce006_1_05_s_16,40079,event_ce006_1_05_s,Speech,anis,Locale_MainScenario:event_ce006_1_05_s_16,False,,4,idle,,2,idle,,12,no,,14,delight,,13,13,1.0,none,anis,,,,,,,,,,
event_ce006_1_05_s_17,40079,event_ce006_1_05_s,Speech,neon,Locale_MainScenario:event_ce006_1_05_s_17,True,,4,idle,,2,idle,,12,no,,14,delight,,13,13,1.0,,neon,,,,,,,,,,
