id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
event_freezeacpu_prologue_1,40030,event_freezeacpu_prologue,Speech,tvvoice,tvvoice,Locale_SubScenario:event_freezeacpu_prologue_1,False,ArkRuinIndoor,1,1,1.0,bgm_story_kneeldownfools,
event_freezeacpu_prologue_2,40030,event_freezeacpu_prologue,Speech,tvvoice,tvvoice,Locale_SubScenario:event_freezeacpu_prologue_2,False,,1,1,1.0,,
event_freezeacpu_prologue_3,40030,event_freezeacpu_prologue,Speech,tvvoice,tvvoice,Locale_SubScenario:event_freezeacpu_prologue_3,False,,1,1,1.0,,
event_freezeacpu_prologue_4,40030,event_freezeacpu_prologue,Speech,tvvoice,tvvoice,Locale_SubScenario:event_freezeacpu_prologue_4,False,,1,1,1.0,,
event_freezeacpu_prologue_5,40030,event_freezeacpu_prologue,Speech,tvvoice,tvvoice,Locale_SubScenario:event_freezeacpu_prologue_5,False,,1,1,1.0,,
event_freezeacpu_prologue_6,40030,event_freezeacpu_prologue,Speech,tvvoice,tvvoice,Locale_SubScenario:event_freezeacpu_prologue_6,False,,1,1,1.0,,
event_freezeacpu_prologue_7,40030,event_freezeacpu_prologue,Speech,tvvoice,tvvoice,Locale_SubScenario:event_freezeacpu_prologue_7,False,,1,1,1.0,,
event_freezeacpu_prologue_8,40030,event_freezeacpu_prologue,Speech,tvvoice,tvvoice,Locale_SubScenario:event_freezeacpu_prologue_8,False,,1,1,1.0,,
event_freezeacpu_prologue_9,40030,event_freezeacpu_prologue,Speech,unknown,unknown,Locale_SubScenario:event_freezeacpu_prologue_9,False,,1,100,1.0,,
event_freezeacpu_prologue_10,40030,event_freezeacpu_prologue,Speech,unknown,unknown,Locale_SubScenario:event_freezeacpu_prologue_10,False,,100,100,1.0,,
event_freezeacpu_prologue_11,40030,event_freezeacpu_prologue,Speech,unknown,unknown,Locale_SubScenario:event_freezeacpu_prologue_11,False,,100,100,1.0,,
event_freezeacpu_prologue_12,40030,event_freezeacpu_prologue,Speech,unknown,unknown,Locale_SubScenario:event_freezeacpu_prologue_12,False,,100,100,1.0,,
event_freezeacpu_prologue_13,40030,event_freezeacpu_prologue,Narration,,Narration,Locale_SubScenario:event_freezeacpu_prologue_13,False,,100,100,1.0,,Low_2
event_freezeacpu_prologue_14,40030,event_freezeacpu_prologue,Narration,,Narration,Locale_SubScenario:event_freezeacpu_prologue_14,False,,100,100,1.0,,Low_2
event_freezeacpu_prologue_15,40030,event_freezeacpu_prologue,Narration,,Narration,Locale_SubScenario:event_freezeacpu_prologue_15,False,,100,100,1.0,,Low_2
event_freezeacpu_prologue_16,40030,event_freezeacpu_prologue,Speech,unknown,unknown,Locale_SubScenario:event_freezeacpu_prologue_16,False,,100,100,1.0,,
event_freezeacpu_prologue_17,40030,event_freezeacpu_prologue,Speech,unknown,unknown,Locale_SubScenario:event_freezeacpu_prologue_17,False,,100,100,1.0,,
event_freezeacpu_prologue_18,40030,event_freezeacpu_prologue,Speech,unknown,unknown,Locale_SubScenario:event_freezeacpu_prologue_18,False,,100,100,1.0,,
event_freezeacpu_prologue_19,40030,event_freezeacpu_prologue,Speech,unknown,unknown,Locale_SubScenario:event_freezeacpu_prologue_19,False,,100,100,1.0,,
event_freezeacpu_prologue_20,40030,event_freezeacpu_prologue,Speech,unknown,unknown,Locale_SubScenario:event_freezeacpu_prologue_20,False,,black,black,1.0,,
event_freezeacpu_prologue_21,40030,event_freezeacpu_prologue,Speech,unknown,unknown,Locale_SubScenario:event_freezeacpu_prologue_21,False,,black,black,1.0,,
