id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,jump_target
event_nyanyaparadise_01_s_1,40022,event_nyanyaparadise_01_s,Monologue,Locale_SubScenario:event_nyanyaparadise_01_s_1,False,Corridor,7,7,1.0,bgm_story_orangepop,,,,,,,
event_nyanyaparadise_01_s_2,40022,event_nyanyaparadise_01_s,Monologue,Locale_SubScenario:event_nyanyaparadise_01_s_2,False,,7,70,1.0,,,,,,,,
event_nyanyaparadise_01_s_3,40022,event_nyanyaparadise_01_s,Monologue,Locale_SubScenario:event_nyanyaparadise_01_s_3,False,,70,70,1.0,,,,,,,,
event_nyanyaparadise_01_s_4,40022,event_nyanyaparadise_01_s,Narration,Locale_SubScenario:event_nyanyaparadise_01_s_4,False,CommanderRoom,70,50,1.0,,sfx_scn_autodooropen,,,,,,
event_nyanyaparadise_01_s_5,40022,event_nyanyaparadise_01_s,Monologue,Locale_SubScenario:event_nyanyaparadise_01_s_5,False,,50,50,1.0,,,,,,,,
event_nyanyaparadise_01_s_6,40022,event_nyanyaparadise_01_s,Narration,Locale_SubScenario:event_nyanyaparadise_01_s_6,False,,50,500,1.0,,,,,,,,
event_nyanyaparadise_01_s_7,40022,event_nyanyaparadise_01_s,Narration,Locale_SubScenario:event_nyanyaparadise_01_s_7,False,,500,500,1.0,,,nero,1,idle,,,
event_nyanyaparadise_01_s_8,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_8,False,,500,500,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_9,40022,event_nyanyaparadise_01_s,Narration,Locale_SubScenario:event_nyanyaparadise_01_s_9,False,,500,50,1.0,,sfx_scn_stockingripped,,1,idle,,,
event_nyanyaparadise_01_s_10,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_10,False,,50,50,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_11,40022,event_nyanyaparadise_01_s,Monologue,Locale_SubScenario:event_nyanyaparadise_01_s_11,False,,50,L_10,0.7,,,,1,idle,,,
event_nyanyaparadise_01_s_12,40022,event_nyanyaparadise_01_s,Monologue,Locale_SubScenario:event_nyanyaparadise_01_s_12,False,,L_10,L_10,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_13,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_13,False,,L_10,L_10,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_14,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_14,True,,L_10,1,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_15,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_15,True,,1,1,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_16,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_16,True,,1,1,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_17,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_17,False,,1,1,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_18,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_18,True,,1,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_19,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_19,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_20,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_20,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_21,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_21,False,,L_10,L_10,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_22,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_22,True,,L_10,L_10,1.0,none,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_23,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_23,True,,L_10,1,2.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_24,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_24,False,,1,1,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_25,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_25,True,,1,1,1.0,bgm_story_weare,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_26,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_26,False,,1,1,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_27,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_27,True,,1,1,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_28,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_28,True,,1,L_10,2.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_29,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_29,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_30,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_30,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_31,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_31,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_32,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_32,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_33,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_33,False,,L_10,L_10,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_34,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_34,True,,L_10,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_35,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_35,False,,L_100,L_100,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_36,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_36,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_37,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_37,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_38,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_38,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_39,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_39,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_40,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_40,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_41,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_41,False,,L_100,L_100,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_42,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_42,True,,L_100,L_10,2.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_43,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_43,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_44,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_44,False,,L_10,L_10,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_45,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_45,True,,L_10,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_46,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_46,False,,L_100,L_100,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_47,40022,event_nyanyaparadise_01_s,Self,Locale_SubScenario:event_nyanyaparadise_01_s_47,False,,L_100,L_100,1.0,,,,1,idle,,,
event_nyanyaparadise_01_s_48,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_48,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_49,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_49,True,,L_100,L_100,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_50,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_50,True,,L_100,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_51,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_51,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
event_nyanyaparadise_01_s_52,40022,event_nyanyaparadise_01_s,Speech,Locale_SubScenario:event_nyanyaparadise_01_s_52,True,,L_10,L_10,1.0,,,,1,idle,nero,nero,
