id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,set_filter_02,fade
event_oldtales1_intermission_01_1,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_1,True,EventScene_oldtales_07_1,ce_003_03_01,ce_003_03_01,1.0,ambient_scn_mirrorwall,event_bgm_oldtales_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_2,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_2,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_3,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_3,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_4,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_4,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_5,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_5,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_6,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_6,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_7,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_7,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_8,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_8,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_9,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_9,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_10,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_10,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_11,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_11,False,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_12,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_12,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_13,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_13,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_14,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_14,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_15,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_15,True,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_16,40061,event_oldtales1_intermission_01,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_intermission_01_16,False,,ce_003_03_01,ce_003_03_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_17,40061,event_oldtales1_intermission_01,Narration,,,Locale_MainScenario:event_oldtales1_intermission_01_17,False,EventScene_oldtales_07_2,ce_003_03_01,ce_003_03_01,1.0,,,sfx_scn_rustle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_18,40061,event_oldtales1_intermission_01,Narration,,,Locale_MainScenario:event_oldtales1_intermission_01_18,False,,ce_003_03_01,ce_003_03_01,1.0,,,sfx_scn_heelfootstep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_19,40061,event_oldtales1_intermission_01,Narration,,,Locale_MainScenario:event_oldtales1_intermission_01_19,False,,ce_003_03_01,ce_003_03_01,1.0,,,sfx_scn_wallhit,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_oldtales1_intermission_01_20,40061,event_oldtales1_intermission_01,Narration,,,Locale_MainScenario:event_oldtales1_intermission_01_20,False,,ce_003_03_01,ce_003_03_01,1.0,,,sfx_scn_wallhit2,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
