id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
event_secretgarden_01_s_1,40063,event_secretgarden_01_s,Monologue,Locale_SubScenario:event_secretgarden_01_s_1,False,CommanderRoom,100,100,1.0,bgm_story_breakaway,,,,,,,
event_secretgarden_01_s_2,40063,event_secretgarden_01_s,Monologue,Locale_SubScenario:event_secretgarden_01_s_2,False,,100,1,1.0,,,,,,,,
event_secretgarden_01_s_3,40063,event_secretgarden_01_s,Narration,Locale_SubScenario:event_secretgarden_01_s_3,False,Corridor,black,black,1.0,,sfx_scn_autodooropen,,,,,,
event_secretgarden_01_s_4,40063,event_secretgarden_01_s,Speech,Locale_SubScenario:event_secretgarden_01_s_4,True,,1,10,1.0,,,flora,flora,flora,1,delight,
event_secretgarden_01_s_5,40063,event_secretgarden_01_s,Self,Locale_SubScenario:event_secretgarden_01_s_5,False,,10,10,1.0,,,flora,,,1,delight,
event_secretgarden_01_s_6,40063,event_secretgarden_01_s,Speech,Locale_SubScenario:event_secretgarden_01_s_6,True,,10,10,1.0,,,flora,flora,,1,delight,
event_secretgarden_01_s_7,40063,event_secretgarden_01_s,Speech,Locale_SubScenario:event_secretgarden_01_s_7,True,,10,10,1.0,,,flora,flora,,1,delight,
event_secretgarden_01_s_8,40063,event_secretgarden_01_s,Speech,Locale_SubScenario:event_secretgarden_01_s_8,True,,10,10,1.0,,,flora,flora,,1,delight,
event_secretgarden_01_s_9,40063,event_secretgarden_01_s,Self,Locale_SubScenario:event_secretgarden_01_s_9,False,,10,10,1.0,,,flora,,,1,delight,
event_secretgarden_01_s_10,40063,event_secretgarden_01_s,Speech,Locale_SubScenario:event_secretgarden_01_s_10,True,,10,10,1.0,,,flora,flora,,1,delight,
event_secretgarden_01_s_11,40063,event_secretgarden_01_s,Self,Locale_SubScenario:event_secretgarden_01_s_11,False,,10,10,1.0,,,flora,,,1,delight,
event_secretgarden_01_s_12,40063,event_secretgarden_01_s,Speech,Locale_SubScenario:event_secretgarden_01_s_12,True,CommanderRoom,10,10,1.0,,,flora,flora,,1,delight,
event_secretgarden_01_s_13,40063,event_secretgarden_01_s,Self,Locale_SubScenario:event_secretgarden_01_s_13,False,,10,10,1.0,,,flora,,,1,delight,
event_secretgarden_01_s_14,40063,event_secretgarden_01_s,Monologue,Locale_SubScenario:event_secretgarden_01_s_14,False,,10,10,1.0,,,flora,,,1,delight,
