id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,fade,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_absolute1_prologue_1,40086,event_absolute1_prologue,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_prologue_1,True,ingrid,2,idle,City,2,2,1.0,bgm_story_crisis,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_absolute1_prologue_2,40086,event_absolute1_prologue,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_prologue_2,True,,2,idle,,2,2,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_absolute1_prologue_3,40086,event_absolute1_prologue,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_prologue_3,True,,2,idle,,2,2,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_absolute1_prologue_4,40086,event_absolute1_prologue,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_prologue_4,True,,2,idle,,2,2,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_absolute1_prologue_5,40086,event_absolute1_prologue,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_prologue_5,True,,2,idle,,2,2,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_absolute1_prologue_6,40086,event_absolute1_prologue,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_prologue_6,True,,2,idle,,2,2,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_absolute1_prologue_7,40086,event_absolute1_prologue,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_prologue_7,True,,2,idle,,2,2,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_absolute1_prologue_8,40086,event_absolute1_prologue,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_prologue_8,True,,2,idle,,2,2,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_absolute1_prologue_9,40086,event_absolute1_prologue,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_prologue_9,True,,2,idle,,2,2,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_absolute1_prologue_10,40086,event_absolute1_prologue,Speech,ingrid,eunhwa,Locale_MainScenario:event_absolute1_prologue_10,False,,2,idle,,2,L_20,1.5,,Grey,Vignetting,,,,,,,,,,,,,,,,,,,,
event_absolute1_prologue_11,40086,event_absolute1_prologue,Narration,emma,,Locale_MainScenario:event_absolute1_prologue_11,False,,2,idle,Desert_02,black,black,1.0,none,Grey,Vignetting,ingrid,eunhwa,2,idle,emma,12,surprise,sfx_scn_ringingear,black,,,,,,,,,,,
event_absolute1_prologue_12,40086,event_absolute1_prologue,Speech,emma,emma,Locale_MainScenario:event_absolute1_prologue_12,True,,,,,120,120,1.0,bgm_story_ash,Grey,Blur_Middle,,,2,idle,,12,surprise,,,,,,,,,,,,,
event_absolute1_prologue_13,40086,event_absolute1_prologue,Speech,emma,emma,Locale_MainScenario:event_absolute1_prologue_13,True,,,,,120,120,1.0,,Grey,Blur_Low,,,2,idle,,12,surprise,,,,,,,,,,,,,
event_absolute1_prologue_14,40086,event_absolute1_prologue,Speech,eunhwa,eunhwa,Locale_MainScenario:event_absolute1_prologue_14,False,,,,,120,1,1.3,,Grey,,,,2,surprise,,12,surprise,,,,,,,,,,,,,
event_absolute1_prologue_15,40086,event_absolute1_prologue,Speech,emma,emma,Locale_MainScenario:event_absolute1_prologue_15,True,,,,,1,1,1.0,,Grey,,,,2,surprise,,12,surprise,,,,,,,,,,,,,
event_absolute1_prologue_16,40086,event_absolute1_prologue,Speech,eunhwa,eunhwa,Locale_MainScenario:event_absolute1_prologue_16,True,,,,,1,1,1.0,,Grey,,,,2,surprise,,12,surprise,,,,,,,,,,,,,
