id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_goldenship_01_s_1,40023,event_goldenship_01_s,Speech,mast,mast,Locale_SubScenario:event_goldenship_01_s_1,True,CommanderRoom,1,1,1.0,none,,mast,1,delight,
event_goldenship_01_s_2,40023,event_goldenship_01_s,Monologue,,,Locale_SubScenario:event_goldenship_01_s_2,False,,1,1,1.0,,,,1,delight,
event_goldenship_01_s_3,40023,event_goldenship_01_s,Self,,,Locale_SubScenario:event_goldenship_01_s_3,False,,1,1,1.0,,,,1,delight,
event_goldenship_01_s_4,40023,event_goldenship_01_s,Speech,mast,mast,Locale_SubScenario:event_goldenship_01_s_4,True,,1,S_10,0.5,bgm_story_languor,,,1,delight,
event_goldenship_01_s_5,40023,event_goldenship_01_s,Speech,mast,mast,Locale_SubScenario:event_goldenship_01_s_5,True,,S_10,S_10,1.0,,,,1,delight,
event_goldenship_01_s_6,40023,event_goldenship_01_s,Speech,mast,mast,Locale_SubScenario:event_goldenship_01_s_6,True,,S_10,S_10,1.0,,,,1,delight,
event_goldenship_01_s_7,40023,event_goldenship_01_s,Speech,mast,mast,Locale_SubScenario:event_goldenship_01_s_7,True,,S_10,S_100,0.5,,,,1,delight2,
event_goldenship_01_s_8,40023,event_goldenship_01_s,Self,,,Locale_SubScenario:event_goldenship_01_s_8,False,,S_100,S_100,1.0,,,,1,delight2,
event_goldenship_01_s_9,40023,event_goldenship_01_s,Speech,mast,mast,Locale_SubScenario:event_goldenship_01_s_9,True,,S_100,S_100,1.0,,,,1,surprise,
event_goldenship_01_s_10,40023,event_goldenship_01_s,Speech,mast,mast,Locale_SubScenario:event_goldenship_01_s_10,True,,S_100,S_100,1.0,,,,1,surprise,
event_goldenship_01_s_11,40023,event_goldenship_01_s,Speech,morgan,morgan,Locale_SubScenario:event_goldenship_01_s_11,True,,S_100,S_10,1.0,,,,1,surprise,
event_goldenship_01_s_12,40023,event_goldenship_01_s,Speech,mast,mast,Locale_SubScenario:event_goldenship_01_s_12,True,,S_10,S_10,1.0,,,,1,angry,
event_goldenship_01_s_13,40023,event_goldenship_01_s,Self,,,Locale_SubScenario:event_goldenship_01_s_13,False,,S_10,S_10,1.0,,,,1,angry,
