id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
event_outofuniform_06_1,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_1,True,tia_c,4,idle,naga_k,2,idle,ein_k,12,surprise,zwei_k,14,idle,Winter_AmusementPark_n,13,13,1.0,event_bgm_2022winter,,,,,,
event_outofuniform_06_2,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_2,True,,4,idle,,2,idle,,12,delight,,14,idle,,13,13,1.0,,,,,,,
event_outofuniform_06_3,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_3,True,,4,idle,,2,idle,,12,delight,,14,good,,13,13,1.0,,,,,,,
event_outofuniform_06_4,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_4,True,,4,idle,,2,idle,,12,delight,,14,good,,13,140,1.0,,,,,,,
event_outofuniform_06_5,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_5,True,,4,idle,,2,delight,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_6,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_6,True,,4,idle,,2,delight,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_7,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_7,True,,4,delight,,2,delight,,12,delight,,14,good,,3,3,1.0,,,,,,,
event_outofuniform_06_8,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_8,True,,4,delight,,2,delight,,12,delight,,14,good,,3,40,1.0,,,,,,,
event_outofuniform_06_9,130006,event_outofuniform_06,Self,tia_c,,Locale_SubScenario:event_outofuniform_06_9,False,,4,delight,,2,idle,,12,delight,,14,good,,40,40,1.0,,,,,,,
event_outofuniform_06_10,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_10,True,,4,delight,,2,idle,,12,shy,,14,good,,1200,1200,1.0,,,,,,,
event_outofuniform_06_11,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_11,False,,4,idle,,2,idle,,12,shy,,14,good,,1400,1400,1.0,,,,,,,
event_outofuniform_06_12,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_12,True,,4,idle,,2,idle,,12,shy,,14,idle,,L_200,L_200,1.0,,,,,,,
event_outofuniform_06_13,130006,event_outofuniform_06,Narration,naga_k,,Locale_SubScenario:event_outofuniform_06_13,False,,4,idle,,2,idle,,12,shy,,14,idle,,L_200,L_20,1.0,none,sfx_scn_fireworkignite,,,,,
event_outofuniform_06_14,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_14,False,,4,idle,,2,idle,,12,idle,,14,idle,,120,120,1.0,,,,,,,
event_outofuniform_06_15,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_15,False,,4,idle,,2,idle,,12,idle,,14,idle,,140,140,1.0,,,,,,,
event_outofuniform_06_16,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_16,False,,4,idle,,2,surprise,,12,idle,,14,idle,,L_20,L_20,1.0,,,,,,,
event_outofuniform_06_17,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_17,True,,4,think,,2,surprise,,12,idle,,14,idle,,L_20,40,1.0,,,,,,,
event_outofuniform_06_18,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_18,True,,4,think,,2,surprise,,12,idle,,14,idle,,40,40,1.0,,,,,,,
event_outofuniform_06_19,130006,event_outofuniform_06,Self,tia_c,,Locale_SubScenario:event_outofuniform_06_19,False,,4,think,,2,surprise,,12,idle,,14,idle,,40,40,1.0,,,,,,,
event_outofuniform_06_20,130006,event_outofuniform_06,Narration,tia_c,,Locale_SubScenario:event_outofuniform_06_20,False,,4,think,,2,surprise,,12,idle,,14,idle,,40,4,1.0,,sfx_scn_fireworkignite,,,,,
event_outofuniform_06_21,130006,event_outofuniform_06,Monologue,tia_c,,Locale_SubScenario:event_outofuniform_06_21,False,,4,think,,2,surprise,,12,idle,,14,idle,,4,4,1.0,,,,,,,
event_outofuniform_06_22,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_22,True,,4,think,,2,surprise,,12,idle,,14,idle,,13,13,1.0,,,,,,,
event_outofuniform_06_23,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_23,True,,4,think,,2,surprise,,12,idle,,14,idle,,13,13,1.0,,,,,,,
event_outofuniform_06_24,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_24,True,,4,think,,2,surprise,,12,idle,,14,idle,,3,3,1.0,,,,,,,
event_outofuniform_06_25,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_25,True,,4,think,,2,surprise,,12,idle,,14,idle,,3,3,1.0,,,,,,,
event_outofuniform_06_26,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_26,True,,4,think,,2,surprise,,12,idle,,14,idle,,3,3,1.0,,,,,,,
event_outofuniform_06_27,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_27,True,,4,think,,2,surprise,,12,idle,,14,idle,,3,L_20,1.0,,,,,,,
event_outofuniform_06_28,130006,event_outofuniform_06,Monologue,naga_k,,Locale_SubScenario:event_outofuniform_06_28,False,,4,think,,2,surprise,,12,idle,,14,idle,,L_20,L_20,1.0,,,,,,,
event_outofuniform_06_29,130006,event_outofuniform_06,Narration,naga_k,,Locale_SubScenario:event_outofuniform_06_29,False,,4,think,,2,surprise,,12,idle,,14,idle,,black,black,1.0,bgm_story_boogiebox,sfx_scn_fireworks1,,,,,
event_outofuniform_06_30,130006,event_outofuniform_06,Speech,ein_k,ein_k,Locale_SubScenario:event_outofuniform_06_30,True,,4,idle,,2,surprise,,12,no,,14,idle,,1200,120,0.75,,,,,,,
event_outofuniform_06_31,130006,event_outofuniform_06,Speech,zwei_k,zwei_k,Locale_SubScenario:event_outofuniform_06_31,True,,4,idle,,2,surprise,,12,no,,14,surprise,,120,140,1.0,,,,,,,
event_outofuniform_06_32,130006,event_outofuniform_06,Speech,naga_k,naga_k,Locale_SubScenario:event_outofuniform_06_32,True,,4,idle,,2,surprise,,12,no,,14,surprise,,L_20,L_20,1.0,,,,,,,
event_outofuniform_06_33,130006,event_outofuniform_06,Speech,tia_c,tia_c,Locale_SubScenario:event_outofuniform_06_33,True,,4,delight,,2,surprise,,12,no,,14,surprise,,L_20,40,1.0,,,,,,,
