id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_ce_01_08_e_1,40009,event_ce_01_08_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_08_e_1,True,CityForest_001,40,40,1.0,bgm_distress,,,,rapi,4,idle,,anis,2,void,,neon,6,idle,,c_3,12,idle,,c_npc_2,14,idle,,c_npc_1,16,idle,,c_2,18,idle,
event_ce_01_08_e_2,40009,event_ce_01_08_e,Self,,Self,Locale_SubScenario:event_ce_01_08_e_2,False,,40,40,1.0,,,,,,4,idle,,,2,void,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
event_ce_01_08_e_3,40009,event_ce_01_08_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_08_e_3,True,,40,40,1.0,,,,,,4,think,,,2,void,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
event_ce_01_08_e_4,40009,event_ce_01_08_e,Speech,anis,anis,Locale_SubScenario:event_ce_01_08_e_4,True,,40,3,1.0,,,,,,4,think,,,2,worry,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
event_ce_01_08_e_5,40009,event_ce_01_08_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_08_e_5,True,,3,3,1.0,,,,,,4,idle,,,2,worry,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
event_ce_01_08_e_6,40009,event_ce_01_08_e,Speech,anis,anis,Locale_SubScenario:event_ce_01_08_e_6,True,,3,3,1.0,,,,,,4,idle,,,2,void,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
event_ce_01_08_e_7,40009,event_ce_01_08_e,Speech,c_3,c_3,Locale_SubScenario:event_ce_01_08_e_7,True,,3,1,1.0,,,,,,4,idle,,,2,void,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
event_ce_01_08_e_8,40009,event_ce_01_08_e,Speech,anis,anis,Locale_SubScenario:event_ce_01_08_e_8,True,,1,1,1.0,,,,,,4,idle,,,2,void,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
event_ce_01_08_e_9,40009,event_ce_01_08_e,Speech,c_3,c_3,Locale_SubScenario:event_ce_01_08_e_9,True,,1,13,1.0,,,,,,4,idle,,,2,void,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
event_ce_01_08_e_10,40009,event_ce_01_08_e,Speech,c_npc_2,c_npc_2,Locale_SubScenario:event_ce_01_08_e_10,True,,13,13,1.0,,,,,,4,idle,,,2,void,,,6,idle,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
