id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,highlight,speaker
snowfall_speech_noirblanc_11_1,80903,snowfall_speech_noirblanc_11,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_11_1,False,noir_c,1,idle,blanc_c,13,idle,Trail_d,12,12,1.0,amb_so_trail_1,event_bgm_neverland_snowflakes_day,,,,
snowfall_speech_noirblanc_11_2,80903,snowfall_speech_noirblanc_11,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_11_2,False,,1,idle,,13,idle,,12,12,1.0,,,,,,
snowfall_speech_noirblanc_11_3,80903,snowfall_speech_noirblanc_11,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_11_3,False,,1,idle,,13,idle,,12,12,1.0,,,,,,
snowfall_speech_noirblanc_11_4,80903,snowfall_speech_noirblanc_11,Choice,Locale_SubScenario:snowfall_speech_noirblanc_11_4,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_11_7,,,
snowfall_speech_noirblanc_11_5,80903,snowfall_speech_noirblanc_11,Choice,Locale_SubScenario:snowfall_speech_noirblanc_11_5,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_11_6,,,
snowfall_speech_noirblanc_11_6,80903,snowfall_speech_noirblanc_11,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_11_6,False,,1,idle,,13,idle,,black,black,1.0,,,,True,,
snowfall_speech_noirblanc_11_7,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_7,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_11_8,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_8,True,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,noir_c
snowfall_speech_noirblanc_11_9,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_9,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_11_10,80903,snowfall_speech_noirblanc_11,Self,Locale_SubScenario:snowfall_speech_noirblanc_11_10,False,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,
snowfall_speech_noirblanc_11_11,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_11,True,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,noir_c
snowfall_speech_noirblanc_11_12,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_12,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_11_13,80903,snowfall_speech_noirblanc_11,Choice,Locale_SubScenario:snowfall_speech_noirblanc_11_13,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_11_15,,blanc_c,
snowfall_speech_noirblanc_11_14,80903,snowfall_speech_noirblanc_11,Choice,Locale_SubScenario:snowfall_speech_noirblanc_11_14,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_11_18,,blanc_c,
snowfall_speech_noirblanc_11_15,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_15,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_11_16,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_16,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_11_17,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_17,True,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_11_22,,noir_c,noir_c
snowfall_speech_noirblanc_11_18,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_18,True,,1,delight,,13,delight,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_11_19,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_19,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_11_20,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_20,True,,1,idle,,13,delight,,12,12,1.0,,,,,blanc_c,blanc_c
snowfall_speech_noirblanc_11_21,80903,snowfall_speech_noirblanc_11,Speech,Locale_SubScenario:snowfall_speech_noirblanc_11_21,True,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_11_22,,noir_c,noir_c
snowfall_speech_noirblanc_11_22,80903,snowfall_speech_noirblanc_11,Narration,Locale_SubScenario:snowfall_speech_noirblanc_11_22,False,,1,idle,,13,idle,,black,black,1.0,,,,,noir_c,
