id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
event_fullfoolday_09_1,130001,event_fullfoolday_09,Monologue,Monologue,Monologue,Locale_SubScenario:event_fullfoolday_09_1,False,Cafe,1,1,1.0,none,,,,,,,,,,,,,,,,,
event_fullfoolday_09_2,130001,event_fullfoolday_09,Narration,Narration,Narration,Locale_SubScenario:event_fullfoolday_09_2,False,,1,1,1.0,,sfx_scn_toyshopbell,,,,,,,,,,,,,,,,
event_fullfoolday_09_3,130001,event_fullfoolday_09,Speech,sugar,sugar,Locale_SubScenario:event_fullfoolday_09_3,True,,31,31,1.0,bgm_story_tuffguys,,frima,5,idle,sugar,3,idle,milk,1,idle,,,,,,,
event_fullfoolday_09_4,130001,event_fullfoolday_09,Speech,milk,milk,Locale_SubScenario:event_fullfoolday_09_4,True,,31,31,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
event_fullfoolday_09_5,130001,event_fullfoolday_09,Speech,milk,milk,Locale_SubScenario:event_fullfoolday_09_5,True,,31,31,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
event_fullfoolday_09_6,130001,event_fullfoolday_09,Self,Self,Self,Locale_SubScenario:event_fullfoolday_09_6,False,,31,31,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
event_fullfoolday_09_7,130001,event_fullfoolday_09,Speech,frima,frima,Locale_SubScenario:event_fullfoolday_09_7,True,,31,5,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
event_fullfoolday_09_8,130001,event_fullfoolday_09,Speech,frima,frima,Locale_SubScenario:event_fullfoolday_09_8,True,,5,5,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
event_fullfoolday_09_9,130001,event_fullfoolday_09,Self,Self,Self,Locale_SubScenario:event_fullfoolday_09_9,False,,5,5,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
event_fullfoolday_09_10,130001,event_fullfoolday_09,Speech,sugar,sugar,Locale_SubScenario:event_fullfoolday_09_10,True,,5,3,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
event_fullfoolday_09_11,130001,event_fullfoolday_09,Self,Self,Self,Locale_SubScenario:event_fullfoolday_09_11,False,,3,3,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
event_fullfoolday_09_12,130001,event_fullfoolday_09,Speech,sugar,sugar,Locale_SubScenario:event_fullfoolday_09_12,True,,3,1,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
event_fullfoolday_09_13,130001,event_fullfoolday_09,Self,Self,Self,Locale_SubScenario:event_fullfoolday_09_13,False,,1,1,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
