id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_doutsiders_05_s_1,40006,event_doutsiders_05_s,Speech,viper,viper,Locale_SubScenario:event_doutsiders_05_s_1,True,crow,3,idle,viper,14,delight,jackal,16,idle,Bar,140,140,1.0,sfx_scn_chimebell,none,,,
event_doutsiders_05_s_2,40006,event_doutsiders_05_s,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_05_s_2,True,,3,idle,,14,delight,,16,shy_02,,140,S_160,0.5,,,,,
event_doutsiders_05_s_3,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_3,False,,3,idle,,14,idle,,16,shy_02,,S_160,10,2.5,,bgm_risk,joseph,1,no
event_doutsiders_05_s_4,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_4,True,,3,surprise,,14,idle,,16,idle,,30,30,2.0,,,,1,no
event_doutsiders_05_s_5,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_5,True,,3,smile,,14,idle,,16,idle,,30,30,1.0,,,,1,no
event_doutsiders_05_s_6,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_6,True,,3,smile,,14,idle,,16,idle,,30,30,1.0,,,,1,no
event_doutsiders_05_s_7,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_7,False,,3,smile,,14,idle,,16,idle,,30,2,2.0,,,,1,no
event_doutsiders_05_s_8,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_8,True,,3,idle,,14,idle,,16,idle,,2,2,1.0,,,,1,no
event_doutsiders_05_s_9,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_9,True,,3,idle,,14,idle,,16,idle,,2,10,2.0,,,,1,no
event_doutsiders_05_s_10,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_10,True,,3,idle,,14,idle,,16,idle,,10,10,1.0,,,,1,no
event_doutsiders_05_s_11,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_11,True,,3,surprise,,14,idle,,16,idle,,30,30,1.0,,,,1,no
event_doutsiders_05_s_12,40006,event_doutsiders_05_s,Speech,crow,crow,Locale_SubScenario:event_doutsiders_05_s_12,True,,3,surprise,,14,idle,,16,idle,,30,30,1.0,,,,1,no
event_doutsiders_05_s_13,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_13,True,,3,surprise,,14,idle,,16,idle,,30,10,0.5,,,,1,no
event_doutsiders_05_s_14,40006,event_doutsiders_05_s,Monologue,,Monologue,Locale_SubScenario:event_doutsiders_05_s_14,False,,3,idle,,14,idle,,16,idle,,black,black,1.0,,,,1,angry
event_doutsiders_05_s_15,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_15,True,,3,idle,,14,idle,,16,idle,,10,100,0.5,,,,1,angry
event_doutsiders_05_s_16,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_16,True,,3,idle,,14,idle,,16,idle,,100,100,1.0,,,,1,angry
event_doutsiders_05_s_17,40006,event_doutsiders_05_s,Self,joseph,Self,Locale_SubScenario:event_doutsiders_05_s_17,False,,3,idle,,14,idle,,16,idle,,100,100,1.0,,,,1,angry
event_doutsiders_05_s_18,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_18,True,,3,idle,,14,idle,,16,idle,,100,100,1.0,,,,1,no
event_doutsiders_05_s_19,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_19,True,,3,idle,,14,idle,,16,idle,,100,100,1.0,,,,1,no
event_doutsiders_05_s_20,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_20,True,,3,idle,,14,idle,,16,idle,,100,100,1.0,,,,1,no
event_doutsiders_05_s_21,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_21,True,,3,idle,,14,idle,,16,idle,,100,100,1.0,,,,1,no
event_doutsiders_05_s_22,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_22,True,,3,idle,,14,idle,,16,idle,,100,100,1.0,,,,1,no
event_doutsiders_05_s_23,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_23,True,,3,idle,,14,idle,,16,idle,,100,100,1.0,,,,1,no
event_doutsiders_05_s_24,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_24,True,,3,idle,,14,idle,,16,idle,,100,10,2.0,,,,1,sad
event_doutsiders_05_s_25,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_25,True,,3,idle,,14,idle,,16,idle,,10,10,1.0,,,,1,sad
event_doutsiders_05_s_26,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_26,True,,3,idle,,14,idle,,16,idle,,10,10,1.0,,,,1,no
event_doutsiders_05_s_27,40006,event_doutsiders_05_s,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_05_s_27,True,,3,idle,,14,idle,,16,idle,,10,10,1.0,,,,1,no
