id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/hide_char_id,fade,jump_target,set_camera_shake,set_filter_01,set_filter_02
event_wisdomspring_04_s_1,40068,event_wisdomspring_04_s,Monologue,Locale_SubScenario:event_wisdomspring_04_s_1,False,mana,1,idle,ElevatorOut,black,black,1.0,bgm_recognition,,,,,,,,,
event_wisdomspring_04_s_2,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_2,True,,1,idle,,black,black,1.0,,mana,mana,,,,,,,
event_wisdomspring_04_s_3,40068,event_wisdomspring_04_s,Self,Locale_SubScenario:event_wisdomspring_04_s_3,False,,1,idle,,10,10,1.0,,mana,,,,,,,,
event_wisdomspring_04_s_4,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_4,True,,1,idle,,10,10,1.0,,mana,mana,,,,,,,
event_wisdomspring_04_s_5,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_5,True,,1,idle,,10,10,1.0,,mana,mana,,,,,,,
event_wisdomspring_04_s_6,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_6,True,,1,idle,,10,10,1.0,,mana,mana,,,,,,,
event_wisdomspring_04_s_7,40068,event_wisdomspring_04_s,Narration,Locale_SubScenario:event_wisdomspring_04_s_7,False,,1,idle,,10,100,1.0,,mana,,sfx_scn_doorlocklarge,,,,,,
event_wisdomspring_04_s_8,40068,event_wisdomspring_04_s,Monologue,Locale_SubScenario:event_wisdomspring_04_s_8,False,,1,idle,,100,100,1.0,,mana,,,,,,,,
event_wisdomspring_04_s_9,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_9,True,,1,idle,,100,10,1.0,,mana,mana,,,,,,,
event_wisdomspring_04_s_10,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_10,True,,1,idle,,10,10,1.0,,mana,mana,,,,,,,
event_wisdomspring_04_s_11,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_11,True,,1,idle,,10,10,1.0,,mana,mana,,,,,,,
event_wisdomspring_04_s_12,40068,event_wisdomspring_04_s,Monologue,Locale_SubScenario:event_wisdomspring_04_s_12,False,,1,idle,ArkCleanIndoor,black,black,1.0,,mana,,,mana,,,,,
event_wisdomspring_04_s_13,40068,event_wisdomspring_04_s,Narration,Locale_SubScenario:event_wisdomspring_04_s_13,False,,,,,black,black,1.0,,mana,,sfx_scn_autodooropen,,,,,,
event_wisdomspring_04_s_14,40068,event_wisdomspring_04_s,Monologue,Locale_SubScenario:event_wisdomspring_04_s_14,False,,,,,1,10,1.0,,mana,,,,,,,,
event_wisdomspring_04_s_15,40068,event_wisdomspring_04_s,Monologue,Locale_SubScenario:event_wisdomspring_04_s_15,False,,,,,10,10,1.0,,mana,,,,,,,,
event_wisdomspring_04_s_16,40068,event_wisdomspring_04_s,Self,Locale_SubScenario:event_wisdomspring_04_s_16,False,,,,,10,10,1.0,,mana,,,,,,,,
event_wisdomspring_04_s_17,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_17,True,mana,1,idle,,10,10,1.0,,mana,mana,,,,,,,
event_wisdomspring_04_s_18,40068,event_wisdomspring_04_s,Self,Locale_SubScenario:event_wisdomspring_04_s_18,False,,1,idle,,10,10,1.0,,mana,,,,,,,,
event_wisdomspring_04_s_19,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_19,True,,1,idle,,10,10,1.0,,mana,mana,,,,,,,
event_wisdomspring_04_s_20,40068,event_wisdomspring_04_s,Self,Locale_SubScenario:event_wisdomspring_04_s_20,False,,1,idle,,10,10,1.0,,mana,,,,,,,,
event_wisdomspring_04_s_21,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_21,True,,1,idle,,10,10,1.0,,mana,mana,,,,,,,
event_wisdomspring_04_s_22,40068,event_wisdomspring_04_s,Speech,Locale_SubScenario:event_wisdomspring_04_s_22,True,,1,idle,,10,10,1.0,,mana,mana,,,,,,,
