id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id
event_beautyfullshot1_05_s_1,40051,event_beautyfullshot1_05_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_1,False,sakura_s,1,sad,UninhabitedIsland_d,1,1,1.0,event_bgm_beautyfullshot_seasidedance,,,,,,
event_beautyfullshot1_05_s_2,40051,event_beautyfullshot1_05_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_2,True,,1,sad,,1,10,1.0,,sakura_s,,,,,
event_beautyfullshot1_05_s_3,40051,event_beautyfullshot1_05_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_3,True,,1,sad,,10,10,1.0,,sakura_s,,,,,
event_beautyfullshot1_05_s_4,40051,event_beautyfullshot1_05_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_4,False,,1,sad,,10,10,1.0,,,,,,,
event_beautyfullshot1_05_s_5,40051,event_beautyfullshot1_05_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_5,False,,1,sad,,10,10,1.0,,,,,,,
event_beautyfullshot1_05_s_6,40051,event_beautyfullshot1_05_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_6,True,,1,idle,,10,10,1.0,,sakura_s,,,,,
event_beautyfullshot1_05_s_7,40051,event_beautyfullshot1_05_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_7,False,,1,idle,,10,10,1.0,,sakura_s,,,,,
event_beautyfullshot1_05_s_8,40051,event_beautyfullshot1_05_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_8,True,,1,idle,,10,100,1.0,,sakura_s,,,,,
event_beautyfullshot1_05_s_9,40051,event_beautyfullshot1_05_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_9,False,,1,idle,,100,100,1.0,,,,,,,
event_beautyfullshot1_05_s_10,40051,event_beautyfullshot1_05_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_10,False,,1,idle,,100,100,1.0,,,,,,,
event_beautyfullshot1_05_s_11,40051,event_beautyfullshot1_05_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_11,False,,1,idle,,100,100,1.0,,,,,,,
event_beautyfullshot1_05_s_12,40051,event_beautyfullshot1_05_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_12,True,,1,sad,,100,10,1.0,,sakura_s,,,,,
event_beautyfullshot1_05_s_13,40051,event_beautyfullshot1_05_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot1_05_s_13,False,,1,sad,,10,10,1.0,,,,,,,
