id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
re_event_ce02_2_04_e_1,40083,re_event_ce02_2_04_e,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_04_e_1,True,TechIndoor_n,8,8,1.0,event_bgm_ce002_story_3,,,ce_02_01,9,idle,ce_02_npc_01,7,think,rapi,5,idle,anis,3,void,neon,1,idle,c1002_02,13,idle,b0006_02,15,idle,6000d_02,17,idle
re_event_ce02_2_04_e_2,40083,re_event_ce02_2_04_e,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_04_e_2,True,,8,8,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_2_04_e_3,40083,re_event_ce02_2_04_e,Monologue,,,Locale_SubScenario:event_ce02_2_04_e_3,False,,8,8,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_2_04_e_4,40083,re_event_ce02_2_04_e,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_04_e_4,True,,8,70,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_2_04_e_5,40083,re_event_ce02_2_04_e,Monologue,,,Locale_SubScenario:event_ce02_2_04_e_5,False,,70,70,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_2_04_e_6,40083,re_event_ce02_2_04_e,Narration,,,Locale_SubScenario:event_ce02_2_04_e_6,False,,70,70,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_2_04_e_7,40083,re_event_ce02_2_04_e,Monologue,,,Locale_SubScenario:event_ce02_2_04_e_7,False,,70,70,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_2_04_e_8,40083,re_event_ce02_2_04_e,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_04_e_8,True,,70,8,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_2_04_e_9,40083,re_event_ce02_2_04_e,Speech,ce_02_01,ce_02_01,Locale_SubScenario:event_ce02_2_04_e_9,True,,8,8,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_2_04_e_10,40083,re_event_ce02_2_04_e,Speech,anis,anis,Locale_SubScenario:event_ce02_2_04_e_10,True,,8,4,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_2_04_e_11,40083,re_event_ce02_2_04_e,Speech,anis,anis,Locale_SubScenario:event_ce02_2_04_e_11,True,,4,4,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_2_04_e_12,40083,re_event_ce02_2_04_e,Speech,rapi,rapi,Locale_SubScenario:event_ce02_2_04_e_12,True,,4,4,1.0,,,,,9,idle,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
