id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,set_filter_01
event_exnii1_03_e_1,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_1,False,BattleShipBridge,1,1,1.0,event_bgm_ce005_laststand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_2,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_2,False,,1,1,1.0,,sfx_scn_emergencysignal,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_3,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_3,True,,1,event_exnii_talk_02,1.0,,,,ce005_02,ce004_01,rapi,1,idle,anis,3,idle,neon,5,idle,ce005_02,13,angry,ce005_03,15,idle,,,,,,,,,,,
event_exnii1_03_e_4,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_4,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,rapi,rapi,,1,angry,,3,angry,,5,idle,,13,idle,,15,idle,,,,,,,,,,,
event_exnii1_03_e_5,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_5,False,,event_exnii_talk_02,event_exnii_talk_02,1.0,,sfx_scn_explosionnear,Low_2,rapi,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,,,,
event_exnii1_03_e_6,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_6,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,ce005_01_op,ce005_01_op,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,ce005_01_op_c,OP_centerup,pain,,,,,,,,
event_exnii1_03_e_7,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_7,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,ce005_02,ce004_01,,1,idle,,3,idle,,5,idle,,13,think,,15,idle,,OP_centerup,pain,ce005_01_op_c,,,,,,,
event_exnii1_03_e_8,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_8,False,,black,black,1.0,,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,,,,
event_exnii1_03_e_9,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_9,False,,black,black,1.0,,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,,,,
event_exnii1_03_e_10,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_10,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,ce005_02,ce004_01,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,,,,,,,,,,
event_exnii1_03_e_11,40070,event_exnii1_03_e,Self,Locale_SubScenario:event_exnii1_03_e_11,False,,event_exnii_talk_02,3,1.0,,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,,,,,,,,,,
event_exnii1_03_e_12,40070,event_exnii1_03_e,Self,Locale_SubScenario:event_exnii1_03_e_12,False,,3,3,1.0,,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,,,,,,,,,,
event_exnii1_03_e_13,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_13,True,,1,1,1.0,,,,rapi,rapi,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,,,,black,,,,,,
event_exnii1_03_e_14,40070,event_exnii1_03_e,Self,Locale_SubScenario:event_exnii1_03_e_14,False,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,ce005_02,,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,,,,,,,,,,
event_exnii1_03_e_15,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_15,True,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,ce005_03,ce005_03,,1,idle,,3,idle,,5,idle,,13,idle,,15,sad,,,,,,,,,,,
event_exnii1_03_e_16,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_16,True,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,ce005_02,ce004_01,,1,idle,,3,idle,,5,idle,,13,idle,,15,sad,,,,,,,,,,,
event_exnii1_03_e_17,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_17,True,,3,3,1.0,,,,anis,anis,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,,,,,,,,,,
event_exnii1_03_e_18,40070,event_exnii1_03_e,Self,Locale_SubScenario:event_exnii1_03_e_18,False,,3,3,1.0,,,,anis,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,,,,,,,,,,
event_exnii1_03_e_19,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_19,False,,black,black,1.0,,sfx_scn_steamboxopen,,anis,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,,,,,rapi,anis,neon,,,
event_exnii1_03_e_20,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_20,False,,black,black,1.0,,,,anis,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,,,,
event_exnii1_03_e_21,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_21,True,BattleShipBridge,1,1,1.0,,,,rapi,rapi,rapi,1,idle,anis,3,idle,neon,5,idle,,13,idle,,15,idle,,,,,,,,,,,
event_exnii1_03_e_22,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_22,True,,1,10,1.0,,,,rapi,rapi,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,,,,
event_exnii1_03_e_23,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_23,False,,10,10,1.0,,,,rapi,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,,,,,,
event_exnii1_03_e_24,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_24,False,,black,black,1.0,,,,rapi,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,,,,,rapi,anis,neon,ce005_02,ce005_03,Blur_Low
event_exnii1_03_e_25,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_25,False,ocean_r,1,1,1.0,,,,rapi,,,,,,,,,,,,,,,,,,,,,white,,,,,,Blur_Low
event_exnii1_03_e_26,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_26,False,,1,1,1.0,,sfx_scn_watersplash,Low_2,rapi,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_27,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_27,True,,1,1,1.0,,,,anis,anis,rapi,1,idle,anis,3,void,neon,5,idle,,,,,,,,,,,,,,,,,
event_exnii1_03_e_28,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_28,True,,1,1,1.0,,,,anis,anis,,1,idle,,3,idle,,5,idle,,,,,,,,,,,,,,,,,
event_exnii1_03_e_29,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_29,True,,1,1,1.0,,,,rapi,rapi,,1,idle,,3,idle,,5,idle,,,,,,,,,,,,,,,,,
event_exnii1_03_e_30,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_30,True,,1,1,1.0,,,,neon,neon,,1,idle,,3,idle,,5,worry,,,,,,,,,,,,,,,,,
event_exnii1_03_e_31,40070,event_exnii1_03_e,Self,Locale_SubScenario:event_exnii1_03_e_31,False,,1,1,1.0,,,,neon,,,1,idle,,3,idle,,5,worry,,,,,,,,,,,,,,,,,
event_exnii1_03_e_32,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_32,True,EzsUp,1,3,1.0,,,,mast,mast,pepper,1,idle,mast,3,idle,,5,worry,,,,,,,,,,,black,rapi,anis,neon,,,
event_exnii1_03_e_33,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_33,True,,3,2,1.0,,,,pepper,pepper,,1,good,,3,idle,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_34,40070,event_exnii1_03_e,Self,Locale_SubScenario:event_exnii1_03_e_34,False,,2,2,1.0,,,,pepper,,,1,idle,,3,idle,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_35,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_35,True,,2,2,1.0,,,,mast,mast,,1,idle,,3,idle,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_36,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_36,False,,black,black,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_37,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_37,True,,2,10,1.0,,,,pepper,pepper,,1,void,,3,idle,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_38,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_38,True,,10,10,1.0,,,,pepper,pepper,,1,void,,3,idle,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_39,40070,event_exnii1_03_e,Self,Locale_SubScenario:event_exnii1_03_e_39,False,,10,1,1.0,,,,pepper,,,1,void,,3,idle,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_40,40070,event_exnii1_03_e,Narration,Locale_SubScenario:event_exnii1_03_e_40,False,,1,16,1.0,,,,ce005_01,,,1,idle,,3,idle,,,,ce005_02,13,idle,ce005_03,17,idle,ce005_01,15,idle,,,,,,,,
event_exnii1_03_e_41,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_41,False,,16,16,1.0,,,,ce005_01,ce005_01,,1,idle,,3,idle,,,,,13,idle,,17,idle,,15,idle,,,,,,,,
event_exnii1_03_e_42,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_42,True,,16,16,1.0,,,,ce005_03,ce005_03,,1,idle,,3,idle,anchor,5,idle,,13,idle,,17,idle,,15,idle,,,,,,,,
event_exnii1_03_e_43,40070,event_exnii1_03_e,Self,Locale_SubScenario:event_exnii1_03_e_43,False,,16,16,1.0,,,,ce005_03,,,1,idle,,3,idle,,5,idle,,13,idle,,17,idle,,15,idle,,,,,,,,
event_exnii1_03_e_44,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_44,True,,16,16,1.0,,,,ce005_03,ce005_03,,1,idle,,3,idle,,5,idle,,13,idle,,17,sad,,15,idle,,,,,,,,
event_exnii1_03_e_45,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_45,True,,16,13,1.0,,,,ce005_02,ce004_01,,1,idle,,3,idle,,5,idle,,13,idle,,17,sad,,15,idle,,,,,,,,
event_exnii1_03_e_46,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_46,True,,13,13,1.0,,,,ce005_02,ce004_01,,1,idle,,3,idle,,5,idle,,13,idle,,17,sad,,15,idle,,,,,,,,
event_exnii1_03_e_47,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_47,True,,17,17,2.0,,,,ce005_03,ce005_03,,1,idle,,3,idle,,5,idle,,13,idle,,17,sad,,15,idle,,,,,,,,
event_exnii1_03_e_48,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_48,True,,3,3,1.0,,,,mast,mast,,1,idle,,3,delight2,,5,idle,,13,idle,,17,sad,,15,idle,,black,,,,,ce005_03,
event_exnii1_03_e_49,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_49,True,,3,3,1.0,,,,mast,mast,,1,idle,,3,delight2,,5,idle,,13,idle,,,,,15,idle,,,,,,,,
event_exnii1_03_e_50,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_50,True,,3,5,1.0,,,,anchor,anchor,,1,idle,,3,idle,,5,delight,,13,idle,,,,,15,idle,,,,,,,,
event_exnii1_03_e_51,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_51,True,NikkeCorridor,event_exnii_talk_08,event_exnii_talk_08,1.0,,,,ce005_01,ce005_01,,1,idle,,3,idle,,5,delight,,13,idle,,,,,15,no,,black,pepper,mast,anchor,,,
event_exnii1_03_e_52,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_52,True,,event_exnii_talk_08,event_exnii_talk_08,1.0,,,,ce005_02,ce004_01,,,,,,,,,,,13,idle,,,,,15,idle,,,,,,,,
event_exnii1_03_e_53,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_53,True,,event_exnii_talk_08,event_exnii_talk_08,1.0,,,,ce005_01,ce005_01,,,,,,,,,,,13,idle,,,,,15,idle,,,,,,,,
event_exnii1_03_e_54,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_54,True,,event_exnii_talk_08,event_exnii_talk_08,1.0,,,,ce005_02,ce004_01,,,,,,,,,,,13,think,,,,,15,idle,,,,,,,,
event_exnii1_03_e_55,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_55,True,,event_exnii_talk_08,event_exnii_talk_08,1.0,,,,ce005_01,ce005_01,,,,,,,,,,,13,think,,,,,15,idle,,,,,,,,
event_exnii1_03_e_56,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_56,True,,event_exnii_talk_08,event_exnii_talk_08,1.0,,,,ce005_02,ce004_01,,,,,,,,,,,13,think,,,,,15,idle,,,,,,,,
event_exnii1_03_e_57,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_57,True,,black,black,1.0,,,,unknown,unknown,,,,,,,,,,,13,think,,,,,15,idle,ce005_01,black,,,,ce005_02,,
event_exnii1_03_e_58,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_58,True,,black,black,1.0,,,,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_03_e_59,40070,event_exnii1_03_e,Speech,Locale_SubScenario:event_exnii1_03_e_59,True,,black,black,1.0,,,,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
