id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
event_overzone2_01_e_1,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_1,True,dorothy,1,idle,rapunzel,13,idle,CityForest_03_d,10,10,1.0,bgm_story_promise
event_overzone2_01_e_2,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_2,True,,1,idle,,13,idle,,10,10,1.0,
event_overzone2_01_e_3,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_3,True,,1,idle,,13,idle,,10,10,1.0,
event_overzone2_01_e_4,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_4,True,,1,idle,,13,idle,,10,10,1.0,
event_overzone2_01_e_5,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_5,True,,1,idle,,13,idle,,10,12,1.0,
event_overzone2_01_e_6,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_6,True,,1,idle,,13,sad,,12,12,1.0,
event_overzone2_01_e_7,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_7,True,,1,idle,,13,sad,,12,12,1.0,
event_overzone2_01_e_8,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_8,True,,1,idle,,13,idle,,12,130,1.0,
event_overzone2_01_e_9,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_9,True,,1,idle,,13,idle,,130,130,1.0,
event_overzone2_01_e_10,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_10,True,,1,idle,,13,no,,130,130,1.0,
event_overzone2_01_e_11,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_11,True,,1,idle,,13,no,,12,12,1.0,
event_overzone2_01_e_12,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_12,True,,1,idle,,13,idle,,12,12,1.0,
event_overzone2_01_e_13,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_13,True,,1,idle,,13,idle,,12,12,1.0,
event_overzone2_01_e_14,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_14,True,,1,idle,,13,idle,,12,12,1.0,
event_overzone2_01_e_15,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_15,True,,1,idle,,13,no,,12,130,1.0,
event_overzone2_01_e_16,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_16,True,,1,idle,,13,no,,130,130,1.0,
event_overzone2_01_e_17,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_17,True,,1,idle,,13,no,,130,12,1.0,
event_overzone2_01_e_18,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_18,True,,1,idle,,13,idle,,12,12,1.0,
event_overzone2_01_e_19,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_19,True,,1,idle,,13,idle,,12,12,1.0,
event_overzone2_01_e_20,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_20,True,,1,worry,,13,idle,,12,10,1.0,
event_overzone2_01_e_21,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_21,False,,1,worry,,13,idle,,10,10,1.0,
event_overzone2_01_e_22,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_22,True,,1,idle,,13,idle,,10,10,1.0,
event_overzone2_01_e_23,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_23,True,,1,idle,,13,idle,,130,130,1.0,
event_overzone2_01_e_24,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_24,True,,1,think,,13,idle,,10,100,1.0,
event_overzone2_01_e_25,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_25,True,,1,think,,13,idle,,100,100,1.0,
event_overzone2_01_e_26,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_26,True,,1,think,,13,idle,,100,100,1.0,
event_overzone2_01_e_27,80304,event_overzone2_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_01_e_27,True,,1,think,,13,idle,,130,130,1.0,
event_overzone2_01_e_28,80304,event_overzone2_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_01_e_28,True,,1,worry,,13,idle,,100,12,1.0,
