id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,play_sound,set_camera_shake
event_goldencoinrush1_05_e_1,40048,event_goldencoinrush1_05_e,Monologue,Locale_MainScenario:event_goldencoinrush1_05_e_1,False,CoinRushMainHall,7,3,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush1_05_e_2,40048,event_goldencoinrush1_05_e,Speech,Locale_MainScenario:event_goldencoinrush1_05_e_2,True,,3,XS_30,1.0,,alice_b,alice_b,soda_b,5,void,alice_b,3,idle,,,,,,,,,,,,,,,,,
event_goldencoinrush1_05_e_3,40048,event_goldencoinrush1_05_e,Speech,Locale_MainScenario:event_goldencoinrush1_05_e_3,True,,XS_30,XS_30,1.0,,alice_b,alice_b,,5,void,,3,idle,,,,,,,,,,,,,,,,,
event_goldencoinrush1_05_e_4,40048,event_goldencoinrush1_05_e,Self,Locale_MainScenario:event_goldencoinrush1_05_e_4,False,,XS_30,XS_30,1.0,,alice_b,,,5,void,,3,idle,,,,,,,,,,,,,,,,,
event_goldencoinrush1_05_e_5,40048,event_goldencoinrush1_05_e,Monologue,Locale_MainScenario:event_goldencoinrush1_05_e_5,False,,XS_30,4,1.0,,alice_b,,,5,void,,3,idle,,,,,,,,,,,,,,,,,
event_goldencoinrush1_05_e_6,40048,event_goldencoinrush1_05_e,Speech,Locale_MainScenario:event_goldencoinrush1_05_e_6,True,,4,4,1.0,,soda_b,soda_b,,5,void,,3,idle,rouge,15,think,,,,,,,,,,,,,,
event_goldencoinrush1_05_e_7,40048,event_goldencoinrush1_05_e,Speech,Locale_MainScenario:event_goldencoinrush1_05_e_7,True,,4,15,1.0,,soda_b,soda_b,,5,void,,3,idle,,15,think,,,,,,,,,,,,,,
event_goldencoinrush1_05_e_8,40048,event_goldencoinrush1_05_e,Speech,Locale_MainScenario:event_goldencoinrush1_05_e_8,True,,15,15,1.0,,soda_b,soda_b,,5,void,,3,idle,,15,think,,,,,,,,,,,,,,
event_goldencoinrush1_05_e_9,40048,event_goldencoinrush1_05_e,Speech,Locale_MainScenario:event_goldencoinrush1_05_e_9,True,,15,15,1.0,,alice_b,alice_b,,5,void,,3,shy,,15,think,,,,,,,,,,,,,,
event_goldencoinrush1_05_e_10,40048,event_goldencoinrush1_05_e,Speech,Locale_MainScenario:event_goldencoinrush1_05_e_10,True,,4,4,1.0,,alice_b,alice_b,,5,void,,3,shy,,15,think,,,,,,,,,,,,,,
event_goldencoinrush1_05_e_11,40048,event_goldencoinrush1_05_e,Speech,Locale_MainScenario:event_goldencoinrush1_05_e_11,True,,4,4,1.0,,alice_b,alice_b,,5,void,,3,delight,,15,think,,,,,,,,,,,,,,
