id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable
event_miraclesnow1_01_s_1,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_1,True,Winter_AmusementPark,1,1,1.0,bgm_story_shopperholic,,rupee,1,idle,fx_Eventscene_camera_recording,rec,True
event_miraclesnow1_01_s_2,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_2,True,,1,5,0.7,,,,1,idle,,,
event_miraclesnow1_01_s_3,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_3,True,,5,L_10,0.7,,,,1,idle,,,
event_miraclesnow1_01_s_4,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_4,True,,L_10,L_10,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_5,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_5,True,,L_10,L_10,1.0,,,,1,"expression_0,idle",,,
event_miraclesnow1_01_s_6,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_6,True,,L_10,1,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_7,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_7,True,,1,1,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_8,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_8,True,,1,1,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_9,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_9,True,,1,1,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_10,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_10,True,,1,L_10,0.5,,,,1,idle,,,
event_miraclesnow1_01_s_11,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_11,True,,L_10,L_10,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_12,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_12,True,,L_10,L_10,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_13,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_13,True,,L_10,L_100,0.5,,,,1,idle,,,
event_miraclesnow1_01_s_14,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_14,True,,L_100,L_100,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_15,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_15,True,,L_100,L_100,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_16,40003,event_miraclesnow1_01_s,Choice,rupee,,Locale_SubScenario:event_miraclesnow1_01_s_16,False,,L_100,L_100,1.0,,event_miraclesnow1_01_s_18,,1,idle,,,
event_miraclesnow1_01_s_17,40003,event_miraclesnow1_01_s,Choice,rupee,,Locale_SubScenario:event_miraclesnow1_01_s_17,False,,L_100,L_100,1.0,,event_miraclesnow1_01_s_20,,1,idle,,,
event_miraclesnow1_01_s_18,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_18,True,,L_100,L_100,1.0,,,,1,idle,,,
event_miraclesnow1_01_s_19,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_19,True,,L_100,L_10,1.0,,event_miraclesnow1_01_s_23,,1,shy,,,
event_miraclesnow1_01_s_20,40003,event_miraclesnow1_01_s,Speech,rupee,rupee,Locale_SubScenario:event_miraclesnow1_01_s_20,False,,L_100,L_10,1.0,,,,1,idle,,,
