id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_camera_shake,play_sound,characters/4/hide_char_id,characters/6/hide_char_id
d_ex_redash_03_5_1,80800,d_ex_redash_03_5,Narration,Narration,Locale_SuddenStory:d_ex_redash_03_5_1,False,redhood,1,think,rapunzel_o,3,think,Desert_04,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,
d_ex_redash_03_5_2,80800,d_ex_redash_03_5,Speech,redhood,Locale_SuddenStory:d_ex_redash_03_5_2,True,,1,think,,3,think,,2,2,1.0,event_bgm_redash_dearsnowwhite,redhood,,,,,,,,,,,,,,,,,,,,
d_ex_redash_03_5_3,80800,d_ex_redash_03_5,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_03_5_3,True,,1,think,,3,think,,2,2,1.0,,rapunzel_o,dorothy,5,idle,liliweiss,7,think,,,,,,,,,,,,,,
d_ex_redash_03_5_4,80800,d_ex_redash_03_5,Speech,redhood,Locale_SuddenStory:d_ex_redash_03_5_4,True,,1,think,,3,think,,2,2,1.0,,redhood,,5,idle,,7,think,,,,,,,,,,,,,,
d_ex_redash_03_5_5,80800,d_ex_redash_03_5,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_5_5,True,,1,think,,3,think,,2,6,1.0,,dorothy,,5,think,,7,think,,,,,,,,,,,,,,
d_ex_redash_03_5_6,80800,d_ex_redash_03_5,Speech,dorothy,Locale_SuddenStory:d_ex_redash_03_5_6,True,,1,think,,3,think,,6,6,1.0,,dorothy,,5,think,,7,think,snowwhite_o,9,idle,,,,,,,,,,,
d_ex_redash_03_5_7,80800,d_ex_redash_03_5,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_5_7,True,,1,think,,3,think,,6,6,1.0,,liliweiss,,5,think,,7,think,,9,idle,,,,,,,,,,,
d_ex_redash_03_5_8,80800,d_ex_redash_03_5,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_5_8,True,,1,idle,,3,idle,,6,6,1.0,,liliweiss,,5,think,,7,think,,9,idle,,,,,,,,,,,
d_ex_redash_03_5_9,80800,d_ex_redash_03_5,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_03_5_9,True,,1,idle,,3,idle,,6,6,1.0,,liliweiss,,5,think,,7,think,,9,sad,,,,,,,,,,,
d_ex_redash_03_5_10,80800,d_ex_redash_03_5,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_03_5_10,True,,1,idle,,3,idle,,6,8,1.0,,snowwhite_o,,5,think,,7,think,,9,sad,,,,,,,,,,,
