id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,speaker,set_camera_shake,fade
event_killthelord_01_s_1,40043,event_killthelord_01_s,Monologue,Locale_SubScenario:event_killthelord_01_s_1,False,CommanderRoom,2,1,1.0,bgm_story_breakaway,,,,,,,,,,,
event_killthelord_01_s_2,40043,event_killthelord_01_s,Monologue,Locale_SubScenario:event_killthelord_01_s_2,False,,1,1,1.0,,,,,,,,,,,,
event_killthelord_01_s_3,40043,event_killthelord_01_s,Monologue,Locale_SubScenario:event_killthelord_01_s_3,False,,1,S_1800,1.0,,,,,,,,,,,,
event_killthelord_01_s_4,40043,event_killthelord_01_s,Narration,Locale_SubScenario:event_killthelord_01_s_4,False,ShowerRoom,black,black,1.0,,sfx_scn_autodooropen,,,,,,,,,,
event_killthelord_01_s_5,40043,event_killthelord_01_s,Monologue,Locale_SubScenario:event_killthelord_01_s_5,False,,12,12,1.0,,,d,d,1,idle,k,13,idle,,,
event_killthelord_01_s_6,40043,event_killthelord_01_s,Speech,Locale_SubScenario:event_killthelord_01_s_6,True,,12,12,1.0,,,d,,1,idle,,13,idle,d,,
event_killthelord_01_s_7,40043,event_killthelord_01_s,Speech,Locale_SubScenario:event_killthelord_01_s_7,True,,12,12,1.0,,,k,,1,idle,,13,idle,k,,
event_killthelord_01_s_8,40043,event_killthelord_01_s,Self,Locale_SubScenario:event_killthelord_01_s_8,False,,12,12,1.0,,,k,,1,idle,,13,idle,,,
event_killthelord_01_s_9,40043,event_killthelord_01_s,Self,Locale_SubScenario:event_killthelord_01_s_9,False,,12,12,1.0,,,k,,1,idle,,13,idle,,,
event_killthelord_01_s_10,40043,event_killthelord_01_s,Narration,Locale_SubScenario:event_killthelord_01_s_10,False,,black,black,1.0,,sfx_scn_autodooropen,k,,1,idle,,13,idle,,,
event_killthelord_01_s_11,40043,event_killthelord_01_s,Narration,Locale_SubScenario:event_killthelord_01_s_11,False,,S_130,S_130,0.6,,sfx_scn_weakhit,k,,1,idle,,13,idle,,Low_2,
event_killthelord_01_s_12,40043,event_killthelord_01_s,Speech,Locale_SubScenario:event_killthelord_01_s_12,True,,S_130,S_130,1.0,,,k,,1,idle,,13,delight,k,,
event_killthelord_01_s_13,40043,event_killthelord_01_s,Speech,Locale_SubScenario:event_killthelord_01_s_13,True,,S_130,S_130,1.0,,,k,,1,idle,,13,delight,k,,
event_killthelord_01_s_14,40043,event_killthelord_01_s,Speech,Locale_SubScenario:event_killthelord_01_s_14,True,,S_130,12,1.0,,,d,,1,idle,,13,delight,d,,
event_killthelord_01_s_15,40043,event_killthelord_01_s,Speech,Locale_SubScenario:event_killthelord_01_s_15,True,,12,12,1.0,,,k,,1,idle,,13,delight,k,,
event_killthelord_01_s_16,40043,event_killthelord_01_s,Speech,Locale_SubScenario:event_killthelord_01_s_16,True,,12,12,1.0,,,k,,1,idle,,13,delight,k,,
event_killthelord_01_s_17,40043,event_killthelord_01_s,Speech,Locale_SubScenario:event_killthelord_01_s_17,True,,12,12,1.0,,,k,,1,idle,,13,delight,k,,
event_killthelord_01_s_18,40043,event_killthelord_01_s,Self,Locale_SubScenario:event_killthelord_01_s_18,False,,12,12,1.0,,,k,,1,idle,,13,delight,,,
event_killthelord_01_s_19,40043,event_killthelord_01_s,Speech,Locale_SubScenario:event_killthelord_01_s_19,True,,12,12,1.0,,,k,,1,idle,,13,think,k,,
event_killthelord_01_s_20,40043,event_killthelord_01_s,Speech,Locale_SubScenario:event_killthelord_01_s_20,True,,12,12,1.0,,,k,,1,idle,,13,think,k,,
event_killthelord_01_s_21,40043,event_killthelord_01_s,Narration,Locale_SubScenario:event_killthelord_01_s_21,False,CommanderRoom,12,12,1.0,none,,d,,1,idle,,13,idle,,,black
